plant_id,model_family,gself_b1,gself_b2,gself_b3,gself_mean_signed,full_test_mae,all_three_components_present
PS_002,HistGradientBoosting,0.001000073428242737,1.544424903399122e-05,0.0004891703976419998,0.000501562691639576,0.06910877767892137,True
PS_002,SplineRidge,0.0011914952521131922,-0.0006486774647718602,0.0006712841696357441,0.000404700652325692,0.06991063766656168,True
PS_003,HistGradientBoosting,0.001001077893138573,-0.0001249127967305197,0.0008167817027914318,0.0005643155997331617,0.057856888511821906,True
PS_003,SplineRidge,-0.0002500994204422055,0.000557542259924812,0.0007086862526854559,0.00033870969738935414,0.05908638241044946,True
PS_035,HistGradientBoosting,0.0026109814659955877,-0.0013428315107646138,0.004400326933189494,0.001889492296140156,0.06089258252716348,True
PS_035,SplineRidge,-0.0005432213231350777,0.0012713932442890152,-0.0018110735066048794,-0.00036096719515031395,0.06276335274274299,True
PS_039,HistGradientBoosting,-0.013111726993249986,0.010995972008767785,0.01795176330669311,0.00527866944073697,0.08060655737012314,True
PS_039,SplineRidge,-0.021462282138345237,0.010429840893508083,0.01455468483152951,0.0011740811955641185,0.09620335620120826,True
PS_042,HistGradientBoosting,0.013186611908341098,-0.0008863167741632386,-0.009280985837350854,0.0010064364322756685,0.061414003632669786,True
PS_042,SplineRidge,0.03611984659801924,-0.0073300066118897195,-0.01876388888273757,0.003341983701130651,0.07604997020668001,True
PS_043,HistGradientBoosting,0.0008768253569330503,-0.0019156286391448507,-0.017288814352079976,-0.0061092058780972585,0.0861135698262856,True
PS_043,SplineRidge,-0.0005894351505373596,0.008083354043665614,-0.00857271832022699,-0.0003595998090329122,0.08212478230570254,True
PS_044,HistGradientBoosting,0.005310162610788677,-0.0015988976034986557,0.0001916731276275646,0.001300979378305862,0.07358610638037376,True
PS_044,SplineRidge,-0.0033577052010261427,0.002149316557292752,0.0006530809713637953,-0.0001851025574565318,0.07462560468537242,True
PS_045,HistGradientBoosting,0.002892156600964431,0.0014405267294602536,0.003022623766014504,0.002451769032146396,0.0409680402019974,True
PS_045,SplineRidge,0.003785003231842672,0.007828052278780084,0.01756301980935509,0.009725358439992615,0.05226783815718606,True
PS_046,HistGradientBoosting,4.2931413264252205e-05,0.0006323005393958636,0.0008861766337768112,0.000520469528812309,0.06684068711754144,True
PS_046,SplineRidge,-0.0015453778521990202,-0.0011187346501617956,0.006214061851947422,0.0011833164498622022,0.06659106848798989,True
PS_047,HistGradientBoosting,0.00409826092798625,-0.006410426881474099,0.027270521713042825,0.008319451919851659,0.12144111940517778,True
PS_047,SplineRidge,0.0032494621089311504,-0.005949319268284167,0.007988742812382627,0.0017629618843432032,0.12650180640543532,True
PS_048,HistGradientBoosting,0.004803106020670189,-0.0024899423497911494,-0.0019416726577658958,0.00012383033770438137,0.05659960411831721,True
PS_048,SplineRidge,0.0022897505784543123,0.0006127482745840254,-0.0009886218885858389,0.000637958988150833,0.04801772801096698,True
PS_049,HistGradientBoosting,0.011434106520760018,0.0010037879401722793,0.011115908957965895,0.007851267806299397,0.05487465044663371,True
PS_049,SplineRidge,0.0026226312227907167,0.0005460537956535338,0.009670992157951412,0.004279892392131887,0.05686367824368908,True
PS_050,HistGradientBoosting,0.0011947316260028235,0.0011493086275842848,0.001538233196490088,0.001294091150025732,0.05948890448928379,True
PS_050,SplineRidge,0.007078949892250518,0.0012998723380880026,0.004195175750224378,0.004191332660187633,0.05804656616736247,True
PS_051,HistGradientBoosting,-0.0003202391396250892,0.0018028050819954705,0.0010049439830276397,0.0008291699751326737,0.06520228076322807,True
PS_051,SplineRidge,0.004560464737769318,-0.001259936533935399,0.002527843946126762,0.0019427907166535603,0.06653592846084067,True
