plant_id,model_family,block_id,n_train_full,n_train_restricted,n_validation,n_test,full_test_mae,restricted_test_mae,gself_component,selected_restricted_candidate_id
PS_044,SplineRidge,B3,2503,1715,834,835,0.07462560468537242,0.07527868565673622,0.0006530809713637953,SplineRidge_06
PS_045,HistGradientBoosting,B1,2196,1296,732,732,0.0409680402019974,0.04386019680296183,0.002892156600964431,HistGradientBoosting_04
PS_045,HistGradientBoosting,B2,2196,1347,732,732,0.0409680402019974,0.042408566931457656,0.0014405267294602536,HistGradientBoosting_01
PS_045,HistGradientBoosting,B3,2196,1749,732,732,0.0409680402019974,0.043990663968011906,0.003022623766014504,HistGradientBoosting_00
PS_045,SplineRidge,B1,2196,1296,732,732,0.05226783815718606,0.05605284138902873,0.003785003231842672,SplineRidge_02
PS_045,SplineRidge,B2,2196,1347,732,732,0.05226783815718606,0.060095890435966144,0.007828052278780084,SplineRidge_05
PS_045,SplineRidge,B3,2196,1749,732,732,0.05226783815718606,0.06983085796654115,0.01756301980935509,SplineRidge_08
PS_046,HistGradientBoosting,B1,1710,1107,570,570,0.06684068711754144,0.0668836185308057,4.2931413264252205e-05,HistGradientBoosting_01
PS_046,HistGradientBoosting,B2,1710,1147,570,570,0.06684068711754144,0.06747298765693731,0.0006323005393958636,HistGradientBoosting_04
PS_046,HistGradientBoosting,B3,1710,1166,570,570,0.06684068711754144,0.06772686375131826,0.0008861766337768112,HistGradientBoosting_02
PS_046,SplineRidge,B1,1710,1107,570,570,0.06659106848798989,0.06504569063579087,-0.0015453778521990202,SplineRidge_07
PS_046,SplineRidge,B2,1710,1147,570,570,0.06659106848798989,0.06547233383782809,-0.0011187346501617956,SplineRidge_03
PS_046,SplineRidge,B3,1710,1166,570,570,0.06659106848798989,0.07280513033993731,0.006214061851947422,SplineRidge_00
PS_047,HistGradientBoosting,B1,1725,1138,575,576,0.12144111940517778,0.12553938033316403,0.00409826092798625,HistGradientBoosting_02
PS_047,HistGradientBoosting,B2,1725,1123,575,576,0.12144111940517778,0.11503069252370368,-0.006410426881474099,HistGradientBoosting_04
PS_047,HistGradientBoosting,B3,1725,1189,575,576,0.12144111940517778,0.1487116411182206,0.027270521713042825,HistGradientBoosting_04
PS_047,SplineRidge,B1,1725,1138,575,576,0.12650180640543532,0.12975126851436647,0.0032494621089311504,SplineRidge_06
PS_047,SplineRidge,B2,1725,1123,575,576,0.12650180640543532,0.12055248713715115,-0.005949319268284167,SplineRidge_07
PS_047,SplineRidge,B3,1725,1189,575,576,0.12650180640543532,0.13449054921781795,0.007988742812382627,SplineRidge_02
PS_048,HistGradientBoosting,B1,2215,1270,738,739,0.05659960411831721,0.0614027101389874,0.004803106020670189,HistGradientBoosting_00
PS_048,HistGradientBoosting,B2,2215,1565,738,739,0.05659960411831721,0.05410966176852606,-0.0024899423497911494,HistGradientBoosting_00
PS_048,HistGradientBoosting,B3,2215,1595,738,739,0.05659960411831721,0.05465793146055131,-0.0019416726577658958,HistGradientBoosting_04
PS_048,SplineRidge,B1,2215,1270,738,739,0.04801772801096698,0.05030747858942129,0.0022897505784543123,SplineRidge_08
PS_048,SplineRidge,B2,2215,1565,738,739,0.04801772801096698,0.048630476285551005,0.0006127482745840254,SplineRidge_03
PS_048,SplineRidge,B3,2215,1595,738,739,0.04801772801096698,0.04702910612238114,-0.0009886218885858389,SplineRidge_02
PS_049,HistGradientBoosting,B1,2129,1181,710,710,0.05487465044663371,0.06630875696739373,0.011434106520760018,HistGradientBoosting_07
PS_049,HistGradientBoosting,B2,2129,1393,710,710,0.05487465044663371,0.05587843838680599,0.0010037879401722793,HistGradientBoosting_04
PS_049,HistGradientBoosting,B3,2129,1684,710,710,0.05487465044663371,0.06599055940459961,0.011115908957965895,HistGradientBoosting_00
PS_049,SplineRidge,B1,2129,1181,710,710,0.05686367824368908,0.05948630946647979,0.0026226312227907167,SplineRidge_02
PS_049,SplineRidge,B2,2129,1393,710,710,0.05686367824368908,0.05740973203934261,0.0005460537956535338,SplineRidge_02
PS_049,SplineRidge,B3,2129,1684,710,710,0.05686367824368908,0.06653467040164049,0.009670992157951412,SplineRidge_06
PS_050,HistGradientBoosting,B1,2521,1661,841,841,0.05948890448928379,0.06068363611528661,0.0011947316260028235,HistGradientBoosting_04
PS_050,HistGradientBoosting,B2,2521,1667,841,841,0.05948890448928379,0.060638213116868074,0.0011493086275842848,HistGradientBoosting_01
PS_050,HistGradientBoosting,B3,2521,1714,841,841,0.05948890448928379,0.06102713768577388,0.001538233196490088,HistGradientBoosting_01
PS_050,SplineRidge,B1,2521,1661,841,841,0.05804656616736247,0.06512551605961299,0.007078949892250518,SplineRidge_02
PS_050,SplineRidge,B2,2521,1667,841,841,0.05804656616736247,0.059346438505450474,0.0012998723380880026,SplineRidge_02
PS_050,SplineRidge,B3,2521,1714,841,841,0.05804656616736247,0.06224174191758685,0.004195175750224378,SplineRidge_03
PS_051,HistGradientBoosting,B1,2239,1472,747,747,0.06520228076322807,0.06488204162360298,-0.0003202391396250892,HistGradientBoosting_00
PS_051,HistGradientBoosting,B2,2239,1473,747,747,0.06520228076322807,0.06700508584522354,0.0018028050819954705,HistGradientBoosting_02
PS_051,HistGradientBoosting,B3,2239,1533,747,747,0.06520228076322807,0.0662072247462557,0.0010049439830276397,HistGradientBoosting_05
PS_051,SplineRidge,B1,2239,1472,747,747,0.06653592846084067,0.07109639319860998,0.004560464737769318,SplineRidge_06
PS_051,SplineRidge,B2,2239,1473,747,747,0.06653592846084067,0.06527599192690527,-0.001259936533935399,SplineRidge_03
PS_051,SplineRidge,B3,2239,1533,747,747,0.06653592846084067,0.06906377240696743,0.002527843946126762,SplineRidge_05
