plant_id,model_family,fit_scope,candidate_id,hyperparameters,train_row_count,validation_row_count,validation_mae,selected,fit_status
PS_002,HistGradientBoosting,restricted_B3,HistGradientBoosting_04,"{""l2_regularization"": 0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",6770,3526,0.06996583042147632,False,ok
PS_002,HistGradientBoosting,restricted_B3,HistGradientBoosting_05,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",6770,3526,0.07020744588955011,False,ok
PS_002,HistGradientBoosting,restricted_B3,HistGradientBoosting_06,"{""l2_regularization"": 0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",6770,3526,0.06916126439002507,False,ok
PS_002,HistGradientBoosting,restricted_B3,HistGradientBoosting_07,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",6770,3526,0.06884194691804676,True,ok
PS_002,SplineRidge,full,SplineRidge_00,"{""alpha"": 0.1, ""n_knots"": 4}",10578,3526,0.06285798879528919,True,ok
PS_002,SplineRidge,full,SplineRidge_01,"{""alpha"": 1, ""n_knots"": 4}",10578,3526,0.062859649333544,False,ok
PS_002,SplineRidge,full,SplineRidge_02,"{""alpha"": 10, ""n_knots"": 4}",10578,3526,0.06287991055949547,False,ok
PS_002,SplineRidge,full,SplineRidge_03,"{""alpha"": 0.1, ""n_knots"": 6}",10578,3526,0.06332898780011986,False,ok
PS_002,SplineRidge,full,SplineRidge_04,"{""alpha"": 1, ""n_knots"": 6}",10578,3526,0.06332841117918601,False,ok
PS_002,SplineRidge,full,SplineRidge_05,"{""alpha"": 10, ""n_knots"": 6}",10578,3526,0.06332592717823864,False,ok
PS_002,SplineRidge,full,SplineRidge_06,"{""alpha"": 0.1, ""n_knots"": 8}",10578,3526,0.06368855615075193,False,ok
PS_002,SplineRidge,full,SplineRidge_07,"{""alpha"": 1, ""n_knots"": 8}",10578,3526,0.06368889580047414,False,ok
PS_002,SplineRidge,full,SplineRidge_08,"{""alpha"": 10, ""n_knots"": 8}",10578,3526,0.06369595855970811,False,ok
PS_002,SplineRidge,restricted_B1,SplineRidge_00,"{""alpha"": 0.1, ""n_knots"": 4}",7230,3526,0.06330134011677709,False,ok
PS_002,SplineRidge,restricted_B1,SplineRidge_01,"{""alpha"": 1, ""n_knots"": 4}",7230,3526,0.06329587625244874,False,ok
PS_002,SplineRidge,restricted_B1,SplineRidge_02,"{""alpha"": 10, ""n_knots"": 4}",7230,3526,0.06325139147338092,True,ok
PS_002,SplineRidge,restricted_B1,SplineRidge_03,"{""alpha"": 0.1, ""n_knots"": 6}",7230,3526,0.06411390786830876,False,ok
PS_002,SplineRidge,restricted_B1,SplineRidge_04,"{""alpha"": 1, ""n_knots"": 6}",7230,3526,0.06410348977662757,False,ok
PS_002,SplineRidge,restricted_B1,SplineRidge_05,"{""alpha"": 10, ""n_knots"": 6}",7230,3526,0.06401863916242456,False,ok
PS_002,SplineRidge,restricted_B1,SplineRidge_06,"{""alpha"": 0.1, ""n_knots"": 8}",7230,3526,0.06438109743389388,False,ok
PS_002,SplineRidge,restricted_B1,SplineRidge_07,"{""alpha"": 1, ""n_knots"": 8}",7230,3526,0.06437057996636432,False,ok
PS_002,SplineRidge,restricted_B1,SplineRidge_08,"{""alpha"": 10, ""n_knots"": 8}",7230,3526,0.0642816683131659,False,ok
PS_002,SplineRidge,restricted_B2,SplineRidge_00,"{""alpha"": 0.1, ""n_knots"": 4}",7156,3526,0.06225487554523223,True,ok
PS_002,SplineRidge,restricted_B2,SplineRidge_01,"{""alpha"": 1, ""n_knots"": 4}",7156,3526,0.062257855111092476,False,ok
PS_002,SplineRidge,restricted_B2,SplineRidge_02,"{""alpha"": 10, ""n_knots"": 4}",7156,3526,0.06229136759814721,False,ok
PS_002,SplineRidge,restricted_B2,SplineRidge_03,"{""alpha"": 0.1, ""n_knots"": 6}",7156,3526,0.06277693936309808,False,ok
PS_002,SplineRidge,restricted_B2,SplineRidge_04,"{""alpha"": 1, ""n_knots"": 6}",7156,3526,0.06277471479898811,False,ok
PS_002,SplineRidge,restricted_B2,SplineRidge_05,"{""alpha"": 10, ""n_knots"": 6}",7156,3526,0.06275836540410057,False,ok
PS_002,SplineRidge,restricted_B2,SplineRidge_06,"{""alpha"": 0.1, ""n_knots"": 8}",7156,3526,0.06315537452502787,False,ok
PS_002,SplineRidge,restricted_B2,SplineRidge_07,"{""alpha"": 1, ""n_knots"": 8}",7156,3526,0.06315675719028103,False,ok
PS_002,SplineRidge,restricted_B2,SplineRidge_08,"{""alpha"": 10, ""n_knots"": 8}",7156,3526,0.06317452770575241,False,ok
PS_002,SplineRidge,restricted_B3,SplineRidge_00,"{""alpha"": 0.1, ""n_knots"": 4}",6770,3526,0.07036423021942996,False,ok
PS_002,SplineRidge,restricted_B3,SplineRidge_01,"{""alpha"": 1, ""n_knots"": 4}",6770,3526,0.07036131680498313,False,ok
PS_002,SplineRidge,restricted_B3,SplineRidge_02,"{""alpha"": 10, ""n_knots"": 4}",6770,3526,0.07031858228068301,True,ok
PS_002,SplineRidge,restricted_B3,SplineRidge_03,"{""alpha"": 0.1, ""n_knots"": 6}",6770,3526,0.07353843479036616,False,ok
PS_002,SplineRidge,restricted_B3,SplineRidge_04,"{""alpha"": 1, ""n_knots"": 6}",6770,3526,0.0734725206576719,False,ok
PS_002,SplineRidge,restricted_B3,SplineRidge_05,"{""alpha"": 10, ""n_knots"": 6}",6770,3526,0.07286392546502642,False,ok
PS_002,SplineRidge,restricted_B3,SplineRidge_06,"{""alpha"": 0.1, ""n_knots"": 8}",6770,3526,0.07377726304523408,False,ok
PS_002,SplineRidge,restricted_B3,SplineRidge_07,"{""alpha"": 1, ""n_knots"": 8}",6770,3526,0.07373397256717266,False,ok
PS_002,SplineRidge,restricted_B3,SplineRidge_08,"{""alpha"": 10, ""n_knots"": 8}",6770,3526,0.07332768317957025,False,ok
PS_003,HistGradientBoosting,full,HistGradientBoosting_00,"{""l2_regularization"": 0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",10119,3373,0.06112143997245542,True,ok
PS_003,HistGradientBoosting,full,HistGradientBoosting_01,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",10119,3373,0.061808124468415944,False,ok
PS_003,HistGradientBoosting,full,HistGradientBoosting_02,"{""l2_regularization"": 0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",10119,3373,0.06238673641154881,False,ok
PS_003,HistGradientBoosting,full,HistGradientBoosting_03,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",10119,3373,0.06311070421732873,False,ok
PS_003,HistGradientBoosting,full,HistGradientBoosting_04,"{""l2_regularization"": 0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",10119,3373,0.06119788211370674,False,ok
PS_003,HistGradientBoosting,full,HistGradientBoosting_05,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",10119,3373,0.061240861604406824,False,ok
PS_003,HistGradientBoosting,full,HistGradientBoosting_06,"{""l2_regularization"": 0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",10119,3373,0.0635132685852308,False,ok
PS_003,HistGradientBoosting,full,HistGradientBoosting_07,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",10119,3373,0.062413885792288404,False,ok
PS_003,HistGradientBoosting,restricted_B1,HistGradientBoosting_00,"{""l2_regularization"": 0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",6992,3373,0.06312756064612379,True,ok
PS_003,HistGradientBoosting,restricted_B1,HistGradientBoosting_01,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",6992,3373,0.06531505038206308,False,ok
PS_003,HistGradientBoosting,restricted_B1,HistGradientBoosting_02,"{""l2_regularization"": 0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",6992,3373,0.06585794247074238,False,ok
PS_003,HistGradientBoosting,restricted_B1,HistGradientBoosting_03,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",6992,3373,0.06574059660530285,False,ok
PS_003,HistGradientBoosting,restricted_B1,HistGradientBoosting_04,"{""l2_regularization"": 0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",6992,3373,0.06455242038609336,False,ok
PS_003,HistGradientBoosting,restricted_B1,HistGradientBoosting_05,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",6992,3373,0.06616326302584309,False,ok
PS_003,HistGradientBoosting,restricted_B1,HistGradientBoosting_06,"{""l2_regularization"": 0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",6992,3373,0.06784867268041603,False,ok
PS_003,HistGradientBoosting,restricted_B1,HistGradientBoosting_07,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",6992,3373,0.06585894478316308,False,ok
PS_003,HistGradientBoosting,restricted_B2,HistGradientBoosting_00,"{""l2_regularization"": 0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",6848,3373,0.06112810947471356,False,ok
PS_003,HistGradientBoosting,restricted_B2,HistGradientBoosting_01,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",6848,3373,0.06078811240082844,True,ok
PS_003,HistGradientBoosting,restricted_B2,HistGradientBoosting_02,"{""l2_regularization"": 0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",6848,3373,0.06303878012294183,False,ok
PS_003,HistGradientBoosting,restricted_B2,HistGradientBoosting_03,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",6848,3373,0.06252611065455001,False,ok
PS_003,HistGradientBoosting,restricted_B2,HistGradientBoosting_04,"{""l2_regularization"": 0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",6848,3373,0.06097924097690417,False,ok
PS_003,HistGradientBoosting,restricted_B2,HistGradientBoosting_05,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",6848,3373,0.06220843822974974,False,ok
PS_003,HistGradientBoosting,restricted_B2,HistGradientBoosting_06,"{""l2_regularization"": 0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",6848,3373,0.062006697306428916,False,ok
PS_003,HistGradientBoosting,restricted_B2,HistGradientBoosting_07,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",6848,3373,0.06322333086805107,False,ok
PS_003,HistGradientBoosting,restricted_B3,HistGradientBoosting_00,"{""l2_regularization"": 0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",6398,3373,0.06775359239108185,False,ok
