source_plant_id,feature,median,iqr,mad,scale,scale_source,n_source_train,tau,n_support_features,engine_computable
PS_002,poa_irradiance_wm2,465.3543604473103,526.2262692730797,,526.2262692730797,IQR,10578,0.4062346076280548,6,True
PS_002,ghi_irradiance_wm2,415.2016704415872,448.05661078054857,,448.05661078054857,IQR,10578,0.4062346076280548,6,True
PS_002,gri_irradiance_wm2,46.22900385603738,48.9644386387779,,48.9644386387779,IQR,10578,0.4062346076280548,6,True
PS_002,panel_temperature_celsius,35.56983640564621,16.182551220816336,,16.182551220816336,IQR,10578,0.4062346076280548,6,True
PS_002,ambient_temperature_celsius,24.872319545450875,5.984873997626693,,5.984873997626693,IQR,10578,0.4062346076280548,6,True
PS_002,wind_speed_ms,2.7463382733892425,2.1529034246299377,,2.1529034246299377,IQR,10578,0.4062346076280548,6,True
PS_003,poa_irradiance_wm2,467.72878744531926,524.8965781824479,,524.8965781824479,IQR,10119,0.41497290002681125,6,True
PS_003,ghi_irradiance_wm2,418.37779740031533,449.9785034296258,,449.9785034296258,IQR,10119,0.41497290002681125,6,True
PS_003,gri_irradiance_wm2,46.00230335084585,49.1074119839402,,49.1074119839402,IQR,10119,0.41497290002681125,6,True
PS_003,panel_temperature_celsius,35.782242295626254,16.078827655792242,,16.078827655792242,IQR,10119,0.41497290002681125,6,True
PS_003,ambient_temperature_celsius,25.036423104386238,5.935414947293882,,5.935414947293882,IQR,10119,0.41497290002681125,6,True
PS_003,wind_speed_ms,2.785568801831316,2.0979047537019446,,2.0979047537019446,IQR,10119,0.41497290002681125,6,True
PS_035,poa_irradiance_wm2,682.4463458976873,738.4105125525401,,738.4105125525401,IQR,4883,0.5378490576046681,6,True
PS_035,ghi_irradiance_wm2,506.7322236293366,611.0768535182335,,611.0768535182335,IQR,4883,0.5378490576046681,6,True
PS_035,gri_irradiance_wm2,32.69672141918805,19.717569280137976,,19.717569280137976,IQR,4883,0.5378490576046681,6,True
PS_035,panel_temperature_celsius,43.40355832661863,18.983252565280615,,18.983252565280615,IQR,4883,0.5378490576046681,6,True
PS_035,ambient_temperature_celsius,28.615363298106942,6.272266255929544,,6.272266255929544,IQR,4883,0.5378490576046681,6,True
PS_035,wind_speed_ms,3.0748794259186107,1.43092812551542,,1.43092812551542,IQR,4883,0.5378490576046681,6,True
PS_039,poa_irradiance_wm2,601.2235781902496,717.5785359898401,,717.5785359898401,IQR,3952,0.49852846726282063,6,True
PS_039,ghi_irradiance_wm2,470.4969243307928,578.4642521588426,,578.4642521588426,IQR,3952,0.49852846726282063,6,True
PS_039,gri_irradiance_wm2,52.59623490696218,38.53666250106339,,38.53666250106339,IQR,3952,0.49852846726282063,6,True
PS_039,panel_temperature_celsius,42.31948033877734,18.778815034185833,,18.778815034185833,IQR,3952,0.49852846726282063,6,True
PS_039,ambient_temperature_celsius,27.67785502409607,5.77801154283279,,5.77801154283279,IQR,3952,0.49852846726282063,6,True
PS_039,wind_speed_ms,2.0540236537115435,1.5208367792758795,,1.5208367792758795,IQR,3952,0.49852846726282063,6,True
PS_042,poa_irradiance_wm2,658.4252821015361,615.7695327272628,,615.7695327272628,IQR,2455,0.5311994797362574,6,True
PS_042,ghi_irradiance_wm2,481.5199448908216,530.1670825467492,,530.1670825467492,IQR,2455,0.5311994797362574,6,True
PS_042,gri_irradiance_wm2,69.88183216261689,36.974664654056824,,36.974664654056824,IQR,2455,0.5311994797362574,6,True
PS_042,panel_temperature_celsius,42.692459024497246,16.155716119549282,,16.155716119549282,IQR,2455,0.5311994797362574,6,True
PS_042,ambient_temperature_celsius,29.54307384104285,5.115685728397395,,5.115685728397395,IQR,2455,0.5311994797362574,6,True
PS_042,wind_speed_ms,1.7107631309963278,1.3923795485207657,,1.3923795485207657,IQR,2455,0.5311994797362574,6,True
PS_043,poa_irradiance_wm2,679.2473239406027,622.553055890558,,622.553055890558,IQR,2370,0.5142527041119462,6,True
