group_id,plant_a,plant_b,a_to_b_computable,b_to_a_computable,otg_a_to_b,otg_b_to_a,asymmetry_signed,asymmetry_abs,asymmetry_computable
TW_04b9f5d95694,PS_002,PS_003,True,True,0.0009569717451744161,0.0011998025490375097,-0.00024283080386309358,0.00024283080386309358,True
TW_4467a039e00b,PS_042,PS_043,True,True,-0.017054985529939476,0.02282385799881346,-0.039878843528752934,0.039878843528752934,True
TW_4467a039e00b,PS_042,PS_044,True,True,0.011274777530572877,0.0006296087209434614,0.010645168809629416,0.010645168809629416,True
TW_4467a039e00b,PS_042,PS_045,True,True,-0.008524834471995923,0.0014929881260826866,-0.01001782259807861,0.01001782259807861,True
TW_4467a039e00b,PS_042,PS_046,True,True,-0.004843216533129205,-0.010587238995742543,0.005744022462613338,0.005744022462613338,True
TW_4467a039e00b,PS_042,PS_047,True,True,-0.0035371479670979547,0.11823485794656305,-0.121772005913661,0.121772005913661,True
TW_4467a039e00b,PS_042,PS_048,True,True,0.00012387431004732413,-0.019314867726894204,0.019438742036941528,0.019438742036941528,True
TW_4467a039e00b,PS_042,PS_049,True,True,-0.002884754831919495,-0.009538453873684037,0.006653699041764542,0.006653699041764542,True
TW_4467a039e00b,PS_042,PS_050,True,True,0.0023311799547450426,-0.013230633404356984,0.015561813359102027,0.015561813359102027,True
TW_4467a039e00b,PS_042,PS_051,True,True,0.027851518455528537,-0.0077363208349322185,0.035587839290460756,0.035587839290460756,True
TW_4467a039e00b,PS_043,PS_044,True,True,0.045224458573001794,0.002728839455338375,0.04249561911766342,0.04249561911766342,True
TW_4467a039e00b,PS_043,PS_045,True,True,0.015195240447903546,0.009275191891253684,0.005920048556649862,0.005920048556649862,True
TW_4467a039e00b,PS_043,PS_046,True,True,0.014229621346582413,0.00941723031832789,0.004812391028254523,0.004812391028254523,True
TW_4467a039e00b,PS_043,PS_047,True,True,0.03048558545327535,0.06875139928501607,-0.03826581383174072,0.03826581383174072,True
TW_4467a039e00b,PS_043,PS_048,True,True,0.013820111613082775,-0.007462482975256708,0.021282594588339483,0.021282594588339483,True
TW_4467a039e00b,PS_043,PS_049,True,True,0.009391758907145956,-0.014728232054463192,0.024119990961609147,0.024119990961609147,True
TW_4467a039e00b,PS_043,PS_050,True,True,0.018039268765651602,-0.020052905059238485,0.03809217382489009,0.03809217382489009,True
TW_4467a039e00b,PS_043,PS_051,True,True,0.035700763032263716,-0.020486714689904748,0.056187477722168463,0.056187477722168463,True
TW_4467a039e00b,PS_044,PS_045,True,True,0.0036192237936463756,0.019229718852121117,-0.015610495058474741,0.015610495058474741,True
TW_4467a039e00b,PS_044,PS_046,True,True,0.0039133863461275065,-0.004095805369213543,0.008009191715341049,0.008009191715341049,True
