target_plant_id,n_sources,n_common_rows,best_twin_source,best_twin_mae,pool_row_mae,pool_bal_mae,gain_row_vs_best_twin,gain_bal_vs_best_twin,headline,diagnostic
PS_042,8,113,PS_051,0.04369056865157297,0.04582693360013034,0.04840926016424214,-0.0021363649485573732,-0.004718691512669175,False,optional_common_row_best_twin
PS_043,8,81,PS_042,0.06015372315668009,0.057019656930702156,0.05804128543554263,0.0031340662259779356,0.002112437721137464,False,optional_common_row_best_twin
PS_044,8,114,PS_046,0.07320899275540506,0.07707100401286804,0.07740360404629533,-0.00386201125746298,-0.004194611290890271,False,optional_common_row_best_twin
PS_045,8,98,PS_042,0.04420171666676435,0.04529571673645917,0.04508052736140665,-0.001094000069694824,-0.0008788106946423027,False,optional_common_row_best_twin
PS_046,8,108,PS_042,0.04601393744837061,0.04439612336126712,0.04602513799835303,0.0016178140871034863,-1.1200549982423591e-05,False,optional_common_row_best_twin
PS_047,8,72,PS_042,0.04643867530503135,0.05076123063284937,0.05425777408545341,-0.0043225553278180145,-0.007819098780422057,False,optional_common_row_best_twin
PS_048,9,53,PS_049,0.02798747239301664,0.030630370571142044,0.02847005761162548,-0.0026428981781254045,-0.00048258521860884,False,optional_common_row_best_twin
PS_049,8,81,PS_042,0.06282847908149525,0.06317721008531964,0.062496298164632834,-0.00034873100382439015,0.00033218091686241374,False,optional_common_row_best_twin
PS_050,8,65,PS_051,0.04674296199807443,0.04846465602266551,0.05060716531666367,-0.001721694024591082,-0.003864203318589242,False,optional_common_row_best_twin
PS_051,8,62,PS_050,0.04581400951389163,0.04760194952483801,0.047865209353115126,-0.0017879400109463775,-0.002051199839223493,False,optional_common_row_best_twin
