target_plant_id,variant,candidate_id,hyperparameters,alpha,n_knots,donor_equal_mean_val_mae,fit_status,selected,n_donor_train,n_donor_val,runner_up_val_mae,selection_gap
PS_039,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07566598916469812,ok,True,47643,15882,0.07573573852347759,6.97493587794723e-05
PS_039,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.08018308418062045,ok,False,47643,15882,,
PS_039,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.11126543861816442,ok,False,47643,15882,,
PS_039,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10442484471447405,ok,False,47643,15882,,
PS_042,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07323631942419032,ok,True,49140,16382,0.07325752566393152,2.1206239741208832e-05
PS_042,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07338002145986547,ok,False,49140,16382,,
PS_042,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07325752566393152,ok,False,49140,16382,,
PS_042,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07325922126879394,ok,False,49140,16382,,
PS_042,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07326994868731934,ok,False,49140,16382,,
PS_042,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07327620402100898,ok,False,49140,16382,,
PS_042,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.0760668607796611,ok,False,49140,16382,,
PS_042,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07585678505760222,ok,True,49140,16382,0.07590032608509677,4.354102749454247e-05
PS_042,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07590032608509677,ok,False,49140,16382,,
PS_042,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.08039806575953573,ok,False,49140,16382,,
PS_042,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.11133676966070284,ok,False,49140,16382,,
PS_042,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10459095963825822,ok,False,49140,16382,,
PS_043,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.0736757202564659,ok,False,49225,16410,,
PS_043,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07378164172420272,ok,False,49225,16410,,
PS_043,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07360207671906847,ok,True,49225,16410,0.07360369300366926,1.6162846007833354e-06
PS_043,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07360369300366926,ok,False,49225,16410,,
PS_043,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07370833997348847,ok,False,49225,16410,,
PS_043,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07362007093262574,ok,False,49225,16410,,
PS_043,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07653120547094164,ok,False,49225,16410,,
PS_043,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07631889625971099,ok,True,49225,16410,0.07638037994959226,6.148368988127817e-05
PS_043,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07638037994959226,ok,False,49225,16410,,
PS_043,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.08083811899983882,ok,False,49225,16410,,
PS_043,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.112213793440648,ok,False,49225,16410,,
PS_043,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10512672826150357,ok,False,49225,16410,,
PS_044,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07334441753429496,ok,True,49092,16366,0.07336809662884321,2.3679094548242907e-05
PS_044,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07363586619142781,ok,False,49092,16366,,
PS_044,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.0734662543742525,ok,False,49092,16366,,
PS_044,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07346771505995467,ok,False,49092,16366,,
PS_044,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07336809662884321,ok,False,49092,16366,,
PS_044,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07348232027592817,ok,False,49092,16366,,
PS_044,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07598529387518804,ok,True,49092,16366,0.07627390889361195,0.00028861501842390724
PS_044,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07628540818962179,ok,False,49092,16366,,
PS_044,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07627390889361195,ok,False,49092,16366,,
PS_044,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.0800859814281676,ok,False,49092,16366,,
PS_044,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.10823240067595216,ok,False,49092,16366,,
PS_044,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10189499096120903,ok,False,49092,16366,,
PS_045,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07558271489049068,ok,False,49399,16468,,
PS_045,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07573176720308536,ok,False,49399,16468,,
PS_045,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07556108087068919,ok,True,49399,16468,0.07556276320870861,1.6823380194208593e-06
PS_045,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07556276320870861,ok,False,49399,16468,,
PS_045,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07561421598218337,ok,False,49399,16468,,
PS_045,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07557964731291264,ok,False,49399,16468,,
PS_045,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07846530257736012,ok,False,49399,16468,,
PS_045,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07819647769820268,ok,False,49399,16468,,
PS_045,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.0781319635936018,ok,True,49399,16468,0.07819647769820268,6.451410460087126e-05
PS_045,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.0826209804761581,ok,False,49399,16468,,
PS_045,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.11237375077389154,ok,False,49399,16468,,
PS_045,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10611235071502831,ok,False,49399,16468,,
PS_046,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07614741492855187,ok,True,49885,16630,0.07616230415673773,1.4889228185863135e-05
PS_046,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07632626420371916,ok,False,49885,16630,,
PS_046,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07616230415673773,ok,False,49885,16630,,
