target_plant_id,variant,n_donor_plants,donors,n_donor_train_total,n_donor_val_total,train_rows_by_plant,val_rows_by_plant,effective_total_weight_by_plant,balanced_weights_equal,selected_candidate_id,selected_hyperparameters,selected_val_mae,runner_up_val_mae,selection_gap,held_out_target_train_rows,held_out_target_val_rows,scaler_sample_weight,ridge_sample_weight,same_weight_vector_scaler_ridge,spline_transformer_sample_weight
PS_043,row_pooled,13,"PS_002,PS_003,PS_035,PS_039,PS_042,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",49225,16410,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 10578.0, ""PS_003"": 10119.0, ""PS_035"": 4883.0, ""PS_039"": 3952.0, ""PS_042"": 2455.0, ""PS_044"": 2503.0, ""PS_045"": 2196.0, ""PS_046"": 1710.0, ""PS_047"": 1725.0, ""PS_048"": 2215.0, ""PS_049"": 2129.0, ""PS_050"": 2521.0, ""PS_051"": 2239.0}",,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.07360207671906847,0.07360369300366926,1.6162846007833354e-06,0,0,False,False,True,False
PS_043,plant_balanced,13,"PS_002,PS_003,PS_035,PS_039,PS_042,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",49225,16410,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 1.0000000000000002, ""PS_003"": 0.9999999999999999, ""PS_035"": 1.0, ""PS_039"": 0.9999999999999997, ""PS_042"": 1.0, ""PS_044"": 0.9999999999999998, ""PS_045"": 1.0000000000000004, ""PS_046"": 0.9999999999999998, ""PS_047"": 0.9999999999999998, ""PS_048"": 1.0, ""PS_049"": 1.0, ""PS_050"": 0.9999999999999996, ""PS_051"": 1.0000000000000002}",True,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.07631889625971099,0.07638037994959226,6.148368988127817e-05,0,0,True,True,True,False
PS_044,row_pooled,13,"PS_002,PS_003,PS_035,PS_039,PS_042,PS_043,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",49092,16366,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 10578.0, ""PS_003"": 10119.0, ""PS_035"": 4883.0, ""PS_039"": 3952.0, ""PS_042"": 2455.0, ""PS_043"": 2370.0, ""PS_045"": 2196.0, ""PS_046"": 1710.0, ""PS_047"": 1725.0, ""PS_048"": 2215.0, ""PS_049"": 2129.0, ""PS_050"": 2521.0, ""PS_051"": 2239.0}",,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.07334441753429496,0.07336809662884321,2.3679094548242907e-05,0,0,False,False,True,False
PS_044,plant_balanced,13,"PS_002,PS_003,PS_035,PS_039,PS_042,PS_043,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",49092,16366,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 1.0000000000000002, ""PS_003"": 0.9999999999999999, ""PS_035"": 1.0, ""PS_039"": 0.9999999999999997, ""PS_042"": 1.0, ""PS_043"": 1.0000000000000004, ""PS_045"": 1.0000000000000004, ""PS_046"": 0.9999999999999998, ""PS_047"": 0.9999999999999998, ""PS_048"": 1.0, ""PS_049"": 1.0, ""PS_050"": 0.9999999999999996, ""PS_051"": 1.0000000000000002}",True,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.07598529387518804,0.07627390889361195,0.00028861501842390724,0,0,True,True,True,False
PS_045,row_pooled,13,"PS_002,PS_003,PS_035,PS_039,PS_042,PS_043,PS_044,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",49399,16468,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 10578.0, ""PS_003"": 10119.0, ""PS_035"": 4883.0, ""PS_039"": 3952.0, ""PS_042"": 2455.0, ""PS_043"": 2370.0, ""PS_044"": 2503.0, ""PS_046"": 1710.0, ""PS_047"": 1725.0, ""PS_048"": 2215.0, ""PS_049"": 2129.0, ""PS_050"": 2521.0, ""PS_051"": 2239.0}",,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.07556108087068919,0.07556276320870861,1.6823380194208593e-06,0,0,False,False,True,False
PS_045,plant_balanced,13,"PS_002,PS_003,PS_035,PS_039,PS_042,PS_043,PS_044,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",49399,16468,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 1.0000000000000002, ""PS_003"": 0.9999999999999999, ""PS_035"": 1.0, ""PS_039"": 0.9999999999999997, ""PS_042"": 1.0, ""PS_043"": 1.0000000000000004, ""PS_044"": 0.9999999999999998, ""PS_046"": 0.9999999999999998, ""PS_047"": 0.9999999999999998, ""PS_048"": 1.0, ""PS_049"": 1.0, ""PS_050"": 0.9999999999999996, ""PS_051"": 1.0000000000000002}",True,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.0781319635936018,0.07819647769820268,6.451410460087126e-05,0,0,True,True,True,False
PS_046,row_pooled,13,"PS_002,PS_003,PS_035,PS_039,PS_042,PS_043,PS_044,PS_045,PS_047,PS_048,PS_049,PS_050,PS_051",49885,16630,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 10578.0, ""PS_003"": 10119.0, ""PS_035"": 4883.0, ""PS_039"": 3952.0, ""PS_042"": 2455.0, ""PS_043"": 2370.0, ""PS_044"": 2503.0, ""PS_045"": 2196.0, ""PS_047"": 1725.0, ""PS_048"": 2215.0, ""PS_049"": 2129.0, ""PS_050"": 2521.0, ""PS_051"": 2239.0}",,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.07614741492855187,0.07616230415673773,1.4889228185863135e-05,0,0,False,False,True,False
PS_046,plant_balanced,13,"PS_002,PS_003,PS_035,PS_039,PS_042,PS_043,PS_044,PS_045,PS_047,PS_048,PS_049,PS_050,PS_051",49885,16630,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 1.0000000000000002, ""PS_003"": 0.9999999999999999, ""PS_035"": 1.0, ""PS_039"": 0.9999999999999997, ""PS_042"": 1.0, ""PS_043"": 1.0000000000000004, ""PS_044"": 0.9999999999999998, ""PS_045"": 1.0000000000000004, ""PS_047"": 0.9999999999999998, ""PS_048"": 1.0, ""PS_049"": 1.0, ""PS_050"": 0.9999999999999996, ""PS_051"": 1.0000000000000002}",True,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.07904270379362065,0.07905820928614614,1.5505492525491604e-05,0,0,True,True,True,False
PS_047,row_pooled,13,"PS_002,PS_003,PS_035,PS_039,PS_042,PS_043,PS_044,PS_045,PS_046,PS_048,PS_049,PS_050,PS_051",49870,16625,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 10578.0, ""PS_003"": 10119.0, ""PS_035"": 4883.0, ""PS_039"": 3952.0, ""PS_042"": 2455.0, ""PS_043"": 2370.0, ""PS_044"": 2503.0, ""PS_045"": 2196.0, ""PS_046"": 1710.0, ""PS_048"": 2215.0, ""PS_049"": 2129.0, ""PS_050"": 2521.0, ""PS_051"": 2239.0}",,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.06921073488671309,0.06921296336114319,2.2284744300993253e-06,0,0,False,False,True,False
PS_047,plant_balanced,13,"PS_002,PS_003,PS_035,PS_039,PS_042,PS_043,PS_044,PS_045,PS_046,PS_048,PS_049,PS_050,PS_051",49870,16625,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 1.0000000000000002, ""PS_003"": 0.9999999999999999, ""PS_035"": 1.0, ""PS_039"": 0.9999999999999997, ""PS_042"": 1.0, ""PS_043"": 1.0000000000000004, ""PS_044"": 0.9999999999999998, ""PS_045"": 1.0000000000000004, ""PS_046"": 0.9999999999999998, ""PS_048"": 1.0, ""PS_049"": 1.0, ""PS_050"": 0.9999999999999996, ""PS_051"": 1.0000000000000002}",True,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.07075964984127453,0.07078467507633421,2.502523505967802e-05,0,0,True,True,True,False
