group_id,source_plant_id,target_plant_id,otg_abs,otg_rel,support_retention,local_same_rows_mae
TW_04b9f5d95694,PS_002,PS_003,0.0009569717451765741,0.017039111841167062,0.9481327800829875,0.056163241024364804
TW_04b9f5d95694,PS_003,PS_002,0.0011998025490371905,0.01812030043340742,0.9461298554011908,0.06621317088237562
TW_4467a039e00b,PS_042,PS_043,-0.017054985529941932,-0.20086861829906913,0.7762326169405815,0.08490617237456732
TW_4467a039e00b,PS_042,PS_046,-0.004843216533139363,-0.07068037762319683,0.5263157894736842,0.0685227880212945
TW_4467a039e00b,PS_042,PS_051,0.02785151845552622,0.4205276230157856,0.7161981258366801,0.06622993813293625
TW_4467a039e00b,PS_043,PS_051,0.03570076303226996,0.47104974259283355,0.5502008032128514,0.07578979416432677
TW_4467a039e00b,PS_044,PS_042,0.0006296087209668733,0.010208009835106264,0.7057387057387058,0.06167791088930892
TW_4467a039e00b,PS_044,PS_045,0.0036192237936387914,0.07694357225457742,0.5860655737704918,0.04703737671113238
TW_4467a039e00b,PS_044,PS_046,0.0039133863461248974,0.06064903023201766,0.8035087719298246,0.0645251264719968
TW_4467a039e00b,PS_044,PS_047,0.0071577689784308035,0.0732059712821589,0.5416666666666666,0.0977757531669446
TW_4467a039e00b,PS_044,PS_049,0.005280386613518866,0.090218034400501,0.5661971830985916,0.058529169346318
TW_4467a039e00b,PS_044,PS_050,0.005192983227140013,0.09128752236320946,0.5041617122473246,0.056886013473763423
TW_4467a039e00b,PS_045,PS_042,0.0014929881261084438,0.023866326646259962,0.5921855921855922,0.06255625963044491
TW_4467a039e00b,PS_045,PS_044,0.019229718852109487,0.2510928805182661,0.5401197604790419,0.07658408638436323
TW_4467a039e00b,PS_045,PS_046,0.004750100426155618,0.0725213010497713,0.8245614035087719,0.0654993823524433
TW_4467a039e00b,PS_045,PS_047,-0.029810222612715945,-0.24111774765010588,0.7239583333333334,0.12363346499061764
TW_4467a039e00b,PS_045,PS_049,0.005187873056353466,0.09068350552690223,0.7338028169014085,0.057208563191400094
TW_4467a039e00b,PS_045,PS_050,0.003812474935823658,0.06243574648323796,0.6967895362663495,0.06106237453006489
TW_4467a039e00b,PS_046,PS_042,-0.010587238995745159,-0.1671372866492131,0.5763125763125763,0.06334456666133155
TW_4467a039e00b,PS_046,PS_044,-0.004095805369216318,-0.051219914152006676,0.5544910179640719,0.07996509633071797
TW_4467a039e00b,PS_046,PS_045,0.0005852973683572876,0.013552132510248564,0.6857923497267759,0.04318858068386409
TW_4467a039e00b,PS_046,PS_047,-0.0397182861422483,-0.3140212820831142,0.7378472222222222,0.1264827844748936
TW_4467a039e00b,PS_046,PS_049,0.010210397068968896,0.1748382830475263,0.6816901408450704,0.05839909252708346
TW_4467a039e00b,PS_046,PS_050,0.002475850877267316,0.04133216625373907,0.6813317479191439,0.05990130935959208
TW_4467a039e00b,PS_047,PS_042,0.11823485794663127,1.8936850371472136,0.7155067155067155,0.0624363902271462
TW_4467a039e00b,PS_047,PS_044,0.1186737048292433,1.5183387056537043,0.6838323353293413,0.07816023156582155
TW_4467a039e00b,PS_047,PS_045,0.10737278000357282,2.3269209560432285,0.7486338797814208,0.046143716108927466
TW_4467a039e00b,PS_047,PS_046,0.06429817903246841,0.9447224934137989,0.8543859649122807,0.06806038755372908
TW_4467a039e00b,PS_047,PS_049,0.1118111049686951,1.8366882758778387,0.671830985915493,0.06087647339897968
TW_4467a039e00b,PS_047,PS_050,0.1148626912301649,1.9077755658762903,0.6373365041617123,0.060207654026329625
TW_4467a039e00b,PS_049,PS_042,-0.009538453873604733,-0.15601180197257078,0.7081807081807082,0.06113930967403181
TW_4467a039e00b,PS_049,PS_043,-0.014728232054464434,-0.19854073309892148,0.5031605562579013,0.0741824200232312
TW_4467a039e00b,PS_049,PS_044,0.006361898608261737,0.08168660830570257,0.704191616766467,0.07788178185159894
TW_4467a039e00b,PS_049,PS_045,0.005620504664835005,0.12287427160781961,0.7581967213114754,0.045741916442638926
TW_4467a039e00b,PS_049,PS_046,0.0071416636224147095,0.11049499037108494,0.9052631578947369,0.06463337024086105
TW_4467a039e00b,PS_049,PS_047,-0.017016244994608992,-0.14519796860276393,0.7430555555555556,0.11719340951086196
TW_4467a039e00b,PS_049,PS_050,0.006793773823267998,0.1129250027348752,0.6979785969084423,0.060161821197546386
TW_4467a039e00b,PS_050,PS_042,-0.013230633404320673,-0.21313826540246636,0.7362637362637363,0.062075354602973004
TW_4467a039e00b,PS_050,PS_043,-0.020052905059231803,-0.26458521386481104,0.5967130214917825,0.0757899686317232
TW_4467a039e00b,PS_050,PS_044,0.004544655186495772,0.05747287774815251,0.755688622754491,0.07907478039311963
TW_4467a039e00b,PS_050,PS_045,0.0010553703250080343,0.023633088398374257,0.7827868852459017,0.04465647092830382
TW_4467a039e00b,PS_050,PS_046,0.0005212534471596281,0.00779186818535606,0.9403508771929825,0.06689710795406746
TW_4467a039e00b,PS_050,PS_047,-0.03700034205493366,-0.30344868305039896,0.8715277777777778,0.12193278179028502
TW_4467a039e00b,PS_050,PS_049,0.0037625795021312483,0.06404201316322396,0.8,0.05875173680973391
TW_4467a039e00b,PS_050,PS_051,0.007650574427969972,0.12376477708690332,0.5408299866131191,0.061815442228753056
TW_4467a039e00b,PS_051,PS_043,-0.020486714689908703,-0.24098932261142986,0.6371681415929203,0.08501088126191131
TW_88a108921af7,PS_035,PS_039,-0.013253571979140621,-0.16838816331927267,0.5584218512898331,0.07870845383598112
