group_id,source_plant_id,target_plant_id,otg_abs,otg_rel,otg_rel_defined,support_retention,local_same_rows_mae,transfer_mae,retention_tercile,computable,model_family,support_rule
TW_04b9f5d95694,PS_002,PS_003,0.0009569717451765741,0.017039111841167062,True,0.9481327800829875,0.056163241024364804,0.05712021276954138,HIGH,True,SplineRidge,CS4
TW_04b9f5d95694,PS_003,PS_002,0.0011998025490371905,0.01812030043340742,True,0.9461298554011908,0.06621317088237562,0.06741297343141281,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_042,PS_043,-0.017054985529941932,-0.20086861829906913,True,0.7762326169405815,0.08490617237456732,0.06785118684462539,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_042,PS_044,0.011274777530608182,0.1467595882399013,True,0.48502994011976047,0.07682481032978787,0.08809958786039605,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_042,PS_045,-0.008524834471969632,-0.13104990347112724,True,0.26639344262295084,0.06505029188249507,0.05652545741052544,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_042,PS_046,-0.004843216533139363,-0.07068037762319683,True,0.5263157894736842,0.0685227880212945,0.06367957148815513,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_042,PS_047,-0.0035371479670893505,-0.05581063298488716,True,0.296875,0.06337767156389656,0.059840523596807214,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_042,PS_048,0.000123874310040753,0.0039252061566285405,True,0.2259810554803789,0.03155867618101155,0.0316825504910523,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_042,PS_049,-0.002884754831913139,-0.03675628361201586,True,0.20422535211267606,0.0784833108364115,0.07559855600449836,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_042,PS_050,0.002331179954775754,0.039929796363007204,True,0.14744351961950058,0.058381964525505724,0.06071314448028148,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_042,PS_051,0.02785151845552622,0.4205276230157856,True,0.7161981258366801,0.06622993813293625,0.09408145658846247,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_043,PS_042,0.02282385799882651,0.4530435446190152,True,0.2576312576312576,0.05037894981600527,0.07320280781483178,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_043,PS_044,0.04522445857300775,0.608862674749775,True,0.2634730538922156,0.07427694363362593,0.11950140220663368,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_043,PS_045,0.015195240447891868,0.27891586500159843,True,0.20218579234972678,0.05447965624976115,0.06967489669765302,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_043,PS_046,0.014229621346581393,0.23464767941625653,True,0.2614035087719298,0.06064249764575152,0.07487211899233291,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_043,PS_047,0.03048558545326155,0.6192674162863256,True,0.1684027777777778,0.0492284668166138,0.07971405226987535,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_043,PS_048,0.013820111613068065,0.5092852090126324,True,0.2083897158322057,0.027136290959365497,0.04095640257243356,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_043,PS_049,0.009391758907144818,0.1476729473248694,True,0.14788732394366197,0.06359837111183034,0.07299013001897516,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_043,PS_050,0.01803926876567121,0.3357709066842127,True,0.08204518430439953,0.053724930917367596,0.0717641996830388,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_043,PS_051,0.03570076303226996,0.47104974259283355,True,0.5502008032128514,0.07578979416432677,0.11149055719659673,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_044,PS_042,0.0006296087209668733,0.010208009835106264,True,0.7057387057387058,0.06167791088930892,0.062307519610275794,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_044,PS_043,0.0027288394553459383,0.03571242924118368,True,0.4917825537294564,0.07641147671352003,0.07914031616886597,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_044,PS_045,0.0036192237936387914,0.07694357225457742,True,0.5860655737704918,0.04703737671113238,0.05065660050477117,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_044,PS_046,0.0039133863461248974,0.06064903023201766,True,0.8035087719298246,0.0645251264719968,0.0684385128181217,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_044,PS_047,0.0071577689784308035,0.0732059712821589,True,0.5416666666666666,0.0977757531669446,0.10493352214537541,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_044,PS_048,0.009131841598326293,0.20282058084725926,True,0.41271989174560214,0.04502423550992257,0.054156077108248865,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_044,PS_049,0.005280386613518866,0.090218034400501,True,0.5661971830985916,0.058529169346318,0.06380955595983687,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_044,PS_050,0.005192983227140013,0.09128752236320946,True,0.5041617122473246,0.056886013473763423,0.06207899670090344,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_044,PS_051,0.043140033374770945,0.6251906827273621,True,0.4364123159303882,0.06900300111091671,0.11214303448568766,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_045,PS_042,0.0014929881261084438,0.023866326646259962,True,0.5921855921855922,0.06255625963044491,0.06404924775655335,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_045,PS_043,0.00927519189125213,0.1559921386328016,True,0.26169405815423513,0.05945935463507883,0.06873454652633096,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_045,PS_044,0.019229718852109487,0.2510928805182661,True,0.5401197604790419,0.07658408638436323,0.09581380523647272,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_045,PS_046,0.004750100426155618,0.0725213010497713,True,0.8245614035087719,0.0654993823524433,0.07024948277859892,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_045,PS_047,-0.029810222612715945,-0.24111774765010588,True,0.7239583333333334,0.12363346499061764,0.0938232423779017,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_045,PS_048,0.011835130218339714,0.3054139108433952,True,0.23004059539918809,0.03875111708454015,0.05058624730287986,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_045,PS_049,0.005187873056353466,0.09068350552690223,True,0.7338028169014085,0.057208563191400094,0.06239643624775356,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_045,PS_050,0.003812474935823658,0.06243574648323796,True,0.6967895362663495,0.06106237453006489,0.06487484946588855,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_045,PS_051,0.031137410707577397,0.6962474186222197,True,0.33467202141900937,0.04472176107912063,0.07585917178669803,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_046,PS_042,-0.010587238995745159,-0.1671372866492131,True,0.5763125763125763,0.06334456666133155,0.05275732766558639,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_046,PS_043,0.009417230318337189,0.13035654789396006,True,0.3615676359039191,0.0722420965458347,0.08165932686417189,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_046,PS_044,-0.004095805369216318,-0.051219914152006676,True,0.5544910179640719,0.07996509633071797,0.07586929096150165,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_046,PS_045,0.0005852973683572876,0.013552132510248564,True,0.6857923497267759,0.04318858068386409,0.043773878052221375,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_046,PS_047,-0.0397182861422483,-0.3140212820831142,True,0.7378472222222222,0.1264827844748936,0.08676449833264531,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_046,PS_048,0.008756843000090206,0.1783589992310421,True,0.11096075778078485,0.049096726477741645,0.05785356947783185,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_046,PS_049,0.010210397068968896,0.1748382830475263,True,0.6816901408450704,0.05839909252708346,0.06860948959605236,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_046,PS_050,0.002475850877267316,0.04133216625373907,True,0.6813317479191439,0.05990130935959208,0.062377160236859394,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_046,PS_051,0.021626927752497353,0.4053813711394724,True,0.39357429718875503,0.053349584594148895,0.07497651234664625,MID,True,SplineRidge,CS4
