replicate_id,rho_abs,valid_abs,reason_abs,rho_rel,valid_rel,reason_rel
0,-0.1566519410453888,True,,-0.1883185425544392,True,
1,-0.3362570137946401,True,,-0.34200984463305445,True,
2,-0.23261549845077154,True,,-0.2520078309259916,True,
3,-0.1402443651817561,True,,-0.18471579266904456,True,
4,-0.17728832448602516,True,,-0.22552326206606643,True,
5,-0.21375575518822276,True,,-0.26347276121956226,True,
6,-0.2966300480863208,True,,-0.31510223229993356,True,
7,-0.3549148993157856,True,,-0.38596021329956903,True,
8,-0.3641296807313426,True,,-0.3823361647679097,True,
9,-0.03213948114693835,True,,-0.051920316493365544,True,
10,-0.5123192906816715,True,,-0.5689770665107725,True,
11,-0.317518692613069,True,,-0.34737816313110403,True,
12,-0.3142695135304239,True,,-0.33914046613483495,True,
13,-0.26232590751187174,True,,-0.26559263154539947,True,
14,-0.38938018982120415,True,,-0.39951118341416025,True,
15,-0.3767105911146264,True,,-0.4098404691907057,True,
16,-0.3844319103803556,True,,-0.3995053715090079,True,
17,-0.3168848319279021,True,,-0.3453126811393317,True,
18,-0.14547916748839718,True,,-0.16948684573817693,True,
19,-0.25018908114282185,True,,-0.2957537777640576,True,
20,-0.31116007526899014,True,,-0.36005275262556896,True,
21,-0.20011728485559302,True,,-0.23585007085960025,True,
22,-0.12734684576333413,True,,-0.186291762144096,True,
23,-0.19314504697382956,True,,-0.22816279047032487,True,
24,-0.4606644406543515,True,,-0.4641716111364674,True,
25,-0.3748313532599897,True,,-0.4047444664595363,True,
26,-0.43761068718980256,True,,-0.47088790257340885,True,
27,-0.2701990976031131,True,,-0.320954729197068,True,
28,-0.02710843373493976,True,,-0.016251050714485852,True,
29,-0.38778140122028193,True,,-0.39054281506417,True,
30,-0.1267414906921355,True,,-0.15360166960068186,True,
31,-0.44903738579153457,True,,-0.4841157001678165,True,
32,-0.262358380824837,True,,-0.27856577288145534,True,
33,-0.22424327305194236,True,,-0.24171495597065878,True,
34,-0.26521275867799293,True,,-0.26994398772226513,True,
35,-0.2173346797406593,True,,-0.2636158586649805,True,
36,-0.2438741918128015,True,,-0.28728148168412987,True,
37,-0.3083361038435409,True,,-0.37559445512496203,True,
38,-0.37735849056603776,True,,-0.3750831378863724,True,
