group_id,plant_a,plant_b,support_retention_a_to_b,support_retention_b_to_a,asymmetry_abs,asymmetry_signed
TW_04b9f5d95694,PS_002,PS_003,0.9481327800829875,0.9461298554011908,0.0002428308038606164,-0.0002428308038606164
TW_4467a039e00b,PS_042,PS_046,0.5263157894736842,0.5763125763125763,0.005744022462605795,0.005744022462605795
TW_4467a039e00b,PS_043,PS_051,0.5502008032128514,0.6371681415929203,0.056187477722178664,0.056187477722178664
TW_4467a039e00b,PS_044,PS_045,0.5860655737704918,0.5401197604790419,0.015610495058470696,-0.015610495058470696
TW_4467a039e00b,PS_044,PS_046,0.8035087719298246,0.5544910179640719,0.008009191715341216,0.008009191715341216
TW_4467a039e00b,PS_044,PS_047,0.5416666666666666,0.6838323353293413,0.1115159358508125,-0.1115159358508125
TW_4467a039e00b,PS_044,PS_049,0.5661971830985916,0.704191616766467,0.0010815119947428717,-0.0010815119947428717
TW_4467a039e00b,PS_044,PS_050,0.5041617122473246,0.755688622754491,0.0006483280406442415,0.0006483280406442415
TW_4467a039e00b,PS_045,PS_046,0.8245614035087719,0.6857923497267759,0.00416480305779833,0.00416480305779833
TW_4467a039e00b,PS_045,PS_047,0.7239583333333334,0.7486338797814208,0.13718300261628877,-0.13718300261628877
TW_4467a039e00b,PS_045,PS_049,0.7338028169014085,0.7581967213114754,0.00043263160848153875,-0.00043263160848153875
TW_4467a039e00b,PS_045,PS_050,0.6967895362663495,0.7827868852459017,0.0027571046108156236,0.0027571046108156236
TW_4467a039e00b,PS_046,PS_047,0.7378472222222222,0.8543859649122807,0.10401646517471672,-0.10401646517471672
TW_4467a039e00b,PS_046,PS_049,0.6816901408450704,0.9052631578947369,0.0030687334465541866,0.0030687334465541866
TW_4467a039e00b,PS_046,PS_050,0.6813317479191439,0.9403508771929825,0.001954597430107688,0.001954597430107688
TW_4467a039e00b,PS_047,PS_049,0.671830985915493,0.7430555555555556,0.12882734996330408,0.12882734996330408
TW_4467a039e00b,PS_047,PS_050,0.6373365041617123,0.8715277777777778,0.15186303328509856,0.15186303328509856
TW_4467a039e00b,PS_049,PS_050,0.6979785969084423,0.8,0.00303119432113675,0.00303119432113675
