tercile,retention_interval,cut_q_one_third,cut_q_two_thirds,n_directional,n_distinct_targets,median_otg_abs,p75_otg_abs,median_otg_rel,p75_otg_rel,median_support_retention,plant_balanced_otg_abs,n_targets_plant_balanced,group_composition
LOW,"[min, 0.3507362784471218)",0.3507362784471218,0.6816901408450704,28,10,0.009356163792156636,0.015906247527336704,0.22115568768182808,0.3453639604097577,0.2168480149663184,0.013460255204958254,10,{'TW_4467a039e00b': 28}
MID,"[0.3507362784471218, 0.6816901408450704)",0.3507362784471218,0.6816901408450704,28,12,0.006219077795974835,0.019829021077206452,0.09075277838185522,0.3157643811198865,0.5404748735460805,0.011969924429543031,12,"{'TW_4467a039e00b': 26, 'TW_88a108921af7': 2}"
HIGH,"[0.6816901408450704, max]",0.3507362784471218,0.6816901408450704,29,11,0.003812474935823658,0.006793773823267998,0.06064903023201766,0.1129250027348752,0.7430555555555556,0.009614343325281341,11,"{'TW_04b9f5d95694': 2, 'TW_4467a039e00b': 27}"
