target_id,twin_group,group_id,n_computable_sources,min_otg,min_otg_source_id,max_otg,max_otg_source_id,spread_abs,min_otg_rel,max_otg_rel,spread_rel
PS_042,G2,TW_4467a039e00b,8,-0.013230633404320673,PS_050,0.11823485794663127,PS_047,0.13146549135095195,-0.21313826540246636,1.8936850371472136,2.10682330254968
PS_043,G2,TW_4467a039e00b,8,-0.020486714689908703,PS_051,0.06875139928502538,PS_047,0.08923811397493409,-0.26458521386481104,0.9542942237373928,1.2188794376022039
PS_044,G2,TW_4467a039e00b,8,-0.004095805369216318,PS_046,0.1186737048292433,PS_047,0.12276951019845962,-0.051219914152006676,1.5183387056537043,1.569558619805711
PS_045,G2,TW_4467a039e00b,8,-0.008524834471969632,PS_042,0.10737278000357282,PS_047,0.11589761447554245,-0.13104990347112724,2.3269209560432285,2.4579708595143557
PS_046,G2,TW_4467a039e00b,8,-0.004843216533139363,PS_042,0.06429817903246841,PS_047,0.06914139556560778,-0.07068037762319683,0.9447224934137989,1.0154028710369958
PS_047,G2,TW_4467a039e00b,8,-0.0397182861422483,PS_046,0.03048558545326155,PS_043,0.07020387159550985,-0.3140212820831142,0.6192674162863256,0.9332886983694398
PS_048,G2,TW_4467a039e00b,9,0.000123874310040753,PS_042,0.08546893876819055,PS_047,0.0853450644581498,0.0039252061566285405,2.443780819190178,2.43985561303355
PS_049,G2,TW_4467a039e00b,8,-0.002884754831913139,PS_042,0.1118111049686951,PS_047,0.11469585980060824,-0.03675628361201586,1.8366882758778387,1.8734445594898546
PS_050,G2,TW_4467a039e00b,8,0.002331179954775754,PS_042,0.1148626912301649,PS_047,0.11253151127538916,0.039929796363007204,1.9077755658762903,1.867845769513283
PS_051,G2,TW_4467a039e00b,8,0.007650574427969972,PS_050,0.1065666629733675,PS_047,0.09891608854539753,0.12376477708690332,2.3588615818828367,2.2350968047959334
