twin_group,group_id,n_targets,n_directional_transfers,plant_balanced_rq1,min_target_mean_otg,max_target_mean_otg
G1,TW_04b9f5d95694,2,2,0.0010783871471068823,0.0009569717451765741,0.0011998025490371905
G2,TW_4467a039e00b,10,81,0.015181496979951397,-0.009694196502888719,0.036246958185756586
G4,TW_88a108921af7,2,2,-0.008920638042364377,-0.013253571979140621,-0.0045877041055881335
