target_id,twin_source_id,control_id,target_state,common_row_count,twin_otg_common_rows,control_otg_common_rows,contrast_control_minus_twin,computable,reason,orientation
PS_004,PS_023,PS_013,SP,649,0.002518990699054594,0.0011313013964711488,-0.0013876893025834454,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_013,SP,384,0.00032733648088586337,-0.00010195943190941664,-0.00042929591279528,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_013,SP,539,0.01019352374488509,0.0004826628247980892,-0.009710860920087001,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_013,SP,533,-0.0011341711099320355,0.0002631442498981923,0.0013973153598302278,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_018,SP,134,-0.00010876490004043879,-0.0006157998882365054,-0.0005070349881960666,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_018,SP,269,-0.0018701348533037114,-0.001512176907146761,0.0003579579461569504,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_018,SP,264,0.004870948089382425,-0.001491018140333998,-0.006361966229716423,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_018,SP,302,0.00033042919837018153,-0.0014926405021210877,-0.0018230697004912692,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_018,SP,275,0.0001817540838336927,-0.0014892379371967447,-0.0016709920210304374,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_018,SP,302,0.010020784738338586,-0.0014926405021210877,-0.011513425240459674,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_018,SP,296,-0.001829957042143282,-0.0015229525080446109,0.00030700453409867115,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_019,SP,226,0.00028850725379265044,0.000944454293301953,0.0006559470395093026,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_019,SP,444,-0.0011175430730279538,-0.00046017884648170623,0.0006573642265462476,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_019,SP,441,0.017969425548888876,-0.00034459634123945246,-0.01831402189012833,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_019,SP,594,0.0017033026429351186,-0.0006051466207472427,-0.0023084492636823613,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_019,SP,384,0.00032733648088586337,-0.0011965519286580434,-0.0015238884095439068,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_019,SP,537,0.010176210721489817,-0.0005154816358373393,-0.010691692357327157,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_019,SP,531,-0.0011431081535104824,-0.0004540707942231603,0.0006890373592873221,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_021,SP,225,0.00022917396753725436,-0.00043503689376724747,-0.0006642108613045018,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_021,SP,440,-0.0011566423308270492,-0.0013679143798975626,-0.00021127204907051347,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_021,SP,438,0.017654590070988244,-0.0012293919226061684,-0.018883981993594413,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_021,SP,630,0.002213686556658021,-0.0007532294832468187,-0.00296691603990484,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_021,SP,384,0.00032733648088586337,-0.0019307997804542745,-0.002258136261340138,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_021,SP,538,0.01021009161465116,-0.0011718453907818664,-0.011381937005433027,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_021,SP,520,-0.001156735997182249,-0.0011704064236613791,-1.3670426479130138e-05,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_025,SP,179,-0.00019960335956700423,0.008428971613107149,0.008628574972674153,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_025,SP,315,-0.001753901259084284,0.013481888069511162,0.015235789328595446,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_025,SP,309,0.006976407591160992,0.013576965511675532,0.0066005579205145395,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_025,SP,368,0.0001055026309947256,0.014370995003103761,0.014265492372109036,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_025,SP,323,-0.0005486566796855039,0.012405439227561241,0.012954095907246745,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_025,SP,365,0.009779022514667595,0.014515665405221135,0.00473664289055354,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_025,SP,351,-0.001930719773189045,0.014179946495265317,0.016110666268454362,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_027,SP,226,0.00028850725379265044,-0.0007639924633282037,-0.0010524997171208542,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_027,SP,444,-0.0011175430730279538,-0.00162786751114756,-0.0005103244381196061,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_027,SP,441,0.017969425548888876,-0.00144851870743316,-0.019417944256322036,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_027,SP,636,0.002182712793760578,0.0001248482932838281,-0.00205786450047675,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_027,SP,384,0.00032733648088586337,-0.0020980022178379923,-0.0024253386987238557,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_027,SP,539,0.01019352374488509,-0.0009456422639886955,-0.011139166008873786,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_027,SP,531,-0.0010956431172111578,-0.0009777303179949494,0.00011791279921620837,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_028,SP,226,0.00028850725379265044,0.012320647034285991,0.01203213978049334,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_028,SP,444,-0.0011175430730279538,0.012334453236777294,0.013451996309805248,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_028,SP,441,0.017969425548888876,0.01236385634761563,-0.005605569201273246,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_028,SP,649,0.002518990699054594,0.012035427350503763,0.009516436651449169,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_028,SP,384,0.00032733648088586337,0.011674409977107812,0.011347073496221948,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_028,SP,539,0.01019352374488509,0.011505482812516076,0.0013119590676309856,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_028,SP,533,-0.0011341711099320355,0.013205308231412315,0.01433947934134435,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_029,SP,226,0.00028850725379265044,-6.600969039365773e-05,-0.00035451694418630816,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_029,SP,406,-0.0011568498380778308,-0.0010849830156521093,7.186682242572157e-05,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_029,SP,404,0.01450405496737155,-0.0010190737071600654,-0.015523128674531615,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_029,SP,442,0.0007291950470804942,-0.0011107687883882104,-0.0018399638354687047,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_029,SP,381,0.0003215335068688062,-0.0017324715591530392,-0.0020540050660218453,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_029,SP,442,0.010098589494626053,-0.0008954636387305294,-0.010994053133356583,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_029,SP,441,-0.0013577795775422084,-0.0009878968412908341,0.0003698827362513743,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_031,SP,224,0.00017977369381482963,-0.00015467904400359722,-0.00033445273781842685,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_031,SP,388,-0.001445927120826463,-0.0007482978566071864,0.0006976292642192766,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_031,SP,383,0.012163775654988006,-0.0007576149032464292,-0.012921390558234436,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_031,SP,444,0.0007469974538778582,-0.0006676148600245901,-0.0014146123139024483,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_031,SP,375,0.00013184173138936287,-0.000517220049599601,-0.0006490617809889639,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_031,SP,442,0.009807807459003788,-0.0006800219153350953,-0.010487829374338883,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_031,SP,420,-0.0015783265262199198,-0.0007122596001480699,0.0008660669260718498,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_032,SP,226,0.00028850725379265044,0.019800492618287657,0.019511985364495006,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_032,SP,438,-0.0011393463359270252,0.02918129904577706,0.030320645381704085,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_032,SP,436,0.017781489924279338,0.028866390193438216,0.011084900269158877,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_032,SP,484,0.0008585113259097325,0.03542747939037014,0.0345689680644604,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_032,SP,377,0.00034528639985985377,0.02899782332195757,0.028652536922097717,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_032,SP,475,0.010195471522664326,0.03478283651334877,0.024587364990684445,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_032,SP,479,-0.0014883730733547366,0.03157874414052957,0.033067117213884306,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_033,SP,226,0.00028850725379265044,0.007817901987233821,0.007529394733441171,True,ok,CONTROL_MINUS_TWIN
