group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_supported,transfer_mae,local_same_rows_mae,otg_abs,otg_rel,otg_rel_defined
TW_7b33a493697b,PS_004,PS_017,SplineRidge,CS4,True,ok,2079,0.05531784084055842,0.06178042487483036,-0.00646258403427194,-0.10460569099946133,True
TW_7b33a493697b,PS_004,PS_020,SplineRidge,CS4,True,ok,1607,0.04256992142423318,0.046648428950809576,-0.004078507526576396,-0.08743075851229956,True
TW_7b33a493697b,PS_004,PS_022,SplineRidge,CS4,True,ok,1487,0.11493960457001665,0.06438537077557864,0.050554233794438005,0.7851819937583278,True
TW_7b33a493697b,PS_004,PS_023,SplineRidge,CS4,True,ok,1868,0.05211710842304011,0.05028604547888752,0.0018310629441525908,0.036412943724543984,True
TW_7b33a493697b,PS_004,PS_024,SplineRidge,CS4,True,ok,1538,0.05389547605792797,0.05088727195931123,0.00300820409861674,0.05911505928284108,True
TW_7b33a493697b,PS_004,PS_026,SplineRidge,CS4,True,ok,1848,0.06547429027690672,0.06322965370659397,0.0022446365703127497,0.03549974479899239,True
TW_7b33a493697b,PS_004,PS_030,SplineRidge,CS4,True,ok,1540,0.043890309714794254,0.04447604809371367,-0.000585738378919419,-0.013169748752974489,True
TW_7b33a493697b,PS_017,PS_004,SplineRidge,CS4,True,ok,226,0.024515781226198394,0.024227273972405743,0.00028850725379265044,0.011908366336272623,True
TW_7b33a493697b,PS_017,PS_020,SplineRidge,CS4,True,ok,280,0.014437076029174354,0.014308643296682202,0.0001284327324921515,0.008975884703333941,True
TW_7b33a493697b,PS_017,PS_022,SplineRidge,CS4,True,ok,259,0.02596744143284011,0.021705502662610666,0.0042619387702294426,0.19635291734436297,True
TW_7b33a493697b,PS_017,PS_023,SplineRidge,CS4,True,ok,811,0.05855507828299151,0.04955791195536667,0.008997166327624838,0.18154853529196213,True
TW_7b33a493697b,PS_017,PS_024,SplineRidge,CS4,True,ok,1182,0.05070866276424925,0.05142564952580357,-0.0007169867615543224,-0.013942201375493833,True
TW_7b33a493697b,PS_017,PS_026,SplineRidge,CS4,True,ok,866,0.05118552691063542,0.038716844603856555,0.012468682306778868,0.32204799834170555,True
TW_7b33a493697b,PS_017,PS_030,SplineRidge,CS4,True,ok,760,0.04271316384112082,0.04353115228076621,-0.0008179884396453951,-0.01879087496626674,True
TW_7b33a493697b,PS_020,PS_004,SplineRidge,CS4,True,ok,444,0.022505423287488852,0.023622966360516806,-0.0011175430730279538,-0.04730748272561588,True
TW_7b33a493697b,PS_020,PS_017,SplineRidge,CS4,True,ok,1412,0.0534289111395597,0.05315151029194847,0.0002774008476112283,0.005219058613528235,True
TW_7b33a493697b,PS_020,PS_022,SplineRidge,CS4,True,ok,513,0.04604296300895344,0.042389840878474035,0.0036531221304794068,0.08617918951270462,True
TW_7b33a493697b,PS_020,PS_023,SplineRidge,CS4,True,ok,746,0.03879395138988246,0.030914928894619723,0.007879022495262736,0.2548614141122596,True
TW_7b33a493697b,PS_020,PS_024,SplineRidge,CS4,True,ok,1315,0.055199162006672194,0.04750535759712354,0.0076938044095486505,0.16195656234812789,True
TW_7b33a493697b,PS_020,PS_026,SplineRidge,CS4,True,ok,1799,0.06353273942127134,0.061360867664323256,0.0021718717569480864,0.03539506267788431,True
TW_7b33a493697b,PS_020,PS_030,SplineRidge,CS4,True,ok,1416,0.05090807254936227,0.04644056882504109,0.004467503724321177,0.09619829897329481,True
TW_7b33a493697b,PS_022,PS_004,SplineRidge,CS4,True,ok,441,0.041387315480432285,0.02341788993154341,0.017969425548888876,0.7673375185133327,True
TW_7b33a493697b,PS_022,PS_017,SplineRidge,CS4,True,ok,1394,0.10087031756186556,0.05256522423382051,0.04830509332804504,0.9189553365771719,True
