target_id,twin_source_id,control_id,target_state,common_row_count,twin_otg_common_rows,control_otg_common_rows,contrast_control_minus_twin,common_row_fingerprint,computable,reason,orientation
PS_042,PS_046,PS_005,GO,55,0.007686325577203258,0.03956893817704096,0.031882612599837705,a39c99889cd55190498b480a8b477c4ac1c1098fd3710da551b09ca1b1df0065,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_047,PS_005,GO,99,0.0768502039247634,0.05740160154195431,-0.019448602382809085,a754f5dfffc60af3511859eb15739a08619a4a0928bd2a42bfec7c749a80f8e1,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_048,PS_005,GO,0,,,,,False,empty_pairwise_intersection,CONTROL_MINUS_TWIN
PS_042,PS_049,PS_005,GO,101,-0.013715500166393661,0.043459676513457994,0.057175176679851655,713c73f2d3b72a007a365f45c72a00931f617ae613fb6103aaf7d505e3db4aac,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_050,PS_005,GO,108,-0.019507731448685638,0.04975590483221134,0.06926363628089698,e697e94e1a2b729f87a50c2b3b7a267badb1f8352b23d5b5eaafa87f7daa7a88,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_051,PS_005,GO,57,-0.004412135795953724,0.04880850439675079,0.05322064019270451,95033787968f096384def3301e795d65e59619b343d3801238b8d1385f5696af,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_043,PS_012,GO,202,0.022717713129972054,0.07601256126981082,0.053294848139838764,142a090d9f7e12182fccfb41ddf353bbffd08a5b60b478267942fa57b5534b56,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_044,PS_012,GO,549,-0.00021518201890504546,0.11577412008880467,0.11598930210770972,8aa738292717faea9a376843f9c51f1936b00f1c5130efe093ca029d224d9141,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_045,PS_012,GO,473,0.001232228710126411,0.1192097579250356,0.1179775292149092,2a05af42f456dc4e7d58dc1385ae173c2e1e890e67c018b59732a4675ee63ddf,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_046,PS_012,GO,460,-0.010707958732173645,0.12368702831546537,0.13439498704763903,0aa36847fb882ef16e361994e690236e3c140ec673b3598302f0972a87458dd2,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_047,PS_012,GO,562,0.11780329344537897,0.11669092902281321,-0.0011123644225657647,a60820c0fbd2d0ca5b480771a7db897a8610b4ae7b0d9ae14e32e751e4f89b7b,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_048,PS_012,GO,0,,,,,False,empty_pairwise_intersection,CONTROL_MINUS_TWIN
PS_042,PS_049,PS_012,GO,551,-0.010490412947357412,0.11310881715455115,0.12359923010190857,0dd5f316bc3cc5c9476ee257b6006037c72a9ede8f1e9e27c93104d2135adf2e,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_050,PS_012,GO,575,-0.013325332283946986,0.11488413217489574,0.12820946445884274,59d9b145f1381bd618a755e6ae4c803e35fa9eac05dda95230ee2ce4e59b96a6,True,ok,CONTROL_MINUS_TWIN
PS_042,PS_051,PS_012,GO,196,-0.007366210860001575,0.07785464459725264,0.08522085545725422,0335d35b9d956c9801378f0d2f3b6c6ba847e007c88699aa990ede5a30f81943,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_042,PS_005,GO,120,-0.029316703918728218,0.04352285589798065,0.07283955981670887,e38526281c8b824cb813915c582c544697b5194c0730751b784b8220d6dd138a,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_044,PS_005,GO,64,-0.005039247617836834,0.020357470703017064,0.025396718320853898,2b197343eab979eb3ccdaf43c28fa059500eb1996529cdef2dc3299caec57fea,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_045,PS_005,GO,21,0.049074266118666825,0.009149252492516032,-0.03992501362615079,3084995c3bd142d8a872fe4a52fdf6b415e6abd918987994bf2404c30ed6b79f,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_046,PS_005,GO,31,0.009010779075232914,0.025397863296550832,0.01638708422131792,b4365a451625d944892365c93785ba7c00766934263c38246c7d73e5d0532bee,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_047,PS_005,GO,84,0.06880107229982133,0.04396923480614964,-0.024831837493671682,2792688fa1a2ed02e6722bacb462d3ba346fafd9f43affbbca9374dc4b6b5157,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_048,PS_005,GO,0,,,,,False,empty_pairwise_intersection,CONTROL_MINUS_TWIN
PS_043,PS_049,PS_005,GO,112,-0.03281502059742492,0.05040169211669025,0.08321671271411518,b8b4fca069c548ca7348a0e9466a39b77f7c59fb57cceff108714c34cb1c47b1,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_050,PS_005,GO,92,-0.034543099676807236,0.03694082000524351,0.07148391968205076,68e1b3a5f73b232d01c5fa1febc94c9f5ed34b521088ff33c14c2a895a49fd7a,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_051,PS_005,GO,74,-0.0296724163086709,0.04044483141962313,0.07011724772829403,da39da754acf39cddc432111617a6cc1fb25d0856087afdfe40d994830bd97ad,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_042,PS_012,GO,386,-0.017842410197130287,0.08566658872898525,0.10350899892611554,608af3be0524267f1abd2e30869ba55542721d40e0ae4a3f1e591777a05a63b8,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_044,PS_012,GO,278,0.0008019431460471599,0.08669082152866603,0.08588887838261887,fe1bf9a72d9c4f2727f9fbc4b89e7dfbd0673b0046314dd2e227eddbeb350dc3,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_045,PS_012,GO,103,0.02532923220261786,0.04684168138136029,0.021512449178742427,2c17d23dcb561dd773d1c3cd4bab92a7485322f79aee049cbdd0ae7a9b5eca4e,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_046,PS_012,GO,185,0.0044726303312593585,0.08409418644955687,0.0796215561182975,18e1f2922afbd78ca8e81d07ac76a009bfc14ae84e539213b4e095922f307a79,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_047,PS_012,GO,231,0.07667176534906683,0.07393681650262526,-0.0027349488464415705,00cd23dfdedfc0f5ecd3b01ce488818745f9e217e7ce32ac18fd6e3f90d7bfb1,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_048,PS_012,GO,0,,,,,False,empty_pairwise_intersection,CONTROL_MINUS_TWIN
PS_043,PS_049,PS_012,GO,273,-0.022282072925338244,0.07244024505605048,0.09472231798138872,cbc68a2bbb0aa24b82d1e55656aed463e14240ff75e721b54c8e1e26825c261a,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_050,PS_012,GO,322,-0.024560354466795678,0.08433570928966819,0.10889606375646387,17206b4fe20e9f935f5e77a8295af3d79e981a67218314867fdaa276556582d6,True,ok,CONTROL_MINUS_TWIN
PS_043,PS_051,PS_012,GO,279,-0.026151664378564136,0.08439508766284538,0.11054675204140951,4147d31891c9ad8fc297d803934748acaed84e0820f6b0f88ab55a83e009caa8,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_042,PS_005,GO,64,0.017277467050636756,0.03646439326163369,0.019186926210996935,70d73ed5b4d267c0a2998f4dfa84e74a0e60160c444ec21aeb6e8d8a08357a2f,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_043,PS_005,GO,38,0.04936454066080781,0.016116311597385025,-0.033248229063422785,09fddb9da4e62b54202bd42995188e9dc3e5ff71e95cdfa9baf119bc9d25a14d,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_045,PS_005,GO,83,0.03548372125245865,0.06849835187065242,0.03301463061819378,d244808b1a394ba2f0f077690cc34744c0f61d2e4b89f176cd4c38bc1cc0af1e,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_046,PS_005,GO,64,0.016823881561572884,0.04836677955768984,0.03154289799611695,171e3dd482f675bf2ab416417ea959c0119cdcf61be2fd652fd20494109a17ba,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_047,PS_005,GO,102,0.072114880634954,0.0513579715353225,-0.0207569090996315,fbcad4828843d23a353df6845b170e80e923cd4a06bb8836eea22c25c3a4e0a6,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_048,PS_005,GO,0,,,,,False,empty_pairwise_intersection,CONTROL_MINUS_TWIN
PS_044,PS_049,PS_005,GO,111,0.017585342674617366,0.057525203882735534,0.03993986120811817,253d5b821a696c6492b99ac7975899e289a5e5196d1412b78504c8ba554fd0fd,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_050,PS_005,GO,128,0.003331235961861481,0.0577530452529848,0.05442180929112332,7a2dc6ccf38ab0bfc000083312690a1b0574c72620ed19aecc32e1316081b760,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_051,PS_005,GO,47,0.033649154562944074,0.03090522812248394,-0.0027439264404601343,463a94c8be61f6014b5dc7873c4b29cfe7d3075e0b71d53fa900ea799b2260b5,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_042,PS_012,GO,389,0.010071979526864352,0.0947599861325423,0.08468800660567795,c984c2e81c370d8530418816732dba787d0e166068e8a0b00f1ac464c4034506,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_043,PS_012,GO,216,0.0450557752038455,0.07597583775381381,0.030920062549968305,b059dc1bd402c029598565f9fef3a1f77b51b6df7a3a926aa3f6c618f0c5b3c9,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_045,PS_012,GO,443,0.019388973481265045,0.10382508060370652,0.08443610712244147,37b96d655dc72191e9fc14fc5e6ae147fce717852c2b7019ce693db51bf02027,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_046,PS_012,GO,460,-0.004084064444547217,0.11301841365818212,0.11710247810272933,a63ac10bf7ddb5ae33222a9692c726af9e7ff27ad63b38b22b942753c5021f0c,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_047,PS_012,GO,558,0.1184777316347179,0.10983926544589019,-0.008638466188827715,19d91d8fdfb8599248310a59e0c1b28108140beff6c256704d30ada9996fb7fc,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_048,PS_012,GO,0,,,,,False,empty_pairwise_intersection,CONTROL_MINUS_TWIN
PS_044,PS_049,PS_012,GO,575,0.005869886279222997,0.107378354962144,0.101508468682921,2fab33406a331830996ccabce28dc2fb700f0234a29306b4388b8c416bd3dcef,True,ok,CONTROL_MINUS_TWIN
PS_044,PS_050,PS_012,GO,616,0.004460466968730939,0.10797489454678602,0.10351442757805508,765c6a4461365a66e0a738a0bba23866d744a67c8bf162da9fa5757478dea41f,True,ok,CONTROL_MINUS_TWIN
