plant_id,exact_twin_group_id,is_exact_twin_member,brazil_federative_unit,first_observed_timestamp,last_observed_timestamp,n_calendar_days_with_any_row,n_rows_union,n_rows_both_sources,n_rows_inverter_only,n_rows_meteorological_only,observed_reference_inverter_count,n_unique_inverter_ids_over_period,n_rows_dc_target_constructible,n_rows_ac_target_constructible,n_rows_target_plus_any_meteorology,n_rows_core_candidate_complete_case,n_rows_daylight_gt_20,n_rows_daylight_gt_50,n_rows_daylight_gt_100,n_days_daylight_gt_20,n_days_daylight_gt_50,n_days_daylight_gt_100,missing_pct_y_dc_normalized,missing_pct_poa_irradiance_wm2,missing_pct_ghi_irradiance_wm2,missing_pct_gri_irradiance_wm2,missing_pct_panel_temperature_celsius,missing_pct_ambient_temperature_celsius,missing_pct_wind_speed_ms,missing_pct_wind_direction_degrees,missing_pct_precipitation_accumulated_mm,interpolated_pct_dc_among_flag_interpretable_rows,interpolated_pct_poa_irradiance_wm2,interpolated_pct_ghi_irradiance_wm2,interpolated_pct_gri_irradiance_wm2,interpolated_pct_panel_temperature_celsius,interpolated_pct_ambient_temperature_celsius,interpolated_pct_wind_speed_ms,interpolated_pct_wind_direction_degrees,interpolated_pct_precipitation_accumulated_mm,coverage_dc_min,coverage_dc_median,coverage_dc_max,coverage_ac_min,coverage_ac_median,coverage_ac_max
PS_011,,false,SP,2024-06-20T00:00:00Z,2025-06-09T23:45:00Z,355,34080,34080,0,0,9,9,31765,31765,31765,30986,15248,14180,12746,351,350,350,0.06792840375586855,0.09078638497652582,0.09078638497652582,0.09078638497652582,0.09078638497652582,0.09078638497652582,0.09078638497652582,0.09078638497652582,0.002112676056338028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
PS_012,,false,GO,2024-06-21T00:00:00Z,2025-06-09T23:45:00Z,354,33984,32736,1248,0,20,20,26927,26927,25786,23227,11437,10582,9278,272,269,253,0.20765654425612054,0.3165313088512241,0.3165313088512241,0.3165313088512241,0.3165313088512241,0.3165313088512241,0.3165313088512241,0.3165313088512241,0.03881238229755179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.8,1.0,0.0,0.8,1.0
PS_013,,false,SP,2024-07-03T00:00:00Z,2025-05-31T23:45:00Z,333,31968,31968,0,0,4,4,30295,30295,30295,27986,13390,12602,11700,304,304,303,0.05233358358358358,0.12456206206206206,0.12456206206206206,0.12456206206206206,0.12456206206206206,0.12456206206206206,0.12456206206206206,0.12456206206206206,0.0017204704704704705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
PS_014,,false,PR,2024-08-20T00:00:00Z,2024-12-19T23:45:00Z,122,11712,11520,0,192,10,10,9503,9503,9503,0,4999,4735,4424,115,115,115,0.18860997267759563,0.1374658469945355,0.1374658469945355,1.0,1.0,0.1374658469945355,0.1374658469945355,1.0,0.2353995901639344,1.0,1.0,1.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_015,,false,MG,2024-08-13T00:00:00Z,2025-06-09T23:45:00Z,301,28896,28128,0,768,10,10,27450,27450,27443,0,9893,9318,8574,218,218,218,0.05004152823920266,0.036925526024363234,0.036925526024363234,1.0,0.036925526024363234,0.036925526024363234,0.036925526024363234,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_016,,false,MG,2024-09-02T00:00:00Z,2025-06-09T23:45:00Z,281,26976,21216,5760,0,10,10,22240,22240,16551,0,2539,2435,2305,61,61,61,0.17556346381969157,0.3167259786476868,0.3167259786476868,1.0,1.0,0.3167259786476868,0.3167259786476868,1.0,0.2137455516014235,1.0,1.0,1.0,,,1.0,1.0,,,0.0,0.8,1.0,0.0,0.8,1.0
PS_017,TW_7b33a493697b,true,SP,2024-09-20T00:00:00Z,2025-06-09T23:45:00Z,263,25248,24960,288,0,10,10,24529,24529,22230,0,12088,11244,10232,260,260,260,0.028477503168567807,0.11200887198986058,0.11200887198986058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_018,TW_f8e8375afe38,true,SP,2024-09-20T00:00:00Z,2025-04-10T23:45:00Z,203,19488,19200,288,0,15,15,17930,17930,16038,0,8937,8265,7513,190,190,190,0.07994663382594418,0.1724651067323481,0.1724651067323481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_019,TW_f8e8375afe38,true,SP,2024-09-23T00:00:00Z,2025-06-09T23:45:00Z,260,24960,24960,0,0,15,15,23602,23602,21622,0,11715,10934,9955,258,258,258,0.05440705128205128,0.12223557692307692,0.12223557692307692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_020,TW_7b33a493697b,true,SP,2024-09-23T00:00:00Z,2025-06-09T23:45:00Z,260,24960,24960,0,0,10,10,20087,20087,17585,0,9893,9229,8373,221,221,221,0.1952323717948718,0.2686298076923077,0.2686298076923077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
