plant_id,step,n_rows
PS_022,union_observed_timestamps,24960
PS_022,valid_dc_target,23190
PS_022,valid_dc_target_plus_poa,15125
PS_023,both_inverter_and_meteorological,24000
PS_023,daylight_poa_gt_100,9717
PS_023,daylight_poa_gt_20,11536
PS_023,daylight_poa_gt_50,10701
PS_023,union_observed_timestamps,24960
PS_023,valid_dc_target,22946
PS_023,valid_dc_target_plus_poa,20249
PS_024,both_inverter_and_meteorological,23424
PS_024,daylight_poa_gt_100,8036
PS_024,daylight_poa_gt_20,9533
PS_024,daylight_poa_gt_50,8861
PS_024,union_observed_timestamps,23424
PS_024,valid_dc_target,19315
PS_024,valid_dc_target_plus_poa,17415
PS_025,both_inverter_and_meteorological,24000
PS_025,daylight_poa_gt_100,8202
PS_025,daylight_poa_gt_20,9770
PS_025,daylight_poa_gt_50,9088
PS_025,union_observed_timestamps,24096
PS_025,valid_dc_target,19925
PS_025,valid_dc_target_plus_poa,18301
PS_026,both_inverter_and_meteorological,24576
PS_026,daylight_poa_gt_100,9450
PS_026,daylight_poa_gt_20,11118
PS_026,daylight_poa_gt_50,10347
PS_026,union_observed_timestamps,24576
PS_026,valid_dc_target,22213
PS_026,valid_dc_target_plus_poa,19490
PS_027,both_inverter_and_meteorological,19296
PS_027,daylight_poa_gt_100,7204
PS_027,daylight_poa_gt_20,8516
PS_027,daylight_poa_gt_50,7873
PS_027,union_observed_timestamps,24288
PS_027,valid_dc_target,21564
PS_027,valid_dc_target_plus_poa,14769
PS_028,both_inverter_and_meteorological,24192
PS_028,daylight_poa_gt_100,9767
PS_028,daylight_poa_gt_20,11360
PS_028,daylight_poa_gt_50,10661
PS_028,union_observed_timestamps,24192
PS_028,valid_dc_target,22667
PS_028,valid_dc_target_plus_poa,20706
PS_029,both_inverter_and_meteorological,24000
PS_029,daylight_poa_gt_100,3610
PS_029,daylight_poa_gt_20,4376
PS_029,daylight_poa_gt_50,4046
PS_029,union_observed_timestamps,24288
PS_029,valid_dc_target,23022
PS_029,valid_dc_target_plus_poa,18723
PS_030,both_inverter_and_meteorological,24096
PS_030,daylight_poa_gt_100,7987
PS_030,daylight_poa_gt_20,9345
PS_030,daylight_poa_gt_50,8692
PS_030,union_observed_timestamps,24096
PS_030,valid_dc_target,21145
PS_030,valid_dc_target_plus_poa,17705
PS_031,both_inverter_and_meteorological,16320
PS_031,daylight_poa_gt_100,5792
PS_031,daylight_poa_gt_20,6859
PS_031,daylight_poa_gt_50,6366
PS_031,union_observed_timestamps,16320
PS_031,valid_dc_target,14332
PS_031,valid_dc_target_plus_poa,12151
PS_032,both_inverter_and_meteorological,23904
PS_032,daylight_poa_gt_100,7150
PS_032,daylight_poa_gt_20,8652
PS_032,daylight_poa_gt_50,7895
PS_032,union_observed_timestamps,23904
PS_032,valid_dc_target,22450
PS_032,valid_dc_target_plus_poa,17070
PS_033,both_inverter_and_meteorological,23520
PS_033,daylight_poa_gt_100,8733
PS_033,daylight_poa_gt_20,9962
PS_033,daylight_poa_gt_50,9384
PS_033,union_observed_timestamps,23520
PS_033,valid_dc_target,19772
PS_033,valid_dc_target_plus_poa,18041
PS_034,both_inverter_and_meteorological,23328
PS_034,core_candidate_complete_case,501
PS_034,daylight_poa_gt_100,7140
PS_034,daylight_poa_gt_20,8751
PS_034,daylight_poa_gt_50,7831
PS_034,union_observed_timestamps,23328
PS_034,valid_dc_target,21005
PS_034,valid_dc_target_plus_poa,15844
PS_035,both_inverter_and_meteorological,18912
PS_035,core_candidate_complete_case,18080
PS_035,daylight_poa_gt_100,7881
PS_035,daylight_poa_gt_20,8990
PS_035,daylight_poa_gt_50,8508
PS_035,union_observed_timestamps,18912
PS_035,valid_dc_target,18383
PS_035,valid_dc_target_plus_poa,17859
PS_036,both_inverter_and_meteorological,18816
PS_036,core_candidate_complete_case,13476
PS_036,daylight_poa_gt_100,5846
PS_036,daylight_poa_gt_20,6624
PS_036,daylight_poa_gt_50,6262
PS_036,union_observed_timestamps,18816
PS_036,valid_dc_target,17361
PS_036,valid_dc_target_plus_poa,13425
PS_037,both_inverter_and_meteorological,18144
PS_037,core_candidate_complete_case,14705
PS_037,daylight_poa_gt_100,5513
PS_037,daylight_poa_gt_20,6873
PS_037,daylight_poa_gt_50,6220
PS_037,union_observed_timestamps,18240
PS_037,valid_dc_target,15954
PS_037,valid_dc_target_plus_poa,14426
PS_038,both_inverter_and_meteorological,18240
PS_038,core_candidate_complete_case,17709
PS_038,daylight_poa_gt_100,7607
PS_038,daylight_poa_gt_20,8667
PS_038,daylight_poa_gt_50,8188
PS_038,union_observed_timestamps,18240
PS_038,valid_dc_target,17964
PS_038,valid_dc_target_plus_poa,17616
PS_039,both_inverter_and_meteorological,17856
PS_039,core_candidate_complete_case,16350
PS_039,daylight_poa_gt_100,6699
PS_039,daylight_poa_gt_20,7844
PS_039,daylight_poa_gt_50,7337
PS_039,union_observed_timestamps,17856
PS_039,valid_dc_target,16172
PS_039,valid_dc_target_plus_poa,15844
PS_040,both_inverter_and_meteorological,13056
PS_040,daylight_poa_gt_100,5190
PS_040,daylight_poa_gt_20,6274
PS_040,daylight_poa_gt_50,5811
PS_040,union_observed_timestamps,16608
PS_040,valid_dc_target,15389
PS_040,valid_dc_target_plus_poa,12681
PS_041,both_inverter_and_meteorological,16800
PS_041,core_candidate_complete_case,12887
PS_041,daylight_poa_gt_100,5324
PS_041,daylight_poa_gt_20,6070
PS_041,daylight_poa_gt_50,5725
PS_041,union_observed_timestamps,16800
PS_041,valid_dc_target,13420
PS_041,valid_dc_target_plus_poa,12794
PS_042,both_inverter_and_meteorological,9792
PS_042,core_candidate_complete_case,9699
PS_042,daylight_poa_gt_100,3869
PS_042,daylight_poa_gt_20,4488
PS_042,daylight_poa_gt_50,4132
PS_042,union_observed_timestamps,9792
PS_042,valid_dc_target,9450
PS_042,valid_dc_target_plus_poa,9443
