group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,primary_computable,d_pair,source_full_duration,target_full_duration,duration_imbalance,shorter_side,n_source_matched,n_target_matched,source_matched_start,source_matched_end,target_matched_start,target_matched_end,source_matched_elapsed,target_matched_elapsed,matched_row_ratio
TW_4467a039e00b,PS_043,PS_047,SplineRidge,CS4_R10,False,True,43.854166666666664,59.979166666666664,43.854166666666664,16.125,target,1746,1725,2025-03-16T17:45:00+00:00,2025-04-29T14:15:00+00:00,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,43.854166666666664,43.854166666666664,1.0121739130434784
TW_4467a039e00b,PS_043,PS_048,SplineRidge,CS4_R10,False,True,59.979166666666664,59.979166666666664,64.84375,4.864583333333336,source,2370,2001,2025-02-28T14:45:00+00:00,2025-04-29T14:15:00+00:00,2025-03-05T12:45:00+00:00,2025-05-04T12:15:00+00:00,59.979166666666664,59.979166666666664,1.184407796101949
TW_4467a039e00b,PS_043,PS_049,SplineRidge,CS4_R10,False,True,59.979166666666664,59.979166666666664,64.91666666666667,4.937500000000007,source,2370,1910,2025-02-28T14:45:00+00:00,2025-04-29T14:15:00+00:00,2025-03-05T14:30:00+00:00,2025-05-04T14:00:00+00:00,59.979166666666664,59.979166666666664,1.2408376963350785
TW_4467a039e00b,PS_043,PS_050,SplineRidge,CS4_R10,False,True,59.03125,59.979166666666664,59.03125,0.9479166666666643,target,2332,2521,2025-03-01T13:30:00+00:00,2025-04-29T14:15:00+00:00,2025-02-28T16:00:00+00:00,2025-04-28T16:45:00+00:00,59.03125,59.03125,0.925029750099167
TW_4467a039e00b,PS_043,PS_051,SplineRidge,CS4_R10,False,True,52.947916666666664,59.979166666666664,52.947916666666664,7.03125,target,2050,2239,2025-03-07T15:30:00+00:00,2025-04-29T14:15:00+00:00,2025-03-10T13:45:00+00:00,2025-05-02T12:30:00+00:00,52.947916666666664,52.947916666666664,0.915587315765967
TW_4467a039e00b,PS_044,PS_042,SplineRidge,CS4_R10,False,True,58.114583333333336,58.854166666666664,58.114583333333336,0.7395833333333286,target,2481,2455,2025-03-01T09:45:00+00:00,2025-04-28T11:30:00+00:00,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,58.072916666666664,58.114583333333336,1.010590631364562
TW_4467a039e00b,PS_044,PS_043,SplineRidge,CS4_R10,False,True,58.854166666666664,58.854166666666664,59.979166666666664,1.125,source,2503,2315,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-03-01T17:45:00+00:00,2025-04-29T14:15:00+00:00,58.854166666666664,58.854166666666664,1.0812095032397409
TW_4467a039e00b,PS_044,PS_045,SplineRidge,CS4_R10,False,True,58.854166666666664,58.854166666666664,62.927083333333336,4.072916666666671,source,2503,2019,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-03-04T17:15:00+00:00,2025-05-02T13:45:00+00:00,58.854166666666664,58.854166666666664,1.2397226349678059
TW_4467a039e00b,PS_044,PS_046,SplineRidge,CS4_R10,False,True,39.916666666666664,58.854166666666664,39.916666666666664,18.9375,target,1677,1710,2025-03-19T13:30:00+00:00,2025-04-28T11:30:00+00:00,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,39.916666666666664,39.916666666666664,0.980701754385965
TW_4467a039e00b,PS_044,PS_047,SplineRidge,CS4_R10,False,True,43.854166666666664,58.854166666666664,43.854166666666664,15.0,target,1845,1725,2025-03-15T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,43.854166666666664,43.854166666666664,1.0695652173913044
TW_4467a039e00b,PS_044,PS_048,SplineRidge,CS4_R10,False,True,58.854166666666664,58.854166666666664,64.84375,5.989583333333336,source,2503,1945,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-03-06T15:45:00+00:00,2025-05-04T12:15:00+00:00,58.854166666666664,58.854166666666664,1.2868894601542415
TW_4467a039e00b,PS_044,PS_049,SplineRidge,CS4_R10,False,True,58.854166666666664,58.854166666666664,64.91666666666667,6.062500000000007,source,2503,1851,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-03-06T17:30:00+00:00,2025-05-04T14:00:00+00:00,58.854166666666664,58.854166666666664,1.352242031334414
TW_4467a039e00b,PS_044,PS_050,SplineRidge,CS4_R10,False,True,58.854166666666664,58.854166666666664,59.03125,0.1770833333333357,source,2503,2504,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-02-28T20:15:00+00:00,2025-04-28T16:45:00+00:00,58.854166666666664,58.854166666666664,0.9996006389776357
TW_4467a039e00b,PS_044,PS_051,SplineRidge,CS4_R10,False,True,52.947916666666664,58.854166666666664,52.947916666666664,5.90625,target,2260,2239,2025-03-06T12:45:00+00:00,2025-04-28T11:30:00+00:00,2025-03-10T13:45:00+00:00,2025-05-02T12:30:00+00:00,52.947916666666664,52.947916666666664,1.0093791871371147
TW_4467a039e00b,PS_045,PS_042,SplineRidge,CS4_R10,False,True,58.114583333333336,62.927083333333336,58.114583333333336,4.8125,target,1999,2455,2025-03-05T11:00:00+00:00,2025-05-02T13:45:00+00:00,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,58.114583333333336,58.114583333333336,0.8142566191446029
TW_4467a039e00b,PS_045,PS_043,SplineRidge,CS4_R10,False,True,59.979166666666664,62.927083333333336,59.979166666666664,2.9479166666666714,target,2071,2370,2025-03-03T14:15:00+00:00,2025-05-02T13:45:00+00:00,2025-02-28T14:45:00+00:00,2025-04-29T14:15:00+00:00,59.979166666666664,59.979166666666664,0.8738396624472574
TW_4467a039e00b,PS_045,PS_044,SplineRidge,CS4_R10,False,True,58.854166666666664,62.927083333333336,58.854166666666664,4.072916666666671,target,2019,2503,2025-03-04T17:15:00+00:00,2025-05-02T13:45:00+00:00,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,58.854166666666664,58.854166666666664,0.8066320415501398
TW_4467a039e00b,PS_045,PS_046,SplineRidge,CS4_R10,False,True,39.916666666666664,62.927083333333336,39.916666666666664,23.01041666666667,target,1205,1710,2025-03-23T15:45:00+00:00,2025-05-02T13:45:00+00:00,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,39.916666666666664,39.916666666666664,0.7046783625730995
TW_4467a039e00b,PS_045,PS_047,SplineRidge,CS4_R10,False,True,43.854166666666664,62.927083333333336,43.854166666666664,19.07291666666667,target,1378,1725,2025-03-19T17:15:00+00:00,2025-05-02T13:45:00+00:00,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,43.854166666666664,43.854166666666664,0.7988405797101449
TW_4467a039e00b,PS_045,PS_048,SplineRidge,CS4_R10,False,True,62.927083333333336,62.927083333333336,64.84375,1.9166666666666643,source,2196,2133,2025-02-28T15:30:00+00:00,2025-05-02T13:45:00+00:00,2025-03-02T14:00:00+00:00,2025-05-04T12:15:00+00:00,62.927083333333336,62.927083333333336,1.029535864978903
TW_4467a039e00b,PS_045,PS_049,SplineRidge,CS4_R10,False,True,62.927083333333336,62.927083333333336,64.91666666666667,1.9895833333333357,source,2196,2039,2025-02-28T15:30:00+00:00,2025-05-02T13:45:00+00:00,2025-03-02T15:45:00+00:00,2025-05-04T14:00:00+00:00,62.927083333333336,62.927083333333336,1.0769985286905346
TW_4467a039e00b,PS_045,PS_050,SplineRidge,CS4_R10,False,True,59.03125,62.927083333333336,59.03125,3.8958333333333357,target,2034,2521,2025-03-04T13:30:00+00:00,2025-05-02T13:45:00+00:00,2025-02-28T16:00:00+00:00,2025-04-28T16:45:00+00:00,59.010416666666664,59.03125,0.8068226894089647
TW_4467a039e00b,PS_045,PS_051,SplineRidge,CS4_R10,False,True,52.947916666666664,62.927083333333336,52.947916666666664,9.979166666666671,target,1759,2239,2025-03-10T15:00:00+00:00,2025-05-02T13:45:00+00:00,2025-03-10T13:45:00+00:00,2025-05-02T12:30:00+00:00,52.947916666666664,52.947916666666664,0.7856185797230907
TW_4467a039e00b,PS_046,PS_042,SplineRidge,CS4_R10,False,True,39.916666666666664,39.916666666666664,58.114583333333336,18.19791666666667,source,1710,1633,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,2025-03-18T20:00:00+00:00,2025-04-27T17:45:00+00:00,39.916666666666664,39.90625,1.0471524800979792
TW_4467a039e00b,PS_046,PS_043,SplineRidge,CS4_R10,False,True,39.916666666666664,39.916666666666664,59.979166666666664,20.0625,source,1710,1571,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,2025-03-20T16:15:00+00:00,2025-04-29T14:15:00+00:00,39.916666666666664,39.916666666666664,1.0884786760025462
TW_4467a039e00b,PS_046,PS_044,SplineRidge,CS4_R10,False,True,39.916666666666664,39.916666666666664,58.854166666666664,18.9375,source,1710,1677,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,2025-03-19T13:30:00+00:00,2025-04-28T11:30:00+00:00,39.916666666666664,39.916666666666664,1.0196779964221825
TW_4467a039e00b,PS_046,PS_045,SplineRidge,CS4_R10,False,True,39.916666666666664,39.916666666666664,62.927083333333336,23.01041666666667,source,1710,1205,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,2025-03-23T15:45:00+00:00,2025-05-02T13:45:00+00:00,39.916666666666664,39.916666666666664,1.4190871369294606
TW_4467a039e00b,PS_046,PS_047,SplineRidge,CS4_R10,False,True,39.916666666666664,39.916666666666664,43.854166666666664,3.9375,source,1710,1557,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,2025-03-04T14:30:00+00:00,2025-04-13T12:30:00+00:00,39.916666666666664,39.916666666666664,1.0982658959537572
TW_4467a039e00b,PS_046,PS_048,SplineRidge,CS4_R10,False,True,39.916666666666664,39.916666666666664,64.84375,24.927083333333336,source,1710,1228,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,2025-03-27T13:30:00+00:00,2025-05-04T12:15:00+00:00,39.916666666666664,37.947916666666664,1.3925081433224755
TW_4467a039e00b,PS_046,PS_049,SplineRidge,CS4_R10,False,True,39.916666666666664,39.916666666666664,64.91666666666667,25.000000000000007,source,1710,1025,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,2025-03-25T16:00:00+00:00,2025-05-04T14:00:00+00:00,39.916666666666664,39.916666666666664,1.6682926829268292
TW_4467a039e00b,PS_046,PS_050,SplineRidge,CS4_R10,False,True,39.916666666666664,39.916666666666664,59.03125,19.114583333333336,source,1710,1669,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,2025-03-19T18:45:00+00:00,2025-04-28T16:45:00+00:00,39.916666666666664,39.916666666666664,1.0245656081485919
TW_4467a039e00b,PS_046,PS_051,SplineRidge,CS4_R10,False,True,39.916666666666664,39.916666666666664,52.947916666666664,13.03125,source,1710,1665,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,2025-03-23T14:30:00+00:00,2025-05-02T12:30:00+00:00,39.916666666666664,39.916666666666664,1.027027027027027
TW_4467a039e00b,PS_047,PS_042,SplineRidge,CS4_R10,False,True,43.854166666666664,43.854166666666664,58.114583333333336,14.260416666666671,source,1725,1795,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,2025-03-15T10:00:00+00:00,2025-04-27T17:45:00+00:00,43.854166666666664,43.322916666666664,0.9610027855153204
TW_4467a039e00b,PS_047,PS_043,SplineRidge,CS4_R10,False,True,43.854166666666664,43.854166666666664,59.979166666666664,16.125,source,1725,1746,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,2025-03-16T17:45:00+00:00,2025-04-29T14:15:00+00:00,43.854166666666664,43.854166666666664,0.9879725085910653
TW_4467a039e00b,PS_047,PS_044,SplineRidge,CS4_R10,False,True,43.854166666666664,43.854166666666664,58.854166666666664,15.0,source,1725,1845,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,2025-03-15T15:00:00+00:00,2025-04-28T11:30:00+00:00,43.854166666666664,43.854166666666664,0.9349593495934959
TW_4467a039e00b,PS_047,PS_045,SplineRidge,CS4_R10,False,True,43.854166666666664,43.854166666666664,62.927083333333336,19.07291666666667,source,1725,1378,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,2025-03-19T17:15:00+00:00,2025-05-02T13:45:00+00:00,43.854166666666664,43.854166666666664,1.2518142235123366
TW_4467a039e00b,PS_047,PS_046,SplineRidge,CS4_R10,False,True,39.916666666666664,43.854166666666664,39.916666666666664,3.9375,target,1557,1710,2025-03-04T14:30:00+00:00,2025-04-13T12:30:00+00:00,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,39.916666666666664,39.916666666666664,0.9105263157894737
TW_4467a039e00b,PS_047,PS_048,SplineRidge,CS4_R10,False,True,43.854166666666664,43.854166666666664,64.84375,20.989583333333336,source,1725,1291,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,2025-03-21T15:45:00+00:00,2025-05-04T12:15:00+00:00,43.854166666666664,43.854166666666664,1.3361735089078235
TW_4467a039e00b,PS_047,PS_049,SplineRidge,CS4_R10,False,True,43.854166666666664,43.854166666666664,64.91666666666667,21.062500000000007,source,1725,1195,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,2025-03-21T17:30:00+00:00,2025-05-04T14:00:00+00:00,43.854166666666664,43.854166666666664,1.4435146443514644
TW_4467a039e00b,PS_047,PS_050,SplineRidge,CS4_R10,False,True,43.854166666666664,43.854166666666664,59.03125,15.177083333333336,source,1725,1835,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,2025-03-15T20:15:00+00:00,2025-04-28T16:45:00+00:00,43.854166666666664,43.854166666666664,0.9400544959128065
TW_4467a039e00b,PS_047,PS_051,SplineRidge,CS4_R10,False,True,43.854166666666664,43.854166666666664,52.947916666666664,9.09375,source,1725,1838,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,2025-03-19T16:00:00+00:00,2025-05-02T12:30:00+00:00,43.854166666666664,43.854166666666664,0.9385201305767138
TW_4467a039e00b,PS_048,PS_042,SplineRidge,CS4_R10,False,False,58.114583333333336,64.84375,58.114583333333336,6.729166666666664,target,1922,2455,2025-03-07T09:45:00+00:00,2025-05-04T12:15:00+00:00,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,58.104166666666664,58.114583333333336,0.7828920570264766
TW_4467a039e00b,PS_048,PS_043,SplineRidge,CS4_R10,False,False,59.979166666666664,64.84375,59.979166666666664,4.864583333333336,target,2001,2370,2025-03-05T12:45:00+00:00,2025-05-04T12:15:00+00:00,2025-02-28T14:45:00+00:00,2025-04-29T14:15:00+00:00,59.979166666666664,59.979166666666664,0.8443037974683544
TW_4467a039e00b,PS_048,PS_044,SplineRidge,CS4_R10,False,False,58.854166666666664,64.84375,58.854166666666664,5.989583333333336,target,1945,2503,2025-03-06T15:45:00+00:00,2025-05-04T12:15:00+00:00,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,58.854166666666664,58.854166666666664,0.7770675189772274
TW_4467a039e00b,PS_048,PS_045,SplineRidge,CS4_R10,False,False,62.927083333333336,64.84375,62.927083333333336,1.9166666666666643,target,2133,2196,2025-03-02T14:00:00+00:00,2025-05-04T12:15:00+00:00,2025-02-28T15:30:00+00:00,2025-05-02T13:45:00+00:00,62.927083333333336,62.927083333333336,0.9713114754098361
TW_4467a039e00b,PS_048,PS_046,SplineRidge,CS4_R10,False,False,39.916666666666664,64.84375,39.916666666666664,24.927083333333336,target,1228,1710,2025-03-27T13:30:00+00:00,2025-05-04T12:15:00+00:00,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,37.947916666666664,39.916666666666664,0.7181286549707603
TW_4467a039e00b,PS_048,PS_047,SplineRidge,CS4_R10,False,False,43.854166666666664,64.84375,43.854166666666664,20.989583333333336,target,1291,1725,2025-03-21T15:45:00+00:00,2025-05-04T12:15:00+00:00,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,43.854166666666664,43.854166666666664,0.7484057971014493
TW_4467a039e00b,PS_048,PS_049,SplineRidge,CS4_R10,False,False,64.84375,64.84375,64.91666666666667,0.0729166666666714,source,2215,2122,2025-02-28T16:00:00+00:00,2025-05-04T12:15:00+00:00,2025-02-28T17:45:00+00:00,2025-05-04T14:00:00+00:00,64.84375,64.84375,1.0438265786993401
TW_4467a039e00b,PS_048,PS_050,SplineRidge,CS4_R10,False,False,59.03125,64.84375,59.03125,5.8125,target,1962,2521,2025-03-06T11:30:00+00:00,2025-05-04T12:15:00+00:00,2025-02-28T16:00:00+00:00,2025-04-28T16:45:00+00:00,59.03125,59.03125,0.7782625942086474
