group_id,plant_a,plant_b,a_to_b_computable,b_to_a_computable,otg_a_to_b,otg_b_to_a,asymmetry_signed,asymmetry_abs,asymmetry_computable,primary_both_computable,duration_imbalance,abs_A_primary,abs_A_change
TW_04b9f5d95694,PS_002,PS_003,True,True,0.0009000357219353522,0.0012641931618878333,-0.00036415743995248107,0.00036415743995248107,True,True,0.6666666666666856,0.0002428308038606164,-0.00012132663609186467
TW_4467a039e00b,PS_042,PS_043,True,True,-0.01637423445662066,0.022654112614036256,-0.039028347070656916,0.039028347070656916,True,True,1.8645833333333286,0.03987884352876844,0.0008504964581115271
TW_4467a039e00b,PS_042,PS_044,True,True,0.011645728807398364,0.0005940185995237449,0.01105171020787462,0.01105171020787462,True,True,0.7395833333333286,0.010645168809641309,-0.00040654139823331076
TW_4467a039e00b,PS_042,PS_045,True,True,-0.008278470661415259,0.00128890039019465,-0.009567371051609909,0.009567371051609909,True,True,4.8125,0.010017822598078076,0.0004504515464681669
TW_4467a039e00b,PS_042,PS_046,True,True,0.001140637700632191,-0.025109653830842966,0.026250291531475158,0.026250291531475158,True,True,18.19791666666667,0.005744022462605795,-0.020506269068869362
TW_4467a039e00b,PS_042,PS_047,True,True,-0.0037687772196254715,0.10399414833340995,-0.10776292555303542,0.10776292555303542,True,True,14.260416666666671,0.12177200591372062,0.014009080360685197
TW_4467a039e00b,PS_042,PS_048,True,False,-0.00023597418975498247,,,,False,False,6.729166666666664,,
TW_4467a039e00b,PS_042,PS_049,True,True,-0.003247535401203455,-0.008275235962753917,0.005027700561550462,0.005027700561550462,True,True,6.802083333333336,0.006653699041691594,0.0016259984801411317
TW_4467a039e00b,PS_042,PS_050,True,True,0.002335284088950812,-0.013133548339098834,0.015468832428049646,0.015468832428049646,True,True,0.9166666666666643,0.015561813359096427,9.298093104678079e-05
TW_4467a039e00b,PS_042,PS_051,True,True,0.027763884992040355,-0.009889134889285119,0.037653019881325474,0.037653019881325474,True,True,5.166666666666671,0.03558783929044759,-0.002065180590877881
TW_4467a039e00b,PS_043,PS_044,True,True,0.04293951652655309,0.0037584083204928315,0.03918110820606026,0.03918110820606026,True,True,1.125,0.04249561911766181,0.003314510911601551
TW_4467a039e00b,PS_043,PS_045,True,True,0.015863306250613995,0.009803776435297604,0.006059529815316392,0.006059529815316392,True,True,2.9479166666666714,0.0059200485566397384,-0.00013948125867665334
TW_4467a039e00b,PS_043,PS_046,True,True,0.0113160631500792,0.011918936324938748,-0.0006028731748595473,0.0006028731748595473,True,True,20.0625,0.004812391028244205,0.0042095178533846575
TW_4467a039e00b,PS_043,PS_047,True,True,0.02697466535971188,0.06751199215260055,-0.04053732679288867,0.04053732679288867,True,True,16.125,0.038265813831763834,-0.002271512961124836
TW_4467a039e00b,PS_043,PS_048,True,False,0.013230830805892758,,,,False,False,4.864583333333336,,
