group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,primary_computable,d_pair,source_full_duration,target_full_duration,duration_imbalance,shorter_side,n_source_matched,n_target_matched,source_matched_start,source_matched_end,target_matched_start,target_matched_end,source_matched_elapsed,target_matched_elapsed,matched_row_ratio,n_eligible_target_test,n_supported,support_retention,n_supported_days,threshold,reason,transfer_mae,local_same_rows_mae,otg_abs,otg_rel,otg_rel_defined,delta_otg_duration,abs_duration_imbalance
TW_04b9f5d95694,PS_002,PS_003,SplineRidge,CS4_R10,True,True,266.3645833333333,266.3645833333333,267.03125,0.6666666666666856,source,10578,10077,2024-03-27T09:45:00+00:00,2024-12-18T18:30:00+00:00,2024-04-04T10:00:00+00:00,2024-12-26T10:30:00+00:00,266.3645833333333,266.0208333333333,1.0497171777314678,3374,3199,0.9481327800829875,88,0.4062346076280548,,0.05712021276954138,0.056220177047606026,0.0009000357219353522,0.016009122866568377,True,5.6936023241221934e-05,0.6666666666666856
TW_04b9f5d95694,PS_003,PS_002,SplineRidge,CS4_R10,True,True,266.3645833333333,267.03125,266.3645833333333,0.6666666666666856,target,10077,10578,2024-04-04T10:00:00+00:00,2024-12-26T10:30:00+00:00,2024-03-27T09:45:00+00:00,2024-12-18T18:30:00+00:00,266.0208333333333,266.3645833333333,0.9526375496313103,3527,3337,0.9461298554011908,92,0.4153381551853584,,0.06751908529664033,0.0662548921347525,0.0012641931618878333,0.01908075194382106,True,-6.439061285064274e-05,0.6666666666666856
TW_4467a039e00b,PS_042,PS_043,SplineRidge,CS4_R10,True,True,58.114583333333336,58.114583333333336,59.979166666666664,1.8645833333333286,source,2455,2294,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-02T11:30:00+00:00,2025-04-29T14:15:00+00:00,58.114583333333336,58.114583333333336,1.0701830863121187,791,614,0.7762326169405815,20,0.5311994797362574,,0.06785118684462539,0.08422542130124605,-0.01637423445662066,-0.19440964739203287,True,-0.0006807510733212729,1.8645833333333286
TW_4467a039e00b,PS_042,PS_044,SplineRidge,CS4_R10,True,True,58.114583333333336,58.114583333333336,58.854166666666664,0.7395833333333286,source,2455,2481,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-01T09:45:00+00:00,2025-04-28T11:30:00+00:00,58.114583333333336,58.072916666666664,0.9895203546956872,835,405,0.48502994011976047,21,0.5311994797362574,,0.08809958786039605,0.07645385905299769,0.011645728807398364,0.15232362305381555,True,-0.00037095127679018236,0.7395833333333286
TW_4467a039e00b,PS_042,PS_045,SplineRidge,CS4_R10,True,True,58.114583333333336,58.114583333333336,62.927083333333336,4.8125,source,2455,1999,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-05T11:00:00+00:00,2025-05-02T13:45:00+00:00,58.114583333333336,58.114583333333336,1.2281140570285143,732,195,0.26639344262295084,19,0.5311994797362574,,0.05652545741052544,0.0648039280719407,-0.008278470661415259,-0.1277464330900604,True,-0.00024636381055437306,4.8125
TW_4467a039e00b,PS_042,PS_046,SplineRidge,CS4_R10,True,True,39.916666666666664,58.114583333333336,39.916666666666664,18.19791666666667,target,1633,1710,2025-03-18T20:00:00+00:00,2025-04-27T17:45:00+00:00,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,39.90625,39.916666666666664,0.9549707602339181,570,318,0.5578947368421052,16,0.5765067801575806,,0.07113733673368572,0.06999669903305353,0.001140637700632191,0.01629559274064573,True,-0.0059838542337715545,18.19791666666667
TW_4467a039e00b,PS_042,PS_047,SplineRidge,CS4_R10,True,True,43.854166666666664,58.114583333333336,43.854166666666664,14.260416666666671,target,1795,1725,2025-03-15T10:00:00+00:00,2025-04-27T17:45:00+00:00,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,43.322916666666664,43.854166666666664,1.0405797101449274,576,173,0.3003472222222222,16,0.5630730975180538,,0.06367113807216129,0.06743991529178676,-0.0037687772196254715,-0.055883480922528025,True,0.00023162925253612104,14.260416666666671
TW_4467a039e00b,PS_042,PS_048,SplineRidge,CS4_R10,True,True,58.114583333333336,58.114583333333336,64.84375,6.729166666666664,source,2455,1922,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-07T09:45:00+00:00,2025-05-04T12:15:00+00:00,58.114583333333336,58.104166666666664,1.277315296566077,739,167,0.2259810554803789,18,0.5311994797362574,,0.0316825504910523,0.03191852468080728,-0.00023597418975498247,-0.0073930168174995425,True,0.00035984849979573547,6.729166666666664
TW_4467a039e00b,PS_042,PS_049,SplineRidge,CS4_R10,True,True,58.114583333333336,58.114583333333336,64.91666666666667,6.802083333333336,source,2455,1830,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-07T11:15:00+00:00,2025-05-04T14:00:00+00:00,58.114583333333336,58.114583333333336,1.3415300546448088,710,145,0.20422535211267606,18,0.5311994797362574,,0.07559855600449836,0.07884609140570181,-0.003247535401203455,-0.04118828648706621,True,0.0003627805692903163,6.802083333333336
TW_4467a039e00b,PS_042,PS_050,SplineRidge,CS4_R10,True,True,58.114583333333336,58.114583333333336,59.03125,0.9166666666666643,source,2455,2484,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-01T14:00:00+00:00,2025-04-28T16:45:00+00:00,58.114583333333336,58.114583333333336,0.9883252818035426,841,124,0.14744351961950058,21,0.5311994797362574,,0.06071314448028148,0.058377860391330666,0.002335284088950812,0.04000290646653454,True,-4.104134175057783e-06,0.9166666666666643
TW_4467a039e00b,PS_042,PS_051,SplineRidge,CS4_R10,True,True,52.947916666666664,58.114583333333336,52.947916666666664,5.166666666666671,target,2212,2239,2025-03-05T19:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-10T13:45:00+00:00,2025-05-02T12:30:00+00:00,52.947916666666664,52.947916666666664,0.9879410451094238,747,520,0.6961178045515395,18,0.5374667775779546,,0.09404494911028508,0.06628106411824472,0.027763884992040355,0.41888109917049426,True,8.763346348586443e-05,5.166666666666671
TW_4467a039e00b,PS_043,PS_042,SplineRidge,CS4_R10,True,True,58.114583333333336,59.979166666666664,58.114583333333336,1.8645833333333286,target,2294,2455,2025-03-02T11:30:00+00:00,2025-04-29T14:15:00+00:00,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,58.114583333333336,58.114583333333336,0.9344195519348268,819,207,0.25274725274725274,20,0.5168333183311052,,0.07342021472460021,0.050766102110563954,0.022654112614036256,0.44624486955286935,True,0.00016974538479025414,1.8645833333333286
TW_4467a039e00b,PS_043,PS_044,SplineRidge,CS4_R10,True,True,58.854166666666664,59.979166666666664,58.854166666666664,1.125,target,2315,2503,2025-03-01T17:45:00+00:00,2025-04-29T14:15:00+00:00,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,58.854166666666664,58.854166666666664,0.9248901318417898,835,223,0.26706586826347306,20,0.5167494019049418,,0.11730374691573028,0.0743642303891772,0.04293951652655309,0.577421648846949,True,0.0022849420464546577,1.125
TW_4467a039e00b,PS_043,PS_045,SplineRidge,CS4_R10,True,True,59.979166666666664,59.979166666666664,62.927083333333336,2.9479166666666714,source,2370,2071,2025-02-28T14:45:00+00:00,2025-04-29T14:15:00+00:00,2025-03-03T14:15:00+00:00,2025-05-02T13:45:00+00:00,59.979166666666664,59.979166666666664,1.1443746982134235,732,148,0.20218579234972678,18,0.5142527041119462,,0.06967489669765302,0.05381159044703902,0.015863306250613995,0.29479348443020925,True,-0.0006680658027221273,2.9479166666666714
TW_4467a039e00b,PS_043,PS_046,SplineRidge,CS4_R10,True,True,39.916666666666664,59.979166666666664,39.916666666666664,20.0625,target,1571,1710,2025-03-20T16:15:00+00:00,2025-04-29T14:15:00+00:00,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,39.916666666666664,39.916666666666664,0.9187134502923977,570,192,0.3368421052631579,16,0.5816115015527715,,0.07320713677309891,0.06189107362301971,0.0113160631500792,0.18283837212140902,True,0.002913558196502193,20.0625
TW_4467a039e00b,PS_043,PS_047,SplineRidge,CS4_R10,True,True,43.854166666666664,59.979166666666664,43.854166666666664,16.125,target,1746,1725,2025-03-16T17:45:00+00:00,2025-04-29T14:15:00+00:00,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,43.854166666666664,43.854166666666664,1.0121739130434784,576,119,0.2065972222222222,16,0.5709830029299081,,0.0837481868945821,0.056773521534870225,0.02697466535971188,0.4751275705725613,True,0.0035109200935496687,16.125
TW_4467a039e00b,PS_043,PS_048,SplineRidge,CS4_R10,True,True,59.979166666666664,59.979166666666664,64.84375,4.864583333333336,source,2370,2001,2025-02-28T14:45:00+00:00,2025-04-29T14:15:00+00:00,2025-03-05T12:45:00+00:00,2025-05-04T12:15:00+00:00,59.979166666666664,59.979166666666664,1.184407796101949,739,154,0.2083897158322057,18,0.5142527041119462,,0.04095640257243356,0.027725571766540804,0.013230830805892758,0.4772067792614367,True,0.0005892808071753068,4.864583333333336
TW_4467a039e00b,PS_043,PS_049,SplineRidge,CS4_R10,True,True,59.979166666666664,59.979166666666664,64.91666666666667,4.937500000000007,source,2370,1910,2025-02-28T14:45:00+00:00,2025-04-29T14:15:00+00:00,2025-03-05T14:30:00+00:00,2025-05-04T14:00:00+00:00,59.979166666666664,59.979166666666664,1.2408376963350785,710,105,0.14788732394366197,17,0.5142527041119462,,0.07299013001897516,0.06316283351880214,0.009827296500173013,0.1555866947806838,True,-0.0004355375930281957,4.937500000000007
TW_4467a039e00b,PS_043,PS_050,SplineRidge,CS4_R10,True,True,59.03125,59.979166666666664,59.03125,0.9479166666666643,target,2332,2521,2025-03-01T13:30:00+00:00,2025-04-29T14:15:00+00:00,2025-02-28T16:00:00+00:00,2025-04-28T16:45:00+00:00,59.03125,59.03125,0.925029750099167,841,69,0.08204518430439953,20,0.5171756661362685,,0.07147426217131399,0.053724930917367596,0.017749331253946392,0.3303742033888514,True,0.0002899375117248193,0.9479166666666643
TW_4467a039e00b,PS_043,PS_051,SplineRidge,CS4_R10,True,True,52.947916666666664,59.979166666666664,52.947916666666664,7.03125,target,2050,2239,2025-03-07T15:30:00+00:00,2025-04-29T14:15:00+00:00,2025-03-10T13:45:00+00:00,2025-05-02T12:30:00+00:00,52.947916666666664,52.947916666666664,0.915587315765967,747,426,0.570281124497992,18,0.5260228951676699,,0.11007542731554944,0.07444361860389027,0.03563180871165916,0.4786415461781047,True,6.895432061079787e-05,7.03125
TW_4467a039e00b,PS_044,PS_042,SplineRidge,CS4_R10,True,True,58.114583333333336,58.854166666666664,58.114583333333336,0.7395833333333286,target,2481,2455,2025-03-01T09:45:00+00:00,2025-04-28T11:30:00+00:00,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,58.072916666666664,58.114583333333336,1.010590631364562,819,581,0.7094017094017094,20,0.5719142966261912,,0.062381420036280416,0.06178740143675667,0.0005940185995237449,0.009613911342941985,True,3.55901214431284e-05,0.7395833333333286
TW_4467a039e00b,PS_044,PS_043,SplineRidge,CS4_R10,True,True,58.854166666666664,58.854166666666664,59.979166666666664,1.125,source,2503,2315,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-03-01T17:45:00+00:00,2025-04-29T14:15:00+00:00,58.854166666666664,58.854166666666664,1.0812095032397409,791,389,0.4917825537294564,20,0.5641376971789263,,0.07914031616886597,0.07538190784837313,0.0037584083204928315,0.04985822762741265,True,-0.0010295688651468932,1.125
TW_4467a039e00b,PS_044,PS_045,SplineRidge,CS4_R10,True,True,58.854166666666664,58.854166666666664,62.927083333333336,4.072916666666671,source,2503,2019,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-03-04T17:15:00+00:00,2025-05-02T13:45:00+00:00,58.854166666666664,58.854166666666664,1.2397226349678059,732,429,0.5860655737704918,19,0.5641376971789263,,0.05065660050477117,0.04709623540653375,0.003560365098237421,0.07559765801882935,True,5.885869540137034e-05,4.072916666666671
TW_4467a039e00b,PS_044,PS_046,SplineRidge,CS4_R10,True,True,39.916666666666664,58.854166666666664,39.916666666666664,18.9375,target,1677,1710,2025-03-19T13:30:00+00:00,2025-04-28T11:30:00+00:00,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,39.916666666666664,39.916666666666664,0.980701754385965,570,431,0.756140350877193,16,0.6122799639448161,,0.0699468939609058,0.06333114833037191,0.006615745630533881,0.10446274550434999,True,-0.002702359284408984,18.9375
TW_4467a039e00b,PS_044,PS_047,SplineRidge,CS4_R10,True,True,43.854166666666664,58.854166666666664,43.854166666666664,15.0,target,1845,1725,2025-03-15T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,43.854166666666664,43.854166666666664,1.0695652173913044,576,315,0.546875,16,0.6092716452411624,,0.10865749156981205,0.09893126258558776,0.009726228984224289,0.09831299763115728,True,-0.0025684600057934853,15.0
TW_4467a039e00b,PS_044,PS_048,SplineRidge,CS4_R10,True,True,58.854166666666664,58.854166666666664,64.84375,5.989583333333336,source,2503,1945,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-03-06T15:45:00+00:00,2025-05-04T12:15:00+00:00,58.854166666666664,58.854166666666664,1.2868894601542415,739,305,0.41271989174560214,18,0.5641376971789263,,0.054156077108248865,0.04483036320156613,0.009325713906682735,0.20802226974500498,True,-0.00019387230835644226,5.989583333333336
TW_4467a039e00b,PS_044,PS_049,SplineRidge,CS4_R10,True,True,58.854166666666664,58.854166666666664,64.91666666666667,6.062500000000007,source,2503,1851,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-03-06T17:30:00+00:00,2025-05-04T14:00:00+00:00,58.854166666666664,58.854166666666664,1.352242031334414,710,402,0.5661971830985916,17,0.5641376971789263,,0.06380955595983687,0.05886133260072901,0.004948223359107856,0.08406577188241524,True,0.0003321632544110095,6.062500000000007
TW_4467a039e00b,PS_044,PS_050,SplineRidge,CS4_R10,True,True,58.854166666666664,58.854166666666664,59.03125,0.1770833333333357,source,2503,2504,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,2025-02-28T20:15:00+00:00,2025-04-28T16:45:00+00:00,58.854166666666664,58.854166666666664,0.9996006389776357,841,424,0.5041617122473246,21,0.5641376971789263,,0.06207899670090344,0.05676207636923362,0.005316920331669819,0.09367029312112542,True,-0.000123937104529806,0.1770833333333357
TW_4467a039e00b,PS_044,PS_051,SplineRidge,CS4_R10,True,True,52.947916666666664,58.854166666666664,52.947916666666664,5.90625,target,2260,2239,2025-03-06T12:45:00+00:00,2025-04-28T11:30:00+00:00,2025-03-10T13:45:00+00:00,2025-05-02T12:30:00+00:00,52.947916666666664,52.947916666666664,1.0093791871371147,747,276,0.36947791164658633,18,0.5793235598648837,,0.10688566193242727,0.06558630817347985,0.041299353758947416,0.6296947474114272,True,0.001840679615823529,5.90625
