subset,n_plants,n_directional,n_targets,rq1,rq1_median,rq1_rel_median,rq1_rel_p75,n_pairs,rq2,rq2_median_abs,delta_rq1_vs_full,delta_rq2_vs_full
full_primary,14,85,14,0.009723604857785641,0.005620504664835005,0.09068350552690223,0.2858920511133578,38,0.026622430133826737,0.015586154208783561,0.0,0.0
G2,10,81,10,0.015181496979951397,0.006361898608261737,0.11049499037108494,0.3054139108433952,36,0.03647491048721349,0.0165116103449235,0.005457892122165756,0.009852480353386754
nonG2_pooled,4,4,4,-0.003921125447628748,-0.0018153661802057797,-0.027579771049859418,0.01730940898922715,2,0.004454349338706552,0.004454349338706552,-0.013644730305414389,-0.022168080795120185
G1,2,2,2,0.0010783871471068823,0.0010783871471068823,0.01757970613728724,0.017850003285347332,1,0.0002428308038606164,0.0002428308038606164,-0.008645217710678759,-0.02637959932996612
G4,2,2,2,-0.008920638042364377,-0.008920638042364377,-0.12029340863007928,-0.09624603128548259,1,0.008665867873552488,0.008665867873552488,-0.01864424290015002,-0.01795656226027425
