deleted_plant,deleted_group,scope,rq1,n_directional,n_targets,delta_rq1,rq2,n_pairs,delta_rq2,rq2_estimable,rq2_reason
PS_002,TW_04b9f5d95694,nonG2_pooled,-0.008920638042364377,2,2,-0.00499951259473563,0.008665867873552488,1,0.004211518534845936,True,
PS_003,TW_04b9f5d95694,nonG2_pooled,-0.008920638042364377,2,2,-0.00499951259473563,0.008665867873552488,1,0.004211518534845936,True,
PS_035,TW_88a108921af7,nonG2_pooled,0.0010783871471068823,2,2,0.00499951259473563,0.0002428308038606164,1,-0.004211518534845936,True,
PS_039,TW_88a108921af7,nonG2_pooled,0.0010783871471068823,2,2,0.00499951259473563,0.0002428308038606164,1,-0.004211518534845936,True,
