deleted_plant,deleted_group,remaining_n_directional,remaining_n_targets,remaining_n_sources,rq1,directional_mean,directional_median,rel_median,rel_p75,delta,abs_delta,sign
PS_002,TW_04b9f5d95694,83,12,11,0.011164474476232101,0.014626221522036322,0.006200780150080076,0.09128752236320946,0.2956529809783765,0.0014408696184464598,0.0014408696184464598,1
PS_003,TW_04b9f5d95694,83,12,11,0.011164474476232101,0.014626221522036322,0.006200780150080076,0.09128752236320946,0.2956529809783765,0.0014408696184464598,0.0014408696184464598,1
PS_035,TW_88a108921af7,83,12,11,0.012830978674477312,0.014867161888047677,0.006200780150080076,0.09128752236320946,0.2956529809783765,0.003107373816691671,0.003107373816691671,1
PS_039,TW_88a108921af7,83,12,11,0.012830978674477312,0.014867161888047677,0.006200780150080076,0.09128752236320946,0.2956529809783765,0.003107373816691671,0.003107373816691671,1
PS_042,TW_4467a039e00b,68,13,12,0.010942378192837575,0.01631335417679985,0.0071497163004227565,0.11789963717134741,0.3130031598035996,0.0012187733350519335,0.0012187733350519335,1
PS_043,TW_4467a039e00b,68,13,12,0.009687176176459335,0.014608421630427817,0.004968986741254542,0.07507477176836816,0.24810697970060955,-3.6428681326305945e-05,3.6428681326305945e-05,1
PS_044,TW_4467a039e00b,68,13,12,0.008746952747229952,0.013358799596486184,0.0054041888605942355,0.10058924794899358,0.2907725160458672,-0.0009766521105556893,0.0009766521105556893,1
PS_045,TW_4467a039e00b,68,13,12,0.010066048035771177,0.015119090187364858,0.006577836215764868,0.09075277838185522,0.3453639604097577,0.0003424431779855356,0.0003424431779855356,1
PS_046,TW_4467a039e00b,68,13,12,0.011171284228069067,0.01660381488444411,0.006281339379170907,0.10180306480423701,0.3453639604097577,0.0014476793702834258,0.0014476793702834258,1
PS_047,TW_4467a039e00b,68,13,12,0.003239152507605244,0.005847741376602633,0.004968986741254542,0.07931509028014,0.23443379200963763,-0.006484452350180397,0.006484452350180397,1
PS_048,TW_4467a039e00b,76,13,13,0.009140966460874407,0.013953316111375565,0.004968986741254542,0.07507477176836816,0.2806599115295383,-0.0005826383969112347,0.0005826383969112347,1
PS_049,TW_4467a039e00b,68,13,12,0.010461935336632384,0.015652172106728573,0.005696881688610045,0.08411554730889344,0.38195268397466264,0.0007383304788467424,0.0007383304788467424,1
PS_050,TW_4467a039e00b,68,13,12,0.010886328318020406,0.01622144056791377,0.0071497163004227565,0.11759643942654208,0.38195268397466264,0.0011627234602347644,0.0011627234602347644,1
PS_051,TW_4467a039e00b,68,13,12,0.008695448018844748,0.013293463369412414,0.004968986741254542,0.07507477176836816,0.24810697970060955,-0.001028156838940893,0.001028156838940893,1
