target_plant_id,twin_source_plant_id,control_source_plant_id,computable,n_pairwise,otg_twin,otg_control,delta,support_alignment
PS_049,PS_046,PS_005,True,68,0.020586575029399756,0.082467740619449,0.06188116559004925,B_PAIRWISE_INTERSECTION
PS_049,PS_047,PS_005,True,82,0.09930073775212697,0.06708356850219382,-0.03221716924993315,B_PAIRWISE_INTERSECTION
PS_049,PS_048,PS_005,False,0,,,,
PS_049,PS_050,PS_005,True,104,-0.0029144423143625114,0.0739297944908451,0.0768442368052076,B_PAIRWISE_INTERSECTION
PS_049,PS_051,PS_005,True,25,-0.002362947024282816,0.02635674372989316,0.028719690754175978,B_PAIRWISE_INTERSECTION
PS_050,PS_042,PS_005,True,21,-0.003481565145076658,0.0338166106061169,0.037298175751193555,B_PAIRWISE_INTERSECTION
PS_050,PS_043,PS_005,True,13,0.03637467067489084,0.006441518388298005,-0.029933152286592837,B_PAIRWISE_INTERSECTION
PS_050,PS_044,PS_005,True,46,0.009843568696306752,0.06053713718787749,0.05069356849157074,B_PAIRWISE_INTERSECTION
PS_050,PS_045,PS_005,True,50,0.030765427987216334,0.06704735630756853,0.036281928320352194,B_PAIRWISE_INTERSECTION
PS_050,PS_046,PS_005,True,34,0.011267269175835024,0.06513923444901792,0.0538719652731829,B_PAIRWISE_INTERSECTION
PS_050,PS_047,PS_005,True,53,0.07603488746819675,0.06294037094709995,-0.013094516521096805,B_PAIRWISE_INTERSECTION
PS_050,PS_048,PS_005,False,0,,,,
PS_050,PS_049,PS_005,True,55,0.02053321501962007,0.05311231738977273,0.03257910237015266,B_PAIRWISE_INTERSECTION
PS_050,PS_051,PS_005,True,18,-0.008282513963664653,0.045028516893535334,0.05331103085719999,B_PAIRWISE_INTERSECTION
