group_id,plant_a,plant_b,a_to_b_computable,b_to_a_computable,otg_a_to_b,otg_b_to_a,asymmetry_signed,asymmetry_abs,asymmetry_computable,reason_a_to_b,reason_b_to_a
TW_04b9f5d95694,PS_002,PS_003,True,True,0.0009569717451765741,0.0011998025490371905,-0.0002428308038606164,0.0002428308038606164,True,,
TW_4467a039e00b,PS_042,PS_043,True,True,-0.017054985529941932,0.02282385799882651,-0.03987884352876844,0.03987884352876844,True,,
TW_4467a039e00b,PS_042,PS_044,True,True,0.011274777530608182,0.0006296087209668733,0.010645168809641309,0.010645168809641309,True,,
TW_4467a039e00b,PS_042,PS_045,True,True,-0.008524834471969632,0.0014929881261084438,-0.010017822598078076,0.010017822598078076,True,,
TW_4467a039e00b,PS_042,PS_046,True,True,-0.004843216533139363,-0.010587238995745159,0.005744022462605795,0.005744022462605795,True,,
TW_4467a039e00b,PS_042,PS_047,True,True,-0.0035371479670893505,0.11823485794663127,-0.12177200591372062,0.12177200591372062,True,,
TW_4467a039e00b,PS_042,PS_048,True,False,0.000123874310040753,,,,False,,degenerate_iqr:wind_speed_ms
TW_4467a039e00b,PS_042,PS_049,True,True,-0.002884754831913139,-0.009538453873604733,0.006653699041691594,0.006653699041691594,True,,
TW_4467a039e00b,PS_042,PS_050,True,True,0.002331179954775754,-0.013230633404320673,0.015561813359096427,0.015561813359096427,True,,
TW_4467a039e00b,PS_042,PS_051,True,True,0.02785151845552622,-0.007736320834921373,0.03558783929044759,0.03558783929044759,True,,
TW_4467a039e00b,PS_043,PS_044,True,True,0.04522445857300775,0.0027288394553459383,0.04249561911766181,0.04249561911766181,True,,
TW_4467a039e00b,PS_043,PS_045,True,True,0.015195240447891868,0.00927519189125213,0.0059200485566397384,0.0059200485566397384,True,,
TW_4467a039e00b,PS_043,PS_046,True,True,0.014229621346581393,0.009417230318337189,0.004812391028244205,0.004812391028244205,True,,
TW_4467a039e00b,PS_043,PS_047,True,True,0.03048558545326155,0.06875139928502538,-0.038265813831763834,0.038265813831763834,True,,
TW_4467a039e00b,PS_043,PS_048,True,False,0.013820111613068065,,,,False,,degenerate_iqr:wind_speed_ms
