source_plant_id,feature,n_source_train,median,q1,q3,iqr,scaler_computable,reason
PS_002,ambient_temperature_celsius,10578,24.872319545450875,21.711987409160315,27.696861406787008,5.984873997626693,True,
PS_002,ghi_irradiance_wm2,10578,415.2016704415872,203.79799442063597,651.8546052011845,448.05661078054857,True,
PS_002,gri_irradiance_wm2,10578,46.22900385603738,22.194029770924125,71.15846840970202,48.9644386387779,True,
PS_002,panel_temperature_celsius,10578,35.56983640564621,27.302012596208158,43.484563817024494,16.182551220816336,True,
PS_002,poa_irradiance_wm2,10578,465.3543604473103,222.4936738069807,748.7199430800604,526.2262692730797,True,
PS_002,wind_speed_ms,10578,2.7463382733892425,1.58890129923687,3.7418047238668075,2.1529034246299377,True,
PS_003,ambient_temperature_celsius,10119,25.036423104386238,21.794474573406106,27.729889520699988,5.935414947293882,True,
PS_003,ghi_irradiance_wm2,10119,418.37779740031533,205.19391251825274,655.1724159478786,449.9785034296258,True,
PS_003,gri_irradiance_wm2,10119,46.00230335084585,21.812866824042807,70.92027880798301,49.1074119839402,True,
PS_003,panel_temperature_celsius,10119,35.782242295626254,27.490790624795647,43.56961828058789,16.078827655792242,True,
PS_003,poa_irradiance_wm2,10119,467.72878744531926,223.41970517596832,748.3162833584162,524.8965781824479,True,
PS_003,wind_speed_ms,10119,2.785568801831316,1.6570410896516892,3.754945843353634,2.0979047537019446,True,
PS_035,ambient_temperature_celsius,4883,28.615363298106942,25.02746767644583,31.299733932375375,6.272266255929544,True,
PS_035,ghi_irradiance_wm2,4883,506.7322236293366,244.7793841575256,855.8562376757591,611.0768535182335,True,
PS_035,gri_irradiance_wm2,4883,32.69672141918805,21.319136097843977,41.03670537798195,19.717569280137976,True,
PS_035,panel_temperature_celsius,4883,43.40355832661863,32.24950036366019,51.232752928940805,18.983252565280615,True,
PS_035,poa_irradiance_wm2,4883,682.4463458976873,284.1661184785313,1022.5766310310714,738.4105125525401,True,
PS_035,wind_speed_ms,4883,3.0748794259186107,2.3749722094867476,3.8059003350021676,1.43092812551542,True,
PS_039,ambient_temperature_celsius,3952,27.67785502409607,24.468059849240298,30.246071392073087,5.77801154283279,True,
PS_039,ghi_irradiance_wm2,3952,470.4969243307928,214.90041419397363,793.3646663528162,578.4642521588426,True,
PS_039,gri_irradiance_wm2,3952,52.59623490696218,28.87298648511866,67.40964898618205,38.53666250106339,True,
PS_039,panel_temperature_celsius,3952,42.31948033877734,31.216453675191325,49.99526870937716,18.778815034185833,True,
PS_039,poa_irradiance_wm2,3952,601.2235781902496,226.05761729568215,943.6361532855223,717.5785359898401,True,
PS_039,wind_speed_ms,3952,2.0540236537115435,1.2904910454510263,2.811327824726906,1.5208367792758795,True,
PS_042,ambient_temperature_celsius,2455,29.54307384104285,26.4466660508283,31.562351779225693,5.115685728397395,True,
PS_042,ghi_irradiance_wm2,2455,481.5199448908216,243.445929961904,773.6130125086531,530.1670825467492,True,
PS_042,gri_irradiance_wm2,2455,69.88183216261689,46.62176216313429,83.59642681719112,36.974664654056824,True,
PS_042,panel_temperature_celsius,2455,42.692459024497246,33.16474071837605,49.320456837925335,16.155716119549282,True,
PS_042,poa_irradiance_wm2,2455,658.4252821015361,310.64540958411715,926.41494231138,615.7695327272628,True,
PS_042,wind_speed_ms,2455,1.7107631309963278,1.0557391175607718,2.4481186660815375,1.3923795485207657,True,
PS_043,ambient_temperature_celsius,2370,30.49791162703761,27.13006946172946,32.95565150112331,5.825582039393854,True,
PS_043,ghi_irradiance_wm2,2370,523.8804685922345,260.4162127095707,815.6369652800706,555.2207525704999,True,
PS_043,gri_irradiance_wm2,2370,89.32328351252914,58.19781784336282,116.44967213317504,58.25185428981222,True,
PS_043,panel_temperature_celsius,2370,39.80401938502459,31.694180040438862,46.7825863996018,15.088406359162935,True,
PS_043,poa_irradiance_wm2,2370,679.2473239406027,322.71216705182724,945.2652229423852,622.553055890558,True,
PS_043,wind_speed_ms,2370,1.6209976130114652,0.9593863589234811,2.324066484174806,1.3646801252513252,True,
PS_044,ambient_temperature_celsius,2503,28.949442318083836,26.102841532879083,31.27263135282365,5.169789819944569,True,
PS_044,ghi_irradiance_wm2,2503,506.4101578169047,255.56163038412794,794.559058262301,538.9974278781731,True,
PS_044,gri_irradiance_wm2,2503,52.63537364287589,34.778830392075704,67.50565449284817,32.72682410077246,True,
PS_044,panel_temperature_celsius,2503,44.698522273951575,33.71290133019407,50.671185666170146,16.958284335976074,True,
PS_044,poa_irradiance_wm2,2503,716.5898828782791,335.21269552371837,944.7718912506876,609.5591957269693,True,
PS_044,wind_speed_ms,2503,1.4219527476226295,0.7510692258470029,2.18303488838683,1.4319656625398272,True,
PS_045,ambient_temperature_celsius,2196,30.496496536551188,27.307800192821148,33.00092433987821,5.693124147057063,True,
PS_045,ghi_irradiance_wm2,2196,484.51322111515464,248.26562454784235,769.8049105634004,521.5392860155581,True,
PS_045,gri_irradiance_wm2,2196,40.11899570754635,28.889881765576444,47.8733464226976,18.983464657121157,True,
PS_045,panel_temperature_celsius,2196,41.8531376493234,33.489168223204096,48.19350623931294,14.704338016108842,True,
PS_045,poa_irradiance_wm2,2196,701.1111505253384,332.15714340628335,942.641906048182,610.4847626418987,True,
PS_045,wind_speed_ms,2196,2.466457644161238,1.8747606309678262,3.0653864298611797,1.1906257988933535,True,
PS_046,ambient_temperature_celsius,1710,31.396709506709247,28.035191599046787,33.3922307143459,5.357039115299113,True,
PS_046,ghi_irradiance_wm2,1710,540.3939598780433,257.0522717398287,830.1442781206255,573.0920063807968,True,
PS_046,gri_irradiance_wm2,1710,46.51629952607559,31.55772207860982,54.68221325941121,23.124491180801392,True,
PS_046,panel_temperature_celsius,1710,43.76088645200744,34.843658059228844,50.521561081370606,15.677903022141763,True,
PS_046,poa_irradiance_wm2,1710,690.5997506014807,322.9472503183239,932.809035112449,609.8617847941251,True,
