group_id,source_plant_id,target_plant_id,cs4_computable,reason,n_eligible_target_test,n_supported,support_retention,predictions_generated
TW_4467a039e00b,PS_050,PS_046,True,,570,536,0.9403508771929825,True
TW_4467a039e00b,PS_050,PS_047,True,,576,502,0.8715277777777778,True
TW_4467a039e00b,PS_050,PS_048,True,,739,156,0.21109607577807848,True
TW_4467a039e00b,PS_050,PS_049,True,,710,568,0.8,True
TW_4467a039e00b,PS_050,PS_051,True,,747,404,0.5408299866131191,True
TW_4467a039e00b,PS_051,PS_042,True,,819,201,0.2454212454212454,True
TW_4467a039e00b,PS_051,PS_043,True,,791,504,0.6371681415929203,True
TW_4467a039e00b,PS_051,PS_044,True,,835,179,0.21437125748502994,True
TW_4467a039e00b,PS_051,PS_045,True,,732,157,0.21448087431693988,True
TW_4467a039e00b,PS_051,PS_046,True,,570,185,0.32456140350877194,True
TW_4467a039e00b,PS_051,PS_047,True,,576,156,0.2708333333333333,True
TW_4467a039e00b,PS_051,PS_048,True,,739,83,0.11231393775372124,True
TW_4467a039e00b,PS_051,PS_049,True,,710,166,0.23380281690140844,True
TW_4467a039e00b,PS_051,PS_050,True,,841,133,0.1581450653983353,True
TW_88a108921af7,PS_035,PS_039,True,,1318,736,0.5584218512898331,True
TW_88a108921af7,PS_039,PS_035,True,,1628,673,0.4133906633906634,True
