group_id,source_plant_id,target_plant_id,model_family,analysis_role,support_rule,n_supported,n_supported_days,support_retention,transfer_mae,transfer_rmse,transfer_r2,transfer_bias,local_same_rows_mae,local_same_rows_rmse,local_same_rows_r2,local_same_rows_bias
TW_04b9f5d95694,PS_002,PS_003,HistGradientBoosting,r1_frozen_input,CS4,3199,88,0.9481327800829875,0.057448436163964695,0.12291814814024486,0.8260116180439656,0.018260674443041757,0.05476622366159265,0.12008746868585214,0.833932895705941,0.01261356091704122
TW_04b9f5d95694,PS_002,PS_003,SplineRidge,primary,CS4,3199,88,0.9481327800829875,0.05712021276954138,0.11660977483498579,0.8434121195700005,0.0027249032115379073,0.056163241024364804,0.1156426991531751,0.8459985990871913,0.0013019942572625703
TW_04b9f5d95694,PS_003,PS_002,HistGradientBoosting,r1_frozen_input,CS4,3337,92,0.9461298554011908,0.06570204061019083,0.1445719672825482,0.7691385006490751,0.020134525516665284,0.06532657401812048,0.1469895349134324,0.7613528996730126,0.026564883684919743
TW_04b9f5d95694,PS_003,PS_002,SplineRidge,primary,CS4,3337,92,0.9461298554011908,0.06741297343141281,0.14042415507463513,0.7821954394002363,0.00827401510057277,0.06621317088237562,0.1400130385257111,0.7834688952764705,0.0104499849144232
TW_4467a039e00b,PS_042,PS_043,HistGradientBoosting,r1_frozen_input,CS4,614,20,0.7762326169405815,0.06446816851543244,0.10486777306042495,0.8817313788769814,-0.014504597961844551,0.08898412644437603,0.12519923738912236,0.8314266919614227,-0.04068131537414999
TW_4467a039e00b,PS_042,PS_043,SplineRidge,primary,CS4,614,20,0.7762326169405815,0.06785118684462539,0.10562870458585713,0.8800088129493989,-0.027178548220569615,0.08490617237456732,0.11647992701889465,0.8540891383665257,-0.035939327814936105
TW_4467a039e00b,PS_042,PS_044,HistGradientBoosting,r1_frozen_input,CS4,405,21,0.48502994011976047,0.08144638601859407,0.11141467012730219,0.8712150035574145,-0.0076315261565715106,0.07772355546979366,0.11121701791659296,0.8716715333961438,-0.03398657404834357
TW_4467a039e00b,PS_042,PS_044,SplineRidge,primary,CS4,405,21,0.48502994011976047,0.08809958786039605,0.11458930768241227,0.863771271270812,-0.02116583095090602,0.07682481032978787,0.10521423137463737,0.8851504001242212,-0.0356131664952168
TW_4467a039e00b,PS_042,PS_045,HistGradientBoosting,r1_frozen_input,CS4,195,19,0.26639344262295084,0.059120654589628646,0.09665155776764817,0.862898965956798,0.0037100071335931586,0.0519213683247423,0.09860944563888187,0.8572881458210864,0.020051682711257714
TW_4467a039e00b,PS_042,PS_045,SplineRidge,primary,CS4,195,19,0.26639344262295084,0.05652545741052544,0.09526424273472608,0.8668065545960686,-0.0031963832383280597,0.06505029188249507,0.10630602778872539,0.834141094364083,0.019108671867265503
