control_id,state,n_rq3_targets_executable,n_target_control_cells,mean_target_control_contrast,min_target_control_contrast,max_target_control_contrast,is_primary_matched_control
PS_001,SP,2,2,-0.010678515011481801,-0.014838413973012755,-0.006518616049950847,False
PS_005,GO,6,6,0.037319821906811594,0.015169632590129342,0.06788980253415011,True
PS_007,RJ,2,2,0.02970172406527209,0.026171642798493336,0.03323180533205084,True
PS_008,SP,2,2,-0.010662591799153867,-0.021236868572330925,-8.831502597680951e-05,True
PS_009,SP,2,2,-0.004984872499839144,-0.008279611667910927,-0.00169013333176736,False
PS_010,SP,2,2,0.07704469022341874,0.05835895906075161,0.09573042138608587,False
PS_011,SP,2,2,0.020827928138093574,0.008592134576833804,0.03306372169935334,False
PS_012,GO,6,6,0.06757745629901228,0.029241321189855236,0.09469673151319206,False
PS_013,SP,2,2,-0.004456854807966745,-0.01597179343314868,0.007058083817215191,False
PS_036,SP,2,2,-0.0031614032048545813,-0.012948079295127264,0.0066252728854181014,False
PS_037,RJ,2,2,0.023324630612686338,0.020624788351766912,0.026024472873605764,False
PS_038,SP,2,2,0.006680450453197099,0.0028030614339729296,0.010557839472421268,False
