plant_id,n_train_finite,iqr_valid,iqr_invalid_features,median_poa_irradiance_wm2,iqr_poa_irradiance_wm2,median_ghi_irradiance_wm2,iqr_ghi_irradiance_wm2,median_gri_irradiance_wm2,iqr_gri_irradiance_wm2,median_panel_temperature_celsius,iqr_panel_temperature_celsius,median_ambient_temperature_celsius,iqr_ambient_temperature_celsius,median_wind_speed_ms,iqr_wind_speed_ms
PS_002,10578,True,,465.3543604473103,526.2262692730797,415.2016704415872,448.05661078054857,46.22900385603738,48.9644386387779,35.56983640564621,16.182551220816336,24.872319545450875,5.984873997626693,2.7463382733892425,2.1529034246299377
PS_003,10119,True,,467.72878744531926,524.8965781824479,418.37779740031533,449.9785034296258,46.00230335084585,49.1074119839402,35.782242295626254,16.078827655792242,25.036423104386238,5.935414947293882,2.785568801831316,2.0979047537019446
PS_035,4883,True,,682.4463458976873,738.4105125525401,506.7322236293366,611.0768535182335,32.69672141918805,19.717569280137976,43.40355832661863,18.983252565280615,28.615363298106942,6.272266255929544,3.0748794259186107,1.43092812551542
PS_039,3952,True,,601.2235781902496,717.5785359898401,470.4969243307928,578.4642521588426,52.59623490696218,38.53666250106339,42.31948033877734,18.778815034185833,27.67785502409607,5.77801154283279,2.0540236537115435,1.5208367792758795
PS_042,2455,True,,658.4252821015361,615.7695327272628,481.5199448908216,530.1670825467492,69.88183216261689,36.974664654056824,42.692459024497246,16.155716119549282,29.54307384104285,5.115685728397395,1.7107631309963278,1.3923795485207657
PS_043,2370,True,,679.2473239406027,622.553055890558,523.8804685922345,555.2207525704999,89.32328351252914,58.25185428981222,39.80401938502459,15.088406359162935,30.49791162703761,5.825582039393854,1.6209976130114652,1.3646801252513252
PS_044,2503,True,,716.5898828782791,609.5591957269693,506.4101578169047,538.9974278781731,52.63537364287589,32.72682410077246,44.698522273951575,16.958284335976074,28.949442318083836,5.169789819944569,1.4219527476226295,1.4319656625398272
PS_045,2196,True,,701.1111505253384,610.4847626418987,484.51322111515464,521.5392860155581,40.11899570754635,18.983464657121157,41.8531376493234,14.704338016108842,30.496496536551188,5.693124147057063,2.466457644161238,1.1906257988933535
PS_046,1710,True,,690.5997506014807,609.8617847941251,540.3939598780433,573.0920063807968,46.51629952607559,23.124491180801392,43.76088645200744,15.677903022141763,31.396709506709247,5.357039115299113,2.671047873018364,1.7355856001427004
PS_047,1725,True,,624.7421839452988,691.9648161501516,478.04011538086684,584.7849254729404,46.10717152779026,26.405140090490075,43.23536368079272,18.578297269774044,28.933067519466192,5.100369904906106,2.2609993278522236,1.7558751429170258
PS_048,2215,False,wind_speed_ms,622.5420622140032,637.4367905382908,486.32586713105127,546.2067502170571,49.9432644343277,30.80279207429887,37.3542314185177,12.701749477201922,30.638456362864552,4.604217532188162,0.0,0.0
PS_049,2129,True,,712.6469849061122,609.6942669051055,509.3518147068684,538.0486690472304,45.57852567364567,25.665375365322973,36.309440494132865,13.386929235318767,28.593941708819617,5.232406340033002,2.260649491834676,1.4504172289348662
PS_050,2521,True,,621.7640594033865,617.7943960414196,504.77403189025705,538.4719696955794,46.97816972777803,31.17744180817394,40.62241123357779,15.684234611633663,28.09011291928574,4.661909461208488,2.482032435159057,1.7949365756904962
PS_051,2239,True,,762.8751601263392,708.7779342475936,474.94948857676013,580.1215086006813,90.15627598106963,74.02480622127788,43.93968610819551,13.024218995613872,32.37384319937435,6.43824336406351,2.42978951505017,1.4373902020626628
