target_plant_id,group_id,n_directions,mean_ed_supported,mean_mmd2_supported,mean_otg_abs,mean_support_retention
PS_002,TW_04b9f5d95694,1,0.06194057851332069,0.017310558256383057,0.0011998025490371905,0.9461298554011908
PS_003,TW_04b9f5d95694,1,0.07282458254084645,0.01998846182054459,0.0009569717451765741,0.9481327800829875
PS_035,TW_88a108921af7,1,0.43699304927950533,0.12432677449652951,-0.0045877041055881335,0.4133906633906634
PS_039,TW_88a108921af7,1,0.5644816710566742,0.1462667291070967,-0.013253571979140621,0.5584218512898331
PS_042,TW_4467a039e00b,8,0.31079549424513186,0.07997615541376454,0.012761083210492647,0.5671550671550671
PS_043,TW_4467a039e00b,8,0.28230880869276825,0.07209857899992539,0.002231227952051721,0.5006321112515802
PS_044,TW_4467a039e00b,8,0.39144089974968166,0.10095060228148375,0.02836758949423807,0.5251497005988024
PS_045,TW_4467a039e00b,8,0.46018682113016085,0.11891112884431329,0.01639054528517678,0.5305669398907104
PS_046,TW_4467a039e00b,8,0.42621118582198136,0.11512199637529147,0.011050316575340058,0.6800438596491228
PS_047,TW_4467a039e00b,8,0.6654114340260213,0.17912869269545403,-0.009694196502888719,0.5442708333333333
PS_048,TW_4467a039e00b,9,2.1496837008793186,0.5412783196692502,0.017297904017631684,0.21214854909036238
PS_049,TW_4467a039e00b,8,0.6075181864358545,0.16685438498697114,0.017600531462009506,0.5049295774647887
PS_050,TW_4467a039e00b,8,0.6667460623831537,0.18026165910978986,0.019563010119705636,0.45065398335315104
PS_051,TW_4467a039e00b,8,0.2317462016273085,0.0605327418647556,0.036246958185756586,0.4687081659973226
