group_id,plant_a,plant_b,ed_supported_a_to_b,ed_supported_b_to_a,mmd2_supported_a_to_b,mmd2_supported_b_to_a,a_ed,a_mmd,a_otg,abs_a_ed,abs_a_mmd,abs_a_otg
TW_04b9f5d95694,PS_002,PS_003,0.07282458254084645,0.06194057851332069,0.01998846182054459,0.017310558256383057,0.010884004027525762,0.0026779035641615323,-0.0002428308038606164,0.010884004027525762,0.0026779035641615323,0.0002428308038606164
TW_4467a039e00b,PS_042,PS_043,0.05478549324101567,0.5584922742924487,0.014587672502685667,0.1483045703480772,-0.5037067810514331,-0.13371689784539154,-0.03987884352876844,0.5037067810514331,0.13371689784539154,0.03987884352876844
TW_4467a039e00b,PS_042,PS_044,0.2026844914839343,0.13725214632877725,0.05158348101356558,0.03546463754675089,0.06543234515515706,0.016118843466814692,0.010645168809641309,0.06543234515515706,0.016118843466814692,0.010645168809641309
TW_4467a039e00b,PS_042,PS_045,0.7529749350447954,0.32044751604492094,0.1923936824047625,0.07697763712974792,0.43252741899987446,0.11541604527501459,-0.010017822598078076,0.43252741899987446,0.11541604527501459,0.010017822598078076
TW_4467a039e00b,PS_042,PS_046,0.47355358553730587,0.27907090376232646,0.12750698888978107,0.06844958391653466,0.1944826817749794,0.05905740497324641,0.005744022462605795,0.1944826817749794,0.05905740497324641,0.005744022462605795
TW_4467a039e00b,PS_042,PS_047,1.0550259555094113,0.14038781101223896,0.28529452471180017,0.035583181207050174,0.9146381444971723,0.24971134350475,-0.12177200591372062,0.9146381444971723,0.24971134350475,0.12177200591372062
TW_4467a039e00b,PS_042,PS_049,0.8520684509142269,0.13795893104905343,0.2385433831963788,0.030989471432295135,0.7141095198651735,0.20755391176408367,0.006653699041691594,0.7141095198651735,0.20755391176408367,0.006653699041691594
TW_4467a039e00b,PS_042,PS_050,0.8925852679783048,0.13918687315665546,0.24103820304788792,0.03246234951407101,0.7533983948216494,0.2085758535338169,0.015561813359096427,0.7533983948216494,0.2085758535338169,0.015561813359096427
TW_4467a039e00b,PS_042,PS_051,0.1057439546854424,0.7735674983146337,0.029406096270923054,0.21157781221558936,-0.6678235436291913,-0.1821717159446663,0.03558783929044759,0.6678235436291913,0.1821717159446663,0.03558783929044759
TW_4467a039e00b,PS_043,PS_044,0.4061901788062068,0.16832757341417448,0.10405711810846197,0.0417380647844956,0.2378626053920323,0.06231905332396637,0.04249561911766181,0.2378626053920323,0.06231905332396637,0.04249561911766181
