tercile,ed_cut_low,ed_cut_high,n_directions,n_targets,median_ed_supported,median_otg,p75_otg,plant_balanced_otg,median_support_retention
LOW,,0.22450173240414117,28,11,0.1416049662874872,0.00415361734431351,0.029813829599712155,0.02103204358080332,0.7301110347985349
MID,0.22450173240414117,0.5033338240577536,28,10,0.3210774339897454,0.004968986741254542,0.01173324149224501,0.007676625446982654,0.5603441005313317
HIGH,0.5033338240577536,,29,10,1.137071232857387,0.00927519189125213,0.014229621346581393,0.007619344170000222,0.21921515561569688
