group_id,source_plant_id,target_plant_id,otg_abs,otg_rel,support_retention,n_source_train,n_target_test_full,n_target_test_supported,scaler_plant_id,n_source_sampled,n_full_sampled,n_supported_sampled,source_capped,full_capped,supported_capped,source_seed,full_seed,supported_seed,ed_full,ed_supported,ed_removed,mmd2_full,mmd2_supported,mmd2_removed,sigma_source,source_sample_id,full_sample_id,cap1024_n_source_sampled,cap1024_n_full_sampled,cap1024_n_supported_sampled,cap1024_source_capped,cap1024_full_capped,cap1024_supported_capped,cap1024_source_seed,cap1024_full_seed,cap1024_supported_seed,cap1024_ed_full,cap1024_ed_supported,cap1024_ed_removed,cap1024_mmd2_full,cap1024_mmd2_supported,cap1024_mmd2_removed,cap1024_sigma_source,cap1024_source_sample_id,cap1024_full_sample_id
TW_4467a039e00b,PS_042,PS_051,0.02785151845552622,0.4205276230157856,0.7161981258366801,2455,747,535,PS_042,2048,747,535,True,False,False,1216018867,3343816573,1826235439,0.17414023458686767,0.1057439546854424,0.06839627990142527,0.04762119222658279,0.029406096270923054,0.018215095955659732,1.8889887894487947,2025-02-28T15:15:00Z|2025-02-28T15:30:00Z|2025-02-28T15:45:00Z|2,2025-05-22T19:00:00Z|2025-05-22T19:15:00Z|2025-05-22T19:30:00Z|2,1024,747,535,True,False,False,1676497552,1760918325,3346419666,0.1632106848681274,0.09406339516777895,0.06914728970034845,0.04493625889581665,0.026159896530742133,0.018776362365074517,1.868902406088975,2025-02-28T15:15:00Z|2025-02-28T16:45:00Z|2025-02-28T17:00:00Z|2,2025-05-22T19:00:00Z|2025-05-22T19:15:00Z|2025-05-22T19:30:00Z|2
TW_4467a039e00b,PS_043,PS_042,0.02282385799882651,0.4530435446190152,0.2576312576312576,2370,819,211,PS_043,2048,819,211,True,False,False,772519767,2553957614,3181486810,0.5536395197443837,0.5584922742924487,-0.004852754548064997,0.13332074086014378,0.1483045703480772,-0.01498382948793342,1.8635010990324585,2025-02-28T14:45:00Z|2025-02-28T15:00:00Z|2025-02-28T15:30:00Z|2,2025-05-20T10:30:00Z|2025-05-20T10:45:00Z|2025-05-20T11:00:00Z|2,1024,819,211,True,False,False,2833055443,850348081,851376659,0.5372207238263751,0.5429084236199249,-0.005687699793549772,0.12811890801655212,0.14274492345394485,-0.014626015437392725,1.892324414468938,2025-02-28T15:45:00Z|2025-02-28T16:00:00Z|2025-02-28T16:30:00Z|2,2025-05-20T10:30:00Z|2025-05-20T10:45:00Z|2025-05-20T11:00:00Z|2
TW_4467a039e00b,PS_043,PS_044,0.04522445857300775,0.608862674749775,0.2634730538922156,2370,835,220,PS_043,2048,835,220,True,False,False,772519767,30750967,3525064597,0.5734709653765595,0.4061901788062068,0.16728078657035272,0.14761232736391228,0.10405711810846197,0.04355520925545031,1.8635010990324585,2025-02-28T14:45:00Z|2025-02-28T15:00:00Z|2025-02-28T15:30:00Z|2,2025-05-20T10:45:00Z|2025-05-20T11:00:00Z|2025-05-20T11:15:00Z|2,1024,835,220,True,False,False,2833055443,2814160984,1629055974,0.5552340021002928,0.395334889352533,0.1598991127477598,0.1413787928962269,0.09998698062820188,0.04139181226802502,1.892324414468938,2025-02-28T15:45:00Z|2025-02-28T16:00:00Z|2025-02-28T16:30:00Z|2,2025-05-20T10:45:00Z|2025-05-20T11:00:00Z|2025-05-20T11:15:00Z|2
TW_4467a039e00b,PS_043,PS_045,0.015195240447891868,0.27891586500159843,0.20218579234972678,2370,732,148,PS_043,2048,732,148,True,False,False,772519767,1176834684,1451654243,0.7315887977348301,0.983315031339248,-0.2517262336044179,0.18980153368932207,0.2647944878482513,-0.07499295415892926,1.8635010990324585,2025-02-28T14:45:00Z|2025-02-28T15:00:00Z|2025-02-28T15:30:00Z|2,2025-05-21T20:00:00Z|2025-05-21T20:15:00Z|2025-05-21T20:30:00Z|2,1024,732,148,True,False,False,2833055443,1450227976,4128443252,0.717771600585825,0.9680786327656332,-0.2503070321798082,0.18452228167268414,0.25795556964892596,-0.07343328797624182,1.892324414468938,2025-02-28T15:45:00Z|2025-02-28T16:00:00Z|2025-02-28T16:30:00Z|2,2025-05-21T20:00:00Z|2025-05-21T20:15:00Z|2025-05-21T20:30:00Z|2
TW_4467a039e00b,PS_043,PS_046,0.014229621346581393,0.23464767941625653,0.2614035087719298,2370,570,149,PS_043,2048,570,149,True,False,False,772519767,3568936232,273065572,0.6491283079914618,0.9717221159189051,-0.3225938079274433,0.17870591259429847,0.2668519985265658,-0.08814608593226736,1.8635010990324585,2025-02-28T14:45:00Z|2025-02-28T15:00:00Z|2025-02-28T15:30:00Z|2,2025-04-24T13:00:00Z|2025-04-24T13:15:00Z|2025-04-24T13:30:00Z|2,1024,570,149,True,False,False,2833055443,3134345206,3595124990,0.6384203023417001,0.9514595785868039,-0.31303927624510375,0.17407712496074002,0.2584711630170944,-0.08439403805635437,1.892324414468938,2025-02-28T15:45:00Z|2025-02-28T16:00:00Z|2025-02-28T16:30:00Z|2,2025-04-24T13:00:00Z|2025-04-24T13:15:00Z|2025-04-24T13:30:00Z|2
TW_4467a039e00b,PS_043,PS_047,0.03048558545326155,0.6192674162863256,0.1684027777777778,2370,576,97,PS_043,2048,576,97,True,False,False,772519767,2813817335,3716166820,0.9137576445608411,1.4715970593232137,-0.5578394147623726,0.2469090439160616,0.4020891791299709,-0.15518013521390928,1.8635010990324585,2025-02-28T14:45:00Z|2025-02-28T15:00:00Z|2025-02-28T15:30:00Z|2,2025-04-27T17:30:00Z|2025-04-27T17:45:00Z|2025-04-27T18:00:00Z|2,1024,576,97,True,False,False,2833055443,4109118157,3640387691,0.90251837693109,1.4417746691684143,-0.5392562922373243,0.2416160497575358,0.3894669361469566,-0.1478508863894208,1.892324414468938,2025-02-28T15:45:00Z|2025-02-28T16:00:00Z|2025-02-28T16:30:00Z|2,2025-04-27T17:30:00Z|2025-04-27T17:45:00Z|2025-04-27T18:00:00Z|2
TW_4467a039e00b,PS_043,PS_048,0.013820111613068065,0.5092852090126324,0.2083897158322057,2370,739,154,PS_043,2048,739,154,True,False,False,772519767,1508765486,975003349,1.3225609588500922,2.2082516426751364,-0.8856906838250442,0.36887743281342567,0.5824835580897808,-0.21360612527635514,1.8635010990324585,2025-02-28T14:45:00Z|2025-02-28T15:00:00Z|2025-02-28T15:30:00Z|2,2025-05-23T14:45:00Z|2025-05-23T15:00:00Z|2025-05-23T15:15:00Z|2,1024,739,154,True,False,False,2833055443,2235931984,2569377577,1.3037549300218967,2.1610029075995807,-0.857247977577684,0.35755543155187564,0.5622262319438722,-0.2046708003919966,1.892324414468938,2025-02-28T15:45:00Z|2025-02-28T16:00:00Z|2025-02-28T16:30:00Z|2,2025-05-23T14:45:00Z|2025-05-23T15:00:00Z|2025-05-23T15:15:00Z|2
TW_4467a039e00b,PS_043,PS_049,0.009391758907144818,0.1476729473248694,0.14788732394366197,2370,710,105,PS_043,2048,710,105,True,False,False,772519767,562688539,4077499727,0.9790901732683015,1.1963095087795104,-0.21721933551120887,0.26345644613535746,0.3317448202173374,-0.06828837408197996,1.8635010990324585,2025-02-28T14:45:00Z|2025-02-28T15:00:00Z|2025-02-28T15:30:00Z|2,2025-05-23T11:30:00Z|2025-05-23T11:45:00Z|2025-05-23T12:00:00Z|2,1024,710,105,True,False,False,2833055443,2979928853,3984948856,0.962981735080888,1.1727352739364312,-0.20975353885554315,0.25689075003540573,0.3211382941547063,-0.06424754411930056,1.892324414468938,2025-02-28T15:45:00Z|2025-02-28T16:00:00Z|2025-02-28T16:30:00Z|2,2025-05-23T11:30:00Z|2025-05-23T11:45:00Z|2025-05-23T12:00:00Z|2
TW_4467a039e00b,PS_043,PS_050,0.01803926876567121,0.3357709066842127,0.08204518430439953,2370,841,69,PS_043,2048,841,69,True,False,False,772519767,1676574427,2657424853,1.0178361067395862,1.5150715338494418,-0.4972354271098556,0.2707714823945008,0.4098499057570735,-0.1390784233625727,1.8635010990324585,2025-02-28T14:45:00Z|2025-02-28T15:00:00Z|2025-02-28T15:30:00Z|2,2025-05-20T13:00:00Z|2025-05-20T13:15:00Z|2025-05-20T13:30:00Z|2,1024,841,69,True,False,False,2833055443,4026172487,44177784,1.0025066381565797,1.4837963701577745,-0.48128973200119485,0.2642996216848955,0.39658977739236523,-0.13229015570746971,1.892324414468938,2025-02-28T15:45:00Z|2025-02-28T16:00:00Z|2025-02-28T16:30:00Z|2,2025-05-20T13:00:00Z|2025-05-20T13:15:00Z|2025-05-20T13:30:00Z|2
TW_4467a039e00b,PS_043,PS_051,0.03570076303226996,0.47104974259283355,0.5502008032128514,2370,747,411,PS_043,2048,747,411,True,False,False,772519767,3343816573,1597663538,0.31071448570458426,0.18031733556898888,0.13039715013559539,0.0869022073845167,0.05097188921258744,0.035930318171929265,1.8635010990324585,2025-02-28T14:45:00Z|2025-02-28T15:00:00Z|2025-02-28T15:30:00Z|2,2025-05-22T19:00:00Z|2025-05-22T19:15:00Z|2025-05-22T19:30:00Z|2,1024,747,411,True,False,False,2833055443,1760918325,4189667835,0.31314145141855865,0.18764207150626722,0.12549937991229143,0.08688636083699319,0.05261070511674504,0.034275655720248155,1.892324414468938,2025-02-28T15:45:00Z|2025-02-28T16:00:00Z|2025-02-28T16:30:00Z|2,2025-05-22T19:00:00Z|2025-05-22T19:15:00Z|2025-05-22T19:30:00Z|2
