group_id,source_plant_id,target_plant_id,computable,n_validation_supported,n_test_supported,offset_eligible,affine_eligible,affine_reason,delta,a,b,otg_0,otg_1,otg_2,delta_otg_offset,delta_otg_affine,transfer_mae_0,transfer_mae_1,transfer_mae_2,local_mae,mbe_0,mbe_1,mbe_2,centered_mae_0,centered_mae_1,support_retention,primary_otg
TW_04b9f5d95694,PS_002,PS_003,True,2401,3199,True,True,,-0.027440514381220138,0.0023536616423079793,0.9434935724880746,0.0009569717451765741,0.01438801756259056,0.01240751118557791,-0.013431045817413986,-0.011450539440401336,0.05712021276954138,0.07055125858695536,0.06857075220994271,0.056163241024364804,0.0027249032115379073,-0.024715611169682235,-0.023965386945459136,0.05784850479905796,0.05784850479905796,0.9481327800829875,0.0009569717451765741
TW_04b9f5d95694,PS_003,PS_002,True,2607,3337,True,True,,-0.0030277823950876823,-0.0015172811712791056,0.996997796825524,0.0011998025490371905,0.0018748739101837608,0.0018654827989903477,-0.0006750713611465703,-0.0006656802499531572,0.06741297343141281,0.06808804479255938,0.06807865368136597,0.06621317088237562,0.00827401510057277,0.005246232705485072,0.005197015469517028,0.06969044667123998,0.06969044667123998,0.9461298554011908,0.0011998025490371905
TW_4467a039e00b,PS_042,PS_043,True,560,614,True,True,,0.027402493349015244,0.0019794170656441045,1.0399376985208633,-0.017054985529941932,-0.0221874343070326,-0.024947502828822653,0.005132448777090667,0.00789251729888072,0.06785118684462539,0.06271873806753472,0.05995866954574467,0.08490617237456732,-0.027178548220569615,0.00022394512844561742,0.001280962998119339,0.06271666617862041,0.06271666617862041,0.7762326169405815,-0.017054985529941932
TW_4467a039e00b,PS_042,PS_044,True,445,405,True,True,,0.016479863899643458,-0.03611314628520398,1.0830367583357732,0.011274777530608182,0.0062957615639631925,-0.001957542571430021,0.00497901596664499,0.013232320102038203,0.08809958786039605,0.08312057189375106,0.07486726775835785,0.07682481032978787,-0.02116583095090602,-0.0046859670512625256,-0.0034179735644907596,0.08202449355575567,0.08202449355575567,0.48502994011976047,0.011274777530608182
TW_4467a039e00b,PS_042,PS_045,True,205,195,True,True,,0.005295446832682589,0.0010110508799715217,1.0102548292764904,-0.008524834471969632,-0.009370165419568671,-0.009813370511750089,0.0008453309475990392,0.0012885360397804566,0.05652545741052544,0.0556801264629264,0.055236921370744985,0.06505029188249507,-0.0031963832383280597,0.0020990635943545243,0.0016517127526425813,0.0559156287499755,0.0559156287499755,0.26639344262295084,-0.008524834471969632
TW_4467a039e00b,PS_042,PS_046,True,324,300,True,True,,0.0036499676859896206,0.005382303755374048,0.9958395394950234,-0.004843216533139363,-0.005321771661217181,-0.005228164470413077,0.00047855512807781775,0.00038494793727371357,0.06367957148815513,0.06320101636007731,0.06329462355088142,0.0685227880212945,-0.008958411597549428,-0.005308443911559826,-0.0055461425265933674,0.06296498404449696,0.06296498404449696,0.5263157894736842,-0.004843216533139363
TW_4467a039e00b,PS_042,PS_047,True,293,171,True,True,,-0.0736453895801198,0.010306996291186407,0.7849676983936873,-0.0035371479670893505,0.0045644035522118265,-0.002954644197425131,-0.008101551519301177,-0.0005825037696642194,0.059840523596807214,0.06794207511610839,0.060423027366471434,0.06337767156389656,0.0318717645995813,-0.0417736249805385,-0.03487162882551832,0.0548650965349077,0.05486509653490771,0.296875,-0.0035371479670893505
TW_4467a039e00b,PS_042,PS_048,True,141,167,True,True,,0.02825850049968009,0.02138124194996196,1.0205259870807784,0.000123874310040753,0.009671950769534879,0.00914358029952251,-0.009548076459494126,-0.009019705989481756,0.0316825504910523,0.041230626950546426,0.040702256480534056,0.03155867618101155,-0.0033491294386034016,0.024909371061076678,0.024650022295083434,0.03127275133653346,0.03127275133653346,0.2259810554803789,0.000123874310040753
TW_4467a039e00b,PS_042,PS_049,True,123,145,True,True,,0.032865195704410266,0.013306452088646538,1.050379411860019,-0.002884754831913139,0.002913968419158322,0.0008753268990531471,-0.005798723251071461,-0.003760081730966286,0.07559855600449836,0.08139727925556982,0.07935863773546464,0.0784833108364115,-0.010362458976769686,0.02250273672764058,0.023687942562594322,0.07510911783651653,0.07510911783651653,0.20422535211267606,-0.002884754831913139
TW_4467a039e00b,PS_042,PS_050,True,119,124,True,True,,0.04517892004557584,0.029673222478725884,1.0417755247186529,0.002331179954775754,0.008623185498286716,0.008185990451390089,-0.006292005543510962,-0.005854810496614335,0.06071314448028148,0.06700515002379244,0.06656795497689581,0.058381964525505724,-0.026321977734250677,0.018856942311325176,0.019683550974576226,0.06169854563989025,0.06169854563989025,0.14744351961950058,0.002331179954775754
