group_id,source_plant_id,target_plant_id,n_validation,offset_eligible,affine_eligible,affine_reason,delta,a,b,extreme_finite_slope
TW_04b9f5d95694,PS_002,PS_003,2401,True,True,,-0.027440514381220138,0.0023536616423079793,0.9434935724880746,False
TW_04b9f5d95694,PS_003,PS_002,2607,True,True,,-0.0030277823950876823,-0.0015172811712791056,0.996997796825524,False
TW_4467a039e00b,PS_042,PS_043,560,True,True,,0.027402493349015244,0.0019794170656441045,1.0399376985208633,False
TW_4467a039e00b,PS_042,PS_044,445,True,True,,0.016479863899643458,-0.03611314628520398,1.0830367583357732,False
TW_4467a039e00b,PS_042,PS_045,205,True,True,,0.005295446832682589,0.0010110508799715217,1.0102548292764904,False
TW_4467a039e00b,PS_042,PS_046,324,True,True,,0.0036499676859896206,0.005382303755374048,0.9958395394950234,False
TW_4467a039e00b,PS_042,PS_047,293,True,True,,-0.0736453895801198,0.010306996291186407,0.7849676983936873,False
TW_4467a039e00b,PS_042,PS_048,141,True,True,,0.02825850049968009,0.02138124194996196,1.0205259870807784,False
TW_4467a039e00b,PS_042,PS_049,123,True,True,,0.032865195704410266,0.013306452088646538,1.050379411860019,False
TW_4467a039e00b,PS_042,PS_050,119,True,True,,0.04517892004557584,0.029673222478725884,1.0417755247186529,False
TW_4467a039e00b,PS_042,PS_051,519,True,True,,0.026335120220289176,-0.008722905548865753,1.0668418074115111,False
TW_4467a039e00b,PS_043,PS_042,452,True,True,,0.05670373416590881,0.00890338499778465,1.088033018789648,False
TW_4467a039e00b,PS_043,PS_044,237,True,True,,0.00019645909842626829,-0.11749356181656158,1.2048115428796478,False
TW_4467a039e00b,PS_043,PS_045,148,True,True,,-0.037147311226856494,-0.04964032410631245,1.0373114463593003,False
TW_4467a039e00b,PS_043,PS_046,226,True,True,,-0.035159768576828926,-0.06598377530791587,1.0909990343856035,False
TW_4467a039e00b,PS_043,PS_047,194,True,True,,-0.09518850241872648,-0.039499466219849295,0.8372303556894906,False
TW_4467a039e00b,PS_043,PS_048,128,True,True,,0.006992946782902593,-0.03368223740247314,1.1344711917827235,False
TW_4467a039e00b,PS_043,PS_049,100,True,True,,0.0021713931829556742,-0.029674218620024423,1.0887806491523004,False
TW_4467a039e00b,PS_043,PS_050,73,True,True,,-0.026483670341972004,-0.05661223864950715,1.106171898222333,False
TW_4467a039e00b,PS_043,PS_051,394,True,True,,-0.022298287921197486,-0.1047325098788731,1.1387450239887131,False
TW_4467a039e00b,PS_044,PS_042,619,True,True,,0.05495861141597879,0.0726228596457625,0.9715849032552912,False
TW_4467a039e00b,PS_044,PS_043,363,True,True,,0.0682845790461766,0.07875250322168087,0.9808601490088472,False
TW_4467a039e00b,PS_044,PS_045,424,True,True,,0.0025980492834418944,0.04121129410498306,0.9402664228645935,False
TW_4467a039e00b,PS_044,PS_046,462,True,True,,-0.01818332451852644,-0.019429427715871715,1.0022015207830572,False
TW_4467a039e00b,PS_044,PS_047,461,True,True,,-0.1268456450155512,0.002348874239027733,0.7700661344139721,False
TW_4467a039e00b,PS_044,PS_048,241,True,True,,0.046251628437622753,0.05581772471542572,0.9778737033740296,False
TW_4467a039e00b,PS_044,PS_049,363,True,True,,0.030758938500232643,0.04909659047929366,0.9735438196139566,False
TW_4467a039e00b,PS_044,PS_050,454,True,True,,0.0036991422454156447,0.07889224979853576,0.898338821326036,False
TW_4467a039e00b,PS_044,PS_051,300,True,True,,0.04735472604930875,0.005885801517357518,1.0983778747710309,False
TW_4467a039e00b,PS_045,PS_042,495,True,True,,0.02815057683470995,-0.03160224955299065,1.0997186926999765,False
TW_4467a039e00b,PS_045,PS_043,213,True,True,,-0.01588992066877172,-0.03051527093691714,1.037991798736319,False
TW_4467a039e00b,PS_045,PS_044,507,True,True,,0.02023381102597676,-0.07637854438208802,1.1459300177515428,False
TW_4467a039e00b,PS_045,PS_046,490,True,True,,-0.000881185933123229,-0.03006091447001062,1.0535341609207847,False
TW_4467a039e00b,PS_045,PS_047,513,True,True,,-0.11970702228617613,-0.016304751480635007,0.8225650006774919,False
TW_4467a039e00b,PS_045,PS_048,120,True,True,,0.008772058808697596,-0.01159308803984756,1.0486660655276274,False
TW_4467a039e00b,PS_045,PS_049,518,True,True,,0.035334652318035197,0.010658790354349204,1.0335262990132816,False
TW_4467a039e00b,PS_045,PS_050,582,True,True,,0.0020144553138626456,-0.07192060455251803,1.0995395614303307,False
TW_4467a039e00b,PS_045,PS_051,319,True,True,,-0.02539902219116603,-0.10395706837778924,1.199896560255182,False
TW_4467a039e00b,PS_046,PS_042,546,True,True,,0.014781928012328955,0.020493989857291582,0.9913565547403306,False
TW_4467a039e00b,PS_046,PS_043,251,True,True,,-0.014807846380834181,0.040053972975299536,0.8953531459408668,False
TW_4467a039e00b,PS_046,PS_044,540,True,True,,0.007404349456606456,-0.04520539366334158,1.0738701081603916,False
TW_4467a039e00b,PS_046,PS_045,682,True,True,,-0.005941870313899721,-0.008486813472010192,1.003603360678215,False
TW_4467a039e00b,PS_046,PS_047,510,True,True,,-0.11913343064222541,-0.010438022921169198,0.8121000467642064,False
TW_4467a039e00b,PS_046,PS_048,84,True,True,,0.011957715863829987,0.08654533525351396,0.7738162592810991,False
TW_4467a039e00b,PS_046,PS_049,465,True,True,,0.0492483632461608,0.05964492919382178,0.9851761061989593,False
TW_4467a039e00b,PS_046,PS_050,588,True,True,,0.026820228753051435,0.056256592391873014,0.9592340789020962,False
TW_4467a039e00b,PS_046,PS_051,396,True,True,,-0.044994991462567094,-0.014752864782782356,0.9380446331443073,False
TW_4467a039e00b,PS_047,PS_042,617,True,True,,0.17360073869446815,0.03368477203602718,1.2895103060914586,False
TW_4467a039e00b,PS_047,PS_043,289,True,True,,0.11819199623727905,0.026145857571506514,1.2621219074413643,False
TW_4467a039e00b,PS_047,PS_044,615,True,True,,0.1818847311687452,-0.020260964257340117,1.384595911747601,False
TW_4467a039e00b,PS_047,PS_045,686,True,True,,0.16564566063299227,-0.017971982234487267,1.3448719212905755,False
TW_4467a039e00b,PS_047,PS_046,536,True,True,,0.11789524668253158,-0.015869580204945895,1.315157573199312,False
TW_4467a039e00b,PS_047,PS_048,101,True,True,,0.14385934179792612,0.051405965788995485,1.3223503686742801,False
TW_4467a039e00b,PS_047,PS_049,416,True,True,,0.19958169805512355,0.019144118293375485,1.346087181193938,False
TW_4467a039e00b,PS_047,PS_050,523,True,True,,0.17808588532640876,0.012495214936742549,1.308774672106816,False
TW_4467a039e00b,PS_047,PS_051,417,True,True,,0.09243381847456893,-0.028272234884486342,1.403222527536295,False
TW_4467a039e00b,PS_049,PS_042,647,True,True,,0.027809528176908835,0.02138602038009085,1.0101535221279738,False
TW_4467a039e00b,PS_049,PS_043,435,True,True,,-0.019558632961959775,-0.00613630991389028,0.9771278271631868,False
TW_4467a039e00b,PS_049,PS_044,672,True,True,,0.002794765991361784,-0.05124798600975926,1.0751820383276252,False
TW_4467a039e00b,PS_049,PS_045,664,True,True,,-0.021900900071986733,-0.04029313269826765,1.0255705556770716,False
TW_4467a039e00b,PS_049,PS_046,508,True,True,,-0.027617887798387527,-0.03471642479724997,1.0124261118709994,False
TW_4467a039e00b,PS_049,PS_047,499,True,True,,-0.14441475296998435,-0.019505727095009927,0.7858691400876858,False
TW_4467a039e00b,PS_049,PS_048,135,True,True,,-0.005005771693743492,-0.004178285766052971,0.9972673959749382,False
TW_4467a039e00b,PS_049,PS_050,593,True,True,,-0.017418471907650498,-0.030746137379708847,1.017983481555586,False
TW_4467a039e00b,PS_049,PS_051,416,True,True,,-0.04856312131339725,-0.05415741725671761,1.0122852362674082,False
TW_4467a039e00b,PS_050,PS_042,725,True,True,,0.04813536374239484,0.04694525100806971,1.0018669344960156,False
TW_4467a039e00b,PS_050,PS_043,447,True,True,,0.016007788498513826,-0.0012929699583060527,1.02927268025681,False
TW_4467a039e00b,PS_050,PS_044,699,True,True,,0.027796086084905056,-0.04615292072361101,1.1063143724637463,False
TW_4467a039e00b,PS_050,PS_045,691,True,True,,-0.009184801629932647,-0.03356412948039116,1.0346502678440495,False
TW_4467a039e00b,PS_050,PS_046,541,True,True,,-0.005986204061920957,-0.022301114120848384,1.0298582045796112,False
