group_id,source_plant_id,target_plant_id,mbe_transfer_0,mbe_transfer_1,mbe_transfer_2,abs_mbe_0,abs_mbe_1,centered_mae_0,centered_mae_1,centered_rmse_0,centered_rmse_1,local_mbe,local_centered_mae,otg_0,abs_mbe_transfer
TW_04b9f5d95694,PS_002,PS_003,0.0027249032115379073,-0.024715611169682235,-0.023965386945459136,0.0027249032115379073,0.024715611169682235,0.05784850479905796,0.05784850479905796,0.11657793311580814,0.11657793311580815,0.0013019942572625703,0.05659959371468209,0.0009569717451765741,0.0027249032115379073
TW_04b9f5d95694,PS_003,PS_002,0.00827401510057277,0.005246232705485072,0.005197015469517028,0.00827401510057277,0.005246232705485072,0.06969044667123998,0.06969044667123998,0.1401801840580211,0.1401801840580211,0.0104499849144232,0.06882888034919057,0.0011998025490371905,0.00827401510057277
TW_4467a039e00b,PS_042,PS_043,-0.027178548220569615,0.00022394512844561742,0.001280962998119339,0.027178548220569615,0.00022394512844561742,0.06271666617862041,0.06271666617862041,0.10207227708397833,0.10207227708397833,-0.035939327814936105,0.07584552886381955,-0.017054985529941932,0.027178548220569615
TW_4467a039e00b,PS_042,PS_044,-0.02116583095090602,-0.0046859670512625256,-0.0034179735644907596,0.02116583095090602,0.0046859670512625256,0.08202449355575567,0.08202449355575567,0.11261756983389498,0.11261756983389498,-0.0356131664952168,0.06685873670896803,0.011274777530608182,0.02116583095090602
TW_4467a039e00b,PS_042,PS_045,-0.0031963832383280597,0.0020990635943545243,0.0016517127526425813,0.0031963832383280597,0.0020990635943545243,0.0559156287499755,0.0559156287499755,0.09521060381078647,0.09521060381078647,0.019108671867265503,0.06520513683322965,-0.008524834471969632,0.0031963832383280597
TW_4467a039e00b,PS_042,PS_046,-0.008958411597549428,-0.005308443911559826,-0.0055461425265933674,0.008958411597549428,0.005308443911559826,0.06296498404449696,0.06296498404449696,0.10343138020059377,0.10343138020059377,0.020149053518005812,0.0667249279395809,-0.004843216533139363,0.008958411597549428
TW_4467a039e00b,PS_042,PS_047,0.0318717645995813,-0.0417736249805385,-0.03487162882551832,0.0318717645995813,0.0417736249805385,0.0548650965349077,0.05486509653490771,0.07755973361716811,0.07755973361716811,-0.0373018206237628,0.06565138920896904,-0.0035371479670893505,0.0318717645995813
TW_4467a039e00b,PS_042,PS_048,-0.0033491294386034016,0.024909371061076678,0.024650022295083434,0.0033491294386034016,0.024909371061076678,0.03127275133653346,0.03127275133653346,0.055492869418486954,0.055492869418486954,0.005305779314159058,0.03110703518791402,0.000123874310040753,0.0033491294386034016
TW_4467a039e00b,PS_042,PS_049,-0.010362458976769686,0.02250273672764058,0.023687942562594322,0.010362458976769686,0.02250273672764058,0.07510911783651653,0.07510911783651653,0.1420577223504076,0.1420577223504076,0.01874470608784132,0.07604194227397887,-0.002884754831913139,0.010362458976769686
TW_4467a039e00b,PS_042,PS_050,-0.026321977734250677,0.018856942311325176,0.019683550974576226,0.026321977734250677,0.018856942311325176,0.06169854563989025,0.06169854563989025,0.09685955967045336,0.09685955967045336,-0.007681413702951399,0.06038565004124227,0.002331179954775754,0.026321977734250677
TW_4467a039e00b,PS_042,PS_051,-0.03179051510705065,-0.005455394886761481,0.006687761129803935,0.03179051510705065,0.005455394886761481,0.08040363751460346,0.08040363751460346,0.14968509294044047,0.14968509294044047,0.018018458685251027,0.07214646372809921,0.02785151845552622,0.03179051510705065
TW_4467a039e00b,PS_043,PS_042,-0.016811966568789007,0.039891767597119786,0.034374275340923764,0.016811966568789007,0.039891767597119786,0.0765471546800338,0.07654715468003383,0.09397901336916102,0.09397901336916104,-0.022414335156759745,0.04964561215523,0.02282385799882651,0.016811966568789007
TW_4467a039e00b,PS_043,PS_044,-0.026257460500649997,-0.02606100140222374,-0.02324368971724619,0.026257460500649997,0.02606100140222374,0.1178423083036263,0.11784230830362631,0.13440737402853678,0.13440737402853678,-0.03039860804013596,0.06788791732312324,0.04522445857300775,0.026257460500649997
