group_id,plant_a,plant_b,level,otg_a_to_b,otg_b_to_a,asymmetry_signed,asymmetry_abs
TW_04b9f5d95694,PS_002,PS_003,k1,0.01438801756259056,0.0018748739101837608,0.0125131436524068,0.0125131436524068
TW_4467a039e00b,PS_042,PS_043,k1,-0.0221874343070326,0.0384023355057479,-0.0605897698127805,0.0605897698127805
TW_4467a039e00b,PS_042,PS_044,k1,0.0062957615639631925,-0.02034867922414936,0.026644440788112553,0.026644440788112553
TW_4467a039e00b,PS_042,PS_045,k1,-0.009370165419568671,-0.008173085723099355,-0.0011970796964693164,0.0011970796964693164
TW_4467a039e00b,PS_042,PS_046,k1,-0.005321771661217181,-0.012928918234492472,0.0076071465732752905,0.0076071465732752905
TW_4467a039e00b,PS_042,PS_047,k1,0.0045644035522118265,0.01416975442260765,-0.009605350870395823,0.009605350870395823
TW_4467a039e00b,PS_042,PS_049,k1,0.002913968419158322,-0.00786467609794126,0.010778644517099582,0.010778644517099582
TW_4467a039e00b,PS_042,PS_050,k1,0.008623185498286716,-0.016879129825270567,0.025502315323557283,0.025502315323557283
TW_4467a039e00b,PS_042,PS_051,k1,0.016089745560062513,0.013860209330121415,0.002229536229941098,0.002229536229941098
TW_4467a039e00b,PS_043,PS_044,k1,0.04520659865496901,-0.022726170856680578,0.06793276951164959,0.06793276951164959
TW_4467a039e00b,PS_043,PS_045,k1,0.005111871892079456,0.0032179843712380196,0.0018938875208414363,0.0018938875208414363
TW_4467a039e00b,PS_043,PS_046,k1,0.0006571007023731187,0.00475342088301571,-0.004096320180642592,0.004096320180642592
TW_4467a039e00b,PS_043,PS_047,k1,0.00689486247131707,0.020098027947072925,-0.013203165475755854,0.013203165475755854
TW_4467a039e00b,PS_043,PS_049,k1,0.010363715855705932,-0.021182490325262114,0.031546206180968046,0.031546206180968046
TW_4467a039e00b,PS_043,PS_050,k1,0.007059552682831018,-0.017025360549779114,0.024084913232610132,0.024084913232610132
TW_4467a039e00b,PS_043,PS_051,k1,0.04162730139335748,-0.022042332909884804,0.06366963430324228,0.06366963430324228
TW_4467a039e00b,PS_044,PS_045,k1,0.0040233420129919956,0.014870786778466025,-0.01084744476547403,0.01084744476547403
TW_4467a039e00b,PS_044,PS_046,k1,0.0028705170444243144,-0.006069787299259138,0.008940304343683453,0.008940304343683453
TW_4467a039e00b,PS_044,PS_047,k1,0.01016434053537743,0.02130385622597883,-0.011139515690601398,0.011139515690601398
TW_4467a039e00b,PS_044,PS_049,k1,0.006040760704213048,0.00577457970923359,0.00026618099497945774,0.00026618099497945774
TW_4467a039e00b,PS_044,PS_050,k1,0.005564855190163531,-0.002380232058665943,0.007945087248829474,0.007945087248829474
TW_4467a039e00b,PS_044,PS_051,k1,0.015831116444638263,0.01984745291974549,-0.004016336475107227,0.004016336475107227
TW_4467a039e00b,PS_045,PS_046,k1,0.004649095391267594,0.0005908359309994074,0.004058259460268186,0.004058259460268186
TW_4467a039e00b,PS_045,PS_047,k1,-0.016590872565917444,0.03599683091230857,-0.052587703478226014,0.052587703478226014
TW_4467a039e00b,PS_045,PS_049,k1,0.006755757030320594,0.004315279403874724,0.002440477626445871,0.002440477626445871
